## Type: detector,
## Name: Dark adapted human eye,
## Source https://web.archive.org/web/20071026115341/http://www.cvrl.org:80/database/data/lum/scvle.txt,
wavelength,qe
380,4.71E-05
385,8.86E-05
390,1.77E-04
395,3.62E-04
400,7.43E-04
405,1.48E-03
410,2.79E-03
415,4.83E-03
420,7.73E-03
425,1.15E-02
430,1.60E-02
435,2.10E-02
440,2.62E-02
445,3.14E-02
450,3.64E-02
455,4.10E-02
460,4.54E-02
465,4.96E-02
470,5.41E-02
475,5.87E-02
480,6.34E-02
485,6.81E-02
490,7.23E-02
495,7.59E-02
500,7.86E-02
505,7.98E-02
510,7.98E-02
515,7.80E-02
520,7.48E-02
525,7.04E-02
530,6.49E-02
535,5.86E-02
540,5.20E-02
545,4.51E-02
550,3.85E-02
555,3.22E-02
560,2.63E-02
565,2.11E-02
570,1.66E-02
575,1.28E-02
580,9.70E-03
585,7.19E-03
590,5.24E-03
595,3.75E-03
600,2.65E-03
605,1.85E-03
610,1.27E-03
615,8.70E-04
620,5.90E-04
625,3.98E-04
630,2.67E-04
635,1.79E-04
640,1.20E-04
645,8.04E-05
650,5.42E-05
655,3.67E-05
660,2.50E-05
665,1.72E-05
670,1.18E-05
675,8.21E-06
680,5.72E-06
685,4.01E-06
690,2.83E-06
695,2.00E-06
700,1.42E-06
705,1.02E-06
710,7.31E-07
715,5.28E-07
720,3.82E-07
725,2.79E-07
730,2.04E-07
735,1.50E-07
740,1.10E-07
745,8.18E-08
750,6.08E-08
755,4.54E-08
760,3.40E-08
765,2.56E-08
770,1.93E-08
775,1.46E-08
780,1.11E-08
