## Type: dye
## Name: Alexa-546
Extinction coefficient: 112000
Quantum Yield: 0.79
wavelength,absorption,emission
450,0.01171,0
451,0.009808,0
452,0.01021,0
453,0.01061,0
454,0.01101,0
455,0.01201,0
456,0.01251,0
457,0.01281,0
458,0.01411,0
459,0.01431,0
460,0.01491,0
461,0.01531,0
462,0.01671,0
463,0.01811,0
464,0.01922,0
465,0.019920001,0
466,0.020919999,0
467,0.02252,0
468,0.024420001,0
469,0.02592,0
470,0.02812,0
471,0.03002,0
472,0.030920001,0
473,0.033229999,0
474,0.03503,0
475,0.03743,0
476,0.03963,0
477,0.042029999,0
478,0.043030001,0
479,0.04504,0
480,0.047139999,0
481,0.050439999,0
482,0.052639998,0
483,0.05404,0
484,0.055539999,0
485,0.058449998,0
486,0.061450001,0
487,0.064850003,0
488,0.067450002,0
489,0.06876,0
490,0.073360004,0
491,0.077459998,0
492,0.081270002,0
493,0.084969997,0
494,0.091069996,0
495,0.096579999,0
496,0.101000004,0
497,0.106899999,0
498,0.113799997,0
499,0.121699996,0
500,0.130600005,0
501,0.136999995,0
502,0.148499995,0
503,0.157299995,0
504,0.167799994,0
505,0.180600002,0
506,0.189400002,0
507,0.202900007,0
508,0.214900002,0
509,0.225799993,0
510,0.236900002,0
511,0.2456,0
512,0.256599993,0
513,0.266499996,0
514,0.271800011,0
515,0.277200013,0
516,0.284799993,0
517,0.28490001,0
518,0.288199991,0
519,0.289000005,0
520,0.288500011,0
521,0.289299995,0
522,0.288800001,0
523,0.291599989,0
524,0.290300012,0
525,0.291299999,0
526,0.292100012,0
527,0.293500006,0
528,0.296200007,0
529,0.303499997,0
530,0.310400009,0.02703
531,0.320199996,0.018920001
532,0.3292,0.01041
533,0.344500005,0.00811
534,0.358900011,0.00841
535,0.379000008,0.009411
536,0.394899994,0.01161
537,0.41839999,0.01362
538,0.443500012,0.01532
539,0.469399989,0.018519999
540,0.500400007,0.02183
541,0.538299978,0.02593
542,0.579100013,0.031339999
543,0.6153,0.036940001
544,0.657700002,0.04335
545,0.694299996,0.051460002
546,0.734799981,0.06318
547,0.768700004,0.075290002
548,0.805700004,0.093110003
549,0.84740001,0.110799998
550,0.881299973,0.1338
551,0.92049998,0.157900006
552,0.949000001,0.186399996
553,0.967299998,0.218500003
554,0.986699998,0.254799992
555,0.999000013,0.293900013
556,0.998700023,0.33829999
557,1,0.38530001
558,0.989700019,0.429699987
559,0.96509999,0.479600012
560,0.943400025,0.530700028
561,0.906700015,0.590600014
562,0.870700002,0.649200022
563,0.829200029,0.70450002
564,0.778199971,0.756600022
565,0.727400005,0.804099977
566,0.671299994,0.845200002
567,0.612299979,0.890999973
568,0.557099998,0.923900008
569,0.501800001,0.952600002
570,0.451499999,0.973999977
571,0.404399991,0.989400029
572,0.356599987,1
573,0.313300014,0.99849999
574,0.274899989,0.994599998
575,0.241600007,0.985000014
576,0.213100001,0.977500021
577,0.183300003,0.948800027
578,0.157600001,0.927699983
579,0.137400001,0.904600024
580,0.116999999,0.871900022
581,0.099880002,0.846300006
582,0.085369997,0.814400017
583,0.070459999,0.780499995
584,0.059349999,0.742299974
585,0.050639998,0.708500028
586,0.04394,0.671000004
587,0.038229998,0.6426
588,0.033130001,0.611699998
589,0.030719999,0.579200029
590,0.03153,0.553499997
591,0,0.528599977
592,0,0.502499998
593,0,0.478799999
594,0,0.456200004
595,0,0.434899986
596,0,0.417199999
597,0,0.399699986
598,0,0.379900008
599,0,0.364100009
600,0,0.349599987
601,0,0.336800009
602,0,0.321700007
603,0,0.313800007
604,0,0.300300002
605,0,0.290499985
606,0,0.281100005
607,0,0.273699999
608,0,0.263599992
609,0,0.262800008
610,0,0.257099986
611,0,0.251100004
612,0,0.246900007
613,0,0.245900005
614,0,0.240600005
615,0,0.2368
616,0,0.234400004
617,0,0.230199993
618,0,0.227500007
619,0,0.225500003
620,0,0.224999994
621,0,0.218799993
622,0,0.217500001
623,0,0.213
624,0,0.209399998
625,0,0.204600006
626,0,0.201700002
627,0,0.198400006
628,0,0.193599999
629,0,0.188999996
630,0,0.184599996
631,0,0.180399999
632,0,0.172000006
633,0,0.166500002
634,0,0.161699995
635,0,0.157499999
636,0,0.151700005
637,0,0.139500007
638,0,0.136199996
639,0,0.129500002
640,0,0.124399997
641,0,0.117700003
642,0,0.112199999
643,0,0.107299998
644,0,0.102899998
645,0,0.099119999
646,0,0.095210001
647,0,0.090709999
648,0,0.088610001
649,0,0.084700003
650,0,0.081799999
651,0,0.078089997
652,0,0.07519
653,0,0.072690003
654,0,0.070380002
655,0,0.066380002
656,0,0.063879997
657,0,0.062070001
658,0,0.05937
659,0,0.057069998
660,0,0.055270001
661,0,0.053259999
662,0,0.050960001
663,0,0.04936
664,0,0.047359999
665,0,0.046160001
666,0,0.044149999
667,0,0.043049999
668,0,0.04115
669,0,0.040449999
670,0,0.03805
671,0,0.037039999
672,0,0.037140001
673,0,0.03554
674,0,0.034540001
675,0,0.034139998
676,0,0.032839999
677,0,0.031539999
678,0,0.032639999
679,0,0.031239999
680,0,0.02974
681,0,0.029340001
682,0,0.029340001
683,0,0.02833
684,0,0.02723
685,0,0.026629999
686,0,0.02413
687,0,0.024730001
688,0,0.02493
689,0,0.023229999
690,0,0.02273
691,0,0.02403
692,0,0.022129999
693,0,0.022329999
694,0,0.02153
695,0,0.02153
696,0,0.02093
697,0,0.01932
698,0,0.02032
699,0,0.019819999
700,0,0.01842
