Type: dye
Name: Alexa-594
Extinction coefficient: 92000
Quantum Yield: 0.66
wavelength,absorption,emission
250,0.461775005,0
251,0.445630014,0
252,0.439969987,0
253,0.435447991,0
254,0.436931998,0
255,0.44313401,0
256,0.456414014,0
257,0.470360994,0
258,0.491385013,0
259,0.516646028,0
260,0.539403975,0
261,0.566101015,0
262,0.594214976,0
263,0.62757802,0
264,0.662972987,0
265,0.703962028,0
266,0.745481014,0
267,0.789806008,0
268,0.828173995,0
269,0.86856699,0
270,0.900678992,0
271,0.926661015,0
272,0.946738005,0
273,0.968483984,0
274,0.981948018,0
275,0.995585024,0
276,1.008759975,0
277,1.020789981,0
278,1.036219954,0
279,1.049860001,0
280,1.051120043,0
281,1.043249965,0
282,1.032889962,0
283,1.007329941,0
284,0.970449984,0
285,0.917002976,0
286,0.844200015,0
287,0.758593976,0
288,0.676795006,0
289,0.61054498,0
290,0.560797989,0
291,0.525170982,0
292,0.489187002,0
293,0.443962008,0
294,0.394632012,0
295,0.342925012,0
296,0.298182994,0
297,0.266250014,0
298,0.236753002,0
299,0.212154001,0
300,0.198801994,0
301,0.179559007,0
302,0.162228003,0
303,0.147155002,0
304,0.135417998,0
305,0.116591997,0
306,0.099904701,0
307,0.083640203,0
308,0.0735121,0
309,0.067673497,0
310,0.0579089,0
311,0.050753601,0
312,0.052666102,0
313,0.0461662,0
314,0.042716701,0
315,0.0396723,0
316,0.045576401,0
317,0.037348799,0
318,0.038784601,0
319,0.040869799,0
320,0.040512402,0
321,0.041346401,0
322,0.041346401,0
323,0.0420614,0
324,0.042299699,0
325,0.041757502,0
326,0.0396128,0
327,0.047244601,0
328,0.043074202,0
329,0.0420614,0
330,0.046291299,0
331,0.043961901,0
332,0.046106599,0
333,0.048608899,0
334,0.050336599,0
335,0.050455801,0
336,0.052183501,0
337,0.053798001,0
338,0.056175198,0
339,0.0583199,0
340,0.0608817,0
341,0.062132802,0
342,0.063264802,0
343,0.064462297,0
344,0.065826602,0
345,0.068334803,0
346,0.0677986,0
347,0.070414104,0
