Type: Dye
Name: Atto590 from http://www.fluorophores.tugraz.at/substance/155
Extinction coefficient: 120000
Quantum Yield: 0.80
wavelength,excitation,emission
251,0.3281,0
252,0.3369,0
253,0.3459,0
254,0.3584,0
255,0.369,0
256,0.3834,0
257,0.399,0
258,0.4164,0
259,0.437,0
260,0.4558,0
261,0.4738,0
262,0.4916,0
263,0.5069,0
264,0.5222,0
265,0.5327,0
266,0.539,0
267,0.5445,0
268,0.5467,0
269,0.5478,0
270,0.5489,0
271,0.5522,0
272,0.5545,0
273,0.5555,0
274,0.5485,0
275,0.5352,0
276,0.5144,0
277,0.486,0
278,0.4544,0
279,0.417,0
280,0.3778,0
281,0.3421,0
282,0.3003,0
283,0.2706,0
284,0.2458,0
285,0.2246,0
286,0.2075,0
287,0.1911,0
288,0.178,0
289,0.1678,0
290,0.1577,0
291,0.152,0
292,0.145,0
293,0.1406,0
294,0.1362,0
295,0.1328,0
296,0.1306,0
297,0.1259,0
298,0.1216,0
299,0.1162,0
300,0.1105,0
301,0.1047,0
302,0.101,0
303,0.0951,0
304,0.0893,0
305,0.0849,0
306,0.0802,0
307,0.0776,0
308,0.0739,0
309,0.0692,0
310,0.0659,0
311,0.0626,0
312,0.0601,0
313,0.0579,0
314,0.0567,0
315,0.0545,0
316,0.0534,0
317,0.0522,0
318,0.0522,0
319,0.0512,0
320,0.0512,0
321,0.0512,0
322,0.0515,0
323,0.0523,0
324,0.0526,0
325,0.0533,0
326,0.0551,0
327,0.0561,0
328,0.0571,0
329,0.0596,0
330,0.0606,0
331,0.0608,0
332,0.062,0
333,0.0632,0
334,0.0652,0
335,0.0653,0
336,0.0665,0
337,0.0675,0
338,0.0675,0
339,0.0686,0
340,0.0698,0
341,0.0709,0
342,0.0721,0
343,0.0729,0
344,0.0741,0
345,0.0756,0
346,0.0766,0
347,0.0778,0
348,0.0789,0
349,0.0794,0
350,0.0806,0
351,0.0818,0
352,0.0824,0
353,0.0828,0
354,0.0828,0
355,0.0828,0
356,0.0828,0
357,0.0828,0
358,0.0828,0
359,0.0828,0
360,0.0839,0
361,0.0839,0
362,0.085,0
363,0.0851,0
364,0.086,0
365,0.0873,0
366,0.0874,0
367,0.0885,0
368,0.0893,0
369,0.0893,0
370,0.0894,0
371,0.0881,0
372,0.0877,0
373,0.0861,0
374,0.0842,0
375,0.0819,0
376,0.081,0
377,0.0786,0
378,0.0776,0
379,0.0752,0
380,0.0742,0
381,0.0741,0
382,0.0741,0
383,0.0741,0
384,0.0741,0
385,0.0741,0
386,0.074,0
387,0.0753,0
388,0.0752,0
389,0.0755,0
390,0.0761,0
391,0.0774,0
392,0.0774,0
393,0.0774,0
394,0.0774,0
395,0.0762,0
396,0.0764,0
397,0.0752,0
398,0.0741,0
399,0.073,0
400,0.0719,0
401,0.0708,0
402,0.0687,0
403,0.0665,0
404,0.0643,0
405,0.0621,0
406,0.0598,0
407,0.0586,0
408,0.0564,0
409,0.0542,0
410,0.052,0
411,0.0498,0
412,0.0475,0
413,0.0453,0
414,0.0431,0
415,0.0408,0
416,0.038,0
417,0.036,0
418,0.0341,0
419,0.0319,0
420,0.0296,0
421,0.0286,0
422,0.0262,0
423,0.0252,0
424,0.024,0
425,0.0218,0
426,0.0207,0
427,0.0196,0
428,0.0184,0
429,0.0173,0
430,0.0164,0
431,0.0152,0
432,0.0153,0
433,0.014,0
434,0.0138,0
435,0.0131,0
436,0.0131,0
437,0.0132,0
438,0.0118,0
439,0.0113,0
440,0.0109,0
441,0.0109,0
442,0.0109,0
443,0.0109,0
444,0.011,0
445,0.0098,0
446,0.0098,0
447,0.0098,0
448,0.0098,0
449,0.0098,0
450,0.0098,0
451,0.0098,0
452,0.0098,0
453,0.0098,0
454,0.0098,0
455,0.0098,0
456,0.0102,0
457,0.0109,0
458,0.0109,0
459,0.0109,0
460,0.0109,0
461,0.0108,0
462,0.0121,0
463,0.012,0
464,0.0119,0
465,0.0131,0
466,0.0131,0
467,0.0131,0
468,0.013,0
469,0.0142,0
470,0.0152,0
471,0.0152,0
472,0.0164,0
473,0.0164,0
474,0.0165,0
475,0.0174,0
476,0.0174,0
477,0.0186,0
478,0.0189,0
479,0.0195,0
480,0.0208,0
481,0.0212,0
482,0.0216,0
483,0.0228,0
484,0.0239,0
485,0.0252,0
486,0.0258,0
487,0.0282,0
488,0.0293,0
489,0.0303,0
490,0.0326,0
491,0.0337,0
492,0.0348,0
493,0.0371,0
494,0.0393,0
495,0.0415,0
496,0.0438,0
497,0.046,0
498,0.0482,0
499,0.0508,0
500,0.0537,0
501,0.0559,0
502,0.0594,0
503,0.0616,0
504,0.0644,0
505,0.0671,0
506,0.0694,0
507,0.0723,0
508,0.0748,0
509,0.0771,0
510,0.0802,0
511,0.0826,0
512,0.0859,0
513,0.0882,0
514,0.0904,0
515,0.0937,0
516,0.0971,0
517,0.0994,0
518,0.1027,0
519,0.1061,0
520,0.1097,0
521,0.1138,0
522,0.1184,0
523,0.1233,0
524,0.1289,0
525,0.1344,0
526,0.1412,0
527,0.1487,0
528,0.1559,0
529,0.1633,0
530,0.1711,0
531,0.1811,0
532,0.1897,0
533,0.1997,0
534,0.2097,0
535,0.2198,0
536,0.232,0
537,0.2431,0
538,0.2544,0
539,0.2666,0
540,0.2767,0
541,0.2878,0
542,0.2984,0
543,0.3086,0
544,0.3182,0
545,0.3277,0
546,0.3352,0
547,0.3438,0
548,0.3504,0
549,0.3571,0
550,0.362,0.0043
551,0.3673,0.0043
552,0.3709,0.0043
553,0.3742,0.0043
554,0.3767,0.0043
555,0.3789,0.0043
556,0.3812,0.0043
557,0.3823,0.0043
558,0.3845,0.0043
559,0.3868,0.0043
560,0.3891,0.0043
561,0.3924,0.0055
562,0.3969,0.0054
563,0.4016,0.0054
564,0.4073,0.0054
565,0.4148,0.0054
566,0.4239,0.0054
567,0.4337,0.0058
568,0.4453,0.0064
569,0.4585,0.0077
570,0.4727,0.0082
571,0.4884,0.0094
572,0.5086,0.0104
573,0.5296,0.0127
574,0.5499,0.0141
575,0.57,0.0161
576,0.5948,0.0182
577,0.6205,0.0216
578,0.6473,0.0248
579,0.6748,0.0282
580,0.7037,0.0326
581,0.7295,0.037
582,0.7564,0.0416
583,0.7849,0.0483
584,0.814,0.0538
585,0.8449,0.0642
586,0.87,0.0717
587,0.8922,0.0824
588,0.919,0.0958
589,0.9388,0.1088
590,0.9558,0.1219
591,0.9711,0.1374
592,0.9813,0.1554
593,0.9889,0.1743
594,1,0.193
