## Type: dye
## Name: Atto-594
Extinction coefficient: 120000
Quantum Yield: 0.85
wavelength,absorption,emission
250,0.1792,
251,0.1792,
252,0.1822,
253,0.1872,
254,0.1912,
255,0.1972,
256,0.2052,
257,0.2172,
258,0.2262,
259,0.2402,
260,0.2543,
261,0.2663,
262,0.2843,
263,0.2983,
264,0.3183,
265,0.3383,
266,0.3634,
267,0.3864,
268,0.4094,
269,0.4324,
270,0.4525,
271,0.4665,
272,0.4735,
273,0.4805,
274,0.4845,
275,0.4885,
276,0.4975,
277,0.5035,
278,0.5115,
279,0.5125,
280,0.5105,
281,0.5015,
282,0.4805,
283,0.4525,
284,0.4114,
285,0.3674,
286,0.3233,
287,0.2853,
288,0.2563,
289,0.2282,
290,0.2082,
291,0.1892,
292,0.1712,
293,0.1491,
294,0.1361,
295,0.1231,
296,0.1111,
297,0.1031,
298,0.0981,
299,0.0961,
300,0.0901,
301,0.0911,
302,0.0871,
303,0.0801,
304,0.0751,
305,0.0701,
306,0.0641,
307,0.0601,
308,0.0581,
309,0.0551,
310,0.0511,
311,0.0511,
312,0.046,
313,0.046,
314,0.044,
315,0.044,
316,0.044,
317,0.042,
318,0.041,
319,0.039,
320,0.037,
321,0.037,
322,0.039,
323,0.038,
324,0.036,
325,0.038,
326,0.036,
327,0.037,
328,0.039,
329,0.038,
330,0.038,
331,0.04,
332,0.043,
333,0.044,
334,0.042,
335,0.045,
336,0.046,
337,0.049,
338,0.048,
339,0.0511,
340,0.0511,
341,0.0531,
342,0.0511,
343,0.0531,
344,0.0521,
345,0.0541,
346,0.0551,
347,0.0551,
348,0.0571,
349,0.0581,
350,0.0591,
351,0.0621,
352,0.0601,
353,0.0641,
354,0.0651,
355,0.0651,
356,0.0661,
357,0.0691,
358,0.0671,
359,0.0681,
360,0.0681,
361,0.0711,
362,0.0711,
363,0.0691,
364,0.0701,
365,0.0711,
366,0.0701,
367,0.0721,
368,0.0721,
369,0.0731,
370,0.0751,
371,0.0761,
372,0.0751,
373,0.0771,
374,0.0771,
375,0.0801,
376,0.0771,
377,0.0781,
378,0.0801,
379,0.0781,
380,0.0751,
381,0.0721,
382,0.0721,
383,0.0691,
384,0.0651,
385,0.0631,
386,0.0621,
387,0.0601,
388,0.0571,
389,0.0561,
390,0.0571,
391,0.0551,
392,0.0571,
393,0.0571,
394,0.0551,
395,0.0561,
396,0.0591,
397,0.0591,
398,0.0601,
399,0.0591,
400,0.0611,
401,0.0581,
402,0.0591,
403,0.0591,
404,0.0601,
405,0.0561,
406,0.0551,
407,0.0551,
408,0.0531,
409,0.048,
410,0.0501,
411,0.049,
412,0.045,
413,0.044,
414,0.042,
415,0.041,
416,0.038,
417,0.038,
418,0.036,
419,0.032,
420,0.03,
421,0.031,
422,0.027,
423,0.025,
424,0.024,
425,0.022,
426,0.021,
427,0.019,
428,0.019,
429,0.018,
430,0.015,
431,0.015,
432,0.015,
433,0.012,
434,0.011,
435,0.011,
436,0.011,
437,0.008,
438,0.009,
439,0.009,
440,0.009,
441,0.007,
442,0.009,
443,0.008,
444,0.006,
445,0.008,
446,0.007,
447,0.004,
448,0.007,
449,0.007,
450,0.008,
451,0.006,
452,0.006,
453,0.007,
454,0.005,
455,0.004,
456,0.006,
457,0.005,
458,0.005,
459,0.006,
460,0.008,
461,0.005,
462,0.006,
463,0.007,
464,0.007,
465,0.007,
466,0.006,
467,0.009,
468,0.006,
469,0.007,
470,0.009,
471,0.009,
472,0.008,
473,0.011,
474,0.011,
475,0.009,
476,0.011,
477,0.013,
478,0.012,
479,0.011,
480,0.013,
481,0.014,
482,0.013,
483,0.013,
484,0.015,
485,0.016,
486,0.015,
487,0.016,
488,0.019,
489,0.018,
490,0.018,
491,0.021,
492,0.021,
493,0.021,
494,0.023,
495,0.025,
496,0.026,
497,0.026,
498,0.03,
499,0.031,
500,0.032,
501,0.037,
502,0.038,
503,0.038,
504,0.041,
505,0.044,
506,0.046,
507,0.048,
508,0.0501,
509,0.0551,
510,0.0551,
511,0.0571,
512,0.0601,
513,0.0631,
514,0.0631,
515,0.0661,
516,0.0691,
517,0.0701,
518,0.0711,
519,0.0751,
520,0.0771,
521,0.0791,
522,0.0801,
523,0.0851,
524,0.0861,
525,0.0881,
526,0.0921,
527,0.0951,
528,0.0991,
529,0.1041,
530,0.1091,
531,0.1131,
532,0.1191,
533,0.1271,
534,0.1341,
535,0.1391,
536,0.1481,
537,0.1582,
538,0.1652,
539,0.1762,
540,0.1862,
541,0.1982,
542,0.2062,
543,0.2182,
544,0.2302,
545,0.2422,
546,0.2523,
547,0.2633,
548,0.2743,
549,0.2833,
550,0.2933,
551,0.3023,
552,0.3093,
553,0.3153,
554,0.3213,
555,0.3273,
556,0.3293,
557,0.3333,
558,0.3353,
559,0.3343,
560,0.3353,
561,0.3353,
562,0.3343,
563,0.3313,
564,0.3313,
565,0.3293,0.002
566,0.3293,0.002
567,0.3303,0.002
568,0.3293,0.003
569,0.3313,0.003
570,0.3343,0.003
571,0.3403,0.004
572,0.3443,0.004
573,0.3514,0.005
574,0.3614,0.005
575,0.3714,0.006
576,0.3844,0.007
577,0.3974,0.007
578,0.4134,0.008
579,0.4314,0.01
580,0.4505,0.011
581,0.4725,0.013
582,0.4955,0.015
583,0.5205,0.017
584,0.5465,0.02
585,0.5746,0.023
586,0.6026,0.027
587,0.6336,0.031
588,0.6667,0.036
589,0.6987,0.043
590,0.7317,0.05
591,0.7648,0.057
592,0.7988,0.066
593,0.8308,0.076
594,0.8609,0.087
595,0.8899,0.099
596,0.9169,0.112
597,0.9409,0.128
598,0.963,0.145
599,0.979,0.164
600,0.991,0.185
601,0.998,0.208
602,1,0.235
603,0.999,0.265
604,0.989,0.298
605,0.976,0.332
606,0.957,0.369
607,0.9329,0.407
608,0.9039,0.45
609,0.8709,0.493
610,0.8358,0.533
611,0.7958,0.573
612,0.7538,0.616
613,0.7117,0.657
614,0.6657,0.698
615,0.6216,0.738
616,0.5776,0.778
617,0.5345,0.813
618,0.4905,0.85
619,0.4505,0.879
620,0.4094,0.905
621,0.3724,0.931
622,0.3373,0.953
623,0.3043,0.968
624,0.2733,0.982
625,0.2452,0.99
626,0.2182,0.999
627,0.1952,1
628,0.1722,0.999
629,0.1532,0.998
630,0.1361,0.991
631,0.1201,0.981
632,0.1061,0.971
633,0.0911,0.959
634,0.0821,0.942
635,0.0711,0.924
636,0.0631,0.904
637,0.0551,0.887
638,0.048,0.862
639,0.043,0.844
640,0.035,0.82
641,0.033,0.798
642,0.027,0.772
643,0.024,0.747
644,0.021,0.723
645,0.019,0.702
646,0.017,0.678
647,0.014,0.659
648,0.013,0.635
649,0.012,0.616
650,0.01,0.596
651,0.01,0.579
652,0.009,0.559
653,0.007,0.541
654,0.005,0.523
655,0.007,0.508
656,0.006,0.492
657,0.004,0.478
658,0.005,0.463
659,0.005,0.45
,,0.438
,,0.428
,,0.415
,,0.404
,,0.396
,,0.387
,,0.379
,,0.37
,,0.366
,,0.362
,,0.353
,,0.348
,,0.344
,,0.34
,,0.338
,,0.337
,,0.334
,,0.33
,,0.328
,,0.325
,,0.322
,,0.319
,,0.315
,,0.31
,,0.307
,,0.298
,,0.297
,,0.291
,,0.286
,,0.284
,,0.279
,,0.276
,,0.272
,,0.27
,,0.265
,,0.261
,,0.256
,,0.253
,,0.246
,,0.241
,,0.237
,,0.23
,,0.224
,,0.218
,,0.213
,,0.207
,,0.203
,,0.196
,,0.192
,,0.184
,,0.178
,,0.173
,,0.17
,,0.164
,,0.159
,,0.153
,,0.149
,,0.145
,,0.14
,,0.136
,,0.132
,,0.127
,,0.123
,,0.119
,,0.114
,,0.111
,,0.109
,,0.105
,,0.101
,,0.098
,,0.095
,,0.092
,,0.089
,,0.087
,,0.084
,,0.081
,,0.08
,,0.078
,,0.077
,,0.073
,,0.073
,,0.071
,,0.068
,,0.068
,,0.065
,,0.064
,,0.062
,,0.06
,,0.059
,,0.058
,,0.057
,,0.056
,,0.053
,,0.053
,,0.051
,,0.051
,,0.049
,,0.048
,,0.048
,,0.047
,,0.045
,,0.045
,,0.043
,,0.042
,,0.042
,,0.041
,,0.04
,,0.038
,,0.038
,,0.037
,,0.036
,,0.035
,,0.034
,,0.034
,,0.034
,,0.032
,,0.032
,,0.031
,,0.03
,,0.03
,,0.029
,,0.029
,,0.027
,,0.027
,,0.026
,,0.025
,,0.024
,,0.024
,,0.023
,,0.023
,,0.022
,,0.022
,,0.022
,,0.021
,,0.021
,,0.02
,,0.02
,,0.019
,,0.019
,,0.018
,,0.019
