Type: dye
Name: Atto-647N
Extinction coefficient: 150000
Quantum Yield: 0.65
wavelength,excitation,emission
502,0.016000001,0
503,0.017000001,0
504,0.015,0
505,0.017000001,0
506,0.017000001,0
507,0.017000001,0
508,0.017999999,0
509,0.018999999,0
510,0.018999999,0
511,0.017999999,0
512,0.018999999,0
513,0.02,0
514,0.021,0
515,0.02,0
516,0.02,0
517,0.022,0
518,0.023,0
519,0.024,0
520,0.024,0
521,0.023,0
522,0.025,0
523,0.026000001,0
524,0.026000001,0
525,0.027000001,0
526,0.028000001,0
527,0.028999999,0
528,0.028999999,0
529,0.030999999,0
530,0.032000002,0
531,0.033,0
532,0.034000002,0
533,0.035,0
534,0.035999998,0
535,0.037,0
536,0.039000001,0
537,0.039999999,0
538,0.041999999,0
539,0.044,0
540,0.045000002,0
541,0.046,0
542,0.048,0
543,0.048999999,0
544,0.050999999,0
545,0.052000001,0
546,0.054000001,0
547,0.056000002,0
548,0.057,0
549,0.059,0
550,0.059999999,0
551,0.061999999,0
552,0.063000001,0
553,0.064999998,0
554,0.066,0
555,0.068000004,0
556,0.07,0
557,0.071999997,0
558,0.074000001,0
559,0.075999998,0
560,0.078000002,0
561,0.079999998,0
562,0.082000002,0
563,0.085000001,0
564,0.088,0
565,0.090999998,0
566,0.094999999,0
567,0.098999999,0
568,0.103,0
569,0.107000001,0
570,0.112000003,0
571,0.116999999,0
572,0.123000003,0
573,0.128999993,0
574,0.135000005,0
575,0.141000003,0
576,0.148000002,0
577,0.155000001,0
578,0.162,0
579,0.170000002,0
580,0.179000005,0
581,0.186000004,0
582,0.194000006,0
583,0.202000007,0
584,0.210999995,0
585,0.218999997,0
586,0.225999996,0
587,0.234999999,0
588,0.240999997,0
589,0.247999996,0
590,0.254000008,0
591,0.259000003,0
592,0.264999986,0
593,0.268000007,0
594,0.272000015,0
595,0.275000006,0
596,0.27700001,0
597,0.277999997,0
598,0.280000001,0
599,0.280000001,0
600,0.280000001,0
601,0.280000001,0
602,0.279000014,0.002
603,0.277999997,0.002
604,0.277999997,0.001
605,0.27700001,0.003
606,0.275999993,0.003
607,0.275999993,0.004
608,0.27700001,0.003
609,0.277999997,0.003
610,0.279000014,0.003
611,0.282000005,0.005
612,0.286000013,0.005
613,0.291000009,0.003
614,0.298000008,0.005
615,0.305999994,0.006
616,0.31400001,0.005
617,0.326000005,0.005
618,0.337000012,0.005
619,0.349999994,0.008
620,0.36500001,0.008
621,0.382999986,0.011
622,0.400999993,0.013
623,0.421999991,0.012
624,0.441000015,0.015
625,0.465999991,0.017000001
626,0.49000001,0.023
627,0.515999973,0.025
628,0.545000017,0.030999999
629,0.573000014,0.035999998
630,0.603999972,0.043000001
631,0.63499999,0.048999999
632,0.666999996,0.056000002
633,0.699999988,0.063000001
634,0.734000027,0.07
635,0.76700002,0.079000004
636,0.800000012,0.088
637,0.832000017,0.097999997
638,0.862999976,0.109999999
639,0.893000007,0.118000001
640,0.91900003,0.128999993
641,0.943000019,0.143999994
642,0.963,0.166999996
643,0.980000019,0.185000002
644,0.992999971,0.206
645,0.999000013,0.238000005
646,1,0.263000011
647,0.995000005,0.296000004
648,0.984000027,0.328000009
649,0.967999995,0.363000005
650,0.947000027,0.400999993
651,0.921000004,0.439999998
652,0.888000011,0.477999985
653,0.852999985,0.521000028
654,0.813000023,0.560000002
655,0.771000028,0.601000011
656,0.726999998,0.639999986
657,0.680000007,0.685000002
658,0.63499999,0.72299999
659,0.588,0.768999994
660,0.541999996,0.805000007
