## Type: dye
## Name: ATTO-700
Extinction coefficient: 120000
Quantum Yield: 0.25
wavelength,absorption,emission
250,0.171,0
250.5,0.175,0
251,0.179,0
251.5,0.183,0
252,0.187,0
252.5,0.191,0
253,0.196,0
253.5,0.2,0
254,0.204,0
254.5,0.208,0
255,0.213,0
255.5,0.217,0
256,0.222,0
256.5,0.226,0
257,0.231,0
257.5,0.235,0
258,0.24,0
258.5,0.245,0
259,0.25,0
259.5,0.255,0
260,0.26,0
260.5,0.265,0
261,0.27,0
261.5,0.275,0
262,0.28,0
262.5,0.285,0
263,0.29,0
263.5,0.295,0
264,0.299,0
264.5,0.304,0
265,0.308,0
265.5,0.312,0
266,0.316,0
266.5,0.32,0
267,0.324,0
267.5,0.328,0
268,0.332,0
268.5,0.336,0
269,0.34,0
269.5,0.345,0
270,0.349,0
270.5,0.354,0
271,0.359,0
271.5,0.364,0
272,0.369,0
272.5,0.374,0
273,0.379,0
273.5,0.384,0
274,0.388,0
274.5,0.392,0
275,0.396,0
275.5,0.4,0
276,0.403,0
276.5,0.405,0
277,0.407,0
277.5,0.408,0
278,0.409,0
278.5,0.409,0
279,0.408,0
279.5,0.407,0
280,0.406,0
280.5,0.405,0
281,0.403,0
281.5,0.4,0
282,0.398,0
282.5,0.395,0
283,0.391,0
283.5,0.387,0
284,0.381,0
284.5,0.375,0
285,0.368,0
285.5,0.36,0
286,0.35,0
286.5,0.339,0
287,0.327,0
287.5,0.314,0
288,0.299,0
288.5,0.284,0
289,0.269,0
289.5,0.253,0
290,0.236,0
290.5,0.22,0
291,0.205,0
291.5,0.189,0
292,0.175,0
292.5,0.161,0
293,0.149,0
293.5,0.137,0
294,0.126,0
294.5,0.117,0
295,0.108,0
295.5,0.1,0
296,0.093,0
296.5,0.087,0
297,0.081,0
297.5,0.076,0
298,0.072,0
298.5,0.068,0
299,0.064,0
299.5,0.061,0
300,0.059,0
300.5,0.056,0
301,0.054,0
301.5,0.052,0
302,0.05,0
302.5,0.049,0
303,0.047,0
303.5,0.046,0
304,0.045,0
304.5,0.044,0
305,0.043,0
305.5,0.042,0
306,0.041,0
306.5,0.04,0
307,0.039,0
307.5,0.038,0
308,0.038,0
308.5,0.037,0
309,0.036,0
309.5,0.035,0
310,0.034,0
310.5,0.033,0
311,0.033,0
311.5,0.032,0
312,0.031,0
312.5,0.03,0
313,0.029,0
313.5,0.029,0
314,0.028,0
314.5,0.027,0
315,0.026,0
315.5,0.026,0
316,0.025,0
316.5,0.025,0
317,0.025,0
317.5,0.024,0
318,0.024,0
318.5,0.024,0
319,0.024,0
319.5,0.024,0
320,0.024,0
320.5,0.024,0
321,0.024,0
321.5,0.024,0
322,0.024,0
322.5,0.025,0
323,0.025,0
323.5,0.025,0
324,0.025,0
324.5,0.025,0
325,0.025,0
325.5,0.025,0
326,0.025,0
326.5,0.025,0
327,0.025,0
327.5,0.025,0
328,0.025,0
328.5,0.026,0
