## Type: dye
## Name: CAL Fluro orange 560
Extinction coefficient:  94000
Quantum Yield: 
wavelength,absorption,emission
401,0.032273883,0
402,0.032493353,0
403,0.031583833,0
404,0.031591592,0
405,0.030685989,0
406,0.030707694,0
407,0.030471792,0
408,0.029830536,0
409,0.029835613,0
410,0.028906034,0
411,0.028953215,0
412,0.028929565,0
413,0.028081695,0
414,0.028075786,0
415,0.028082591,0
416,0.027198309,0
417,0.027198572,0
418,0.027200675,0
419,0.026300952,0
420,0.026320896,0
421,0.026321063,0
422,0.026321069,0
423,0.026323549,0
424,0.025443945,0
425,0.025443516,0
426,0.025443694,0
427,0.025443694,0
428,0.02544386,0
429,0.025464106,0
430,0.024564092,0
431,0.024566316,0
432,0.024566325,0
433,0.024566325,0
434,0.024566325,0
435,0.024566325,0
436,0.024566326,0
437,0.024566354,0
438,0.024549254,0
439,0.025436734,0
440,0.025443716,0
441,0.026415602,0
442,0.02631517,0
443,0.027183259,0
444,0.027901054,0
445,0.028868309,0
446,0.029527012,0
447,0.030579916,0
448,0.031585772,0
449,0.032570117,0
450,0.034154828,0
451,0.035117927,0
452,0.036908694,0
453,0.038098614,0
454,0.040022567,0
455,0.041518789,0
456,0.043428418,0
457,0.045485912,0
458,0.047696622,0
459,0.049678784,0
460,0.051908109,0
461,0.054365786,0
462,0.056763406,0
463,0.058792638,0
464,0.061853529,0
465,0.063824115,0
466,0.066993036,0
467,0.068921443,0
468,0.072051627,0
469,0.074532648,0
470,0.077405597,0
471,0.080526329,0
472,0.083347908,0
473,0.087185157,0
474,0.091066549,0
475,0.094426995,0
476,0.098906631,0
477,0.103342332,0
478,0.108318573,0
479,0.113946887,0
480,0.120633426,0
481,0.126843882,0
482,0.13378684,0
483,0.14101654,0
484,0.149842139,0
485,0.158605314,0
486,0.167678559,0
487,0.177614899,0
488,0.187308434,0
489,0.197404929,0
490,0.208114234,0
491,0.219228937,0
492,0.230381814,0
493,0.240989667,0
494,0.250996133,0
495,0.261016607,0
496,0.27109619,0
497,0.280585757,0
498,0.289028443,0
499,0.297200026,0
500,0.304397241,0
501,0.311723321,0
502,0.317463784,0
503,0.323457998,0
504,0.328568649,0
505,0.333207424,0
506,0.338304216,0
507,0.343211021,0
508,0.34859498,0
509,0.354289339,0
510,0.361031544,0
511,0.368759745,0
512,0.377694695,0
513,0.388431876,0
514,0.400091756,0
515,0.414566294,0
516,0.430284526,0
517,0.448215406,0
518,0.468787594,0
519,0.491375542,0
520,0.515856553,0
521,0.542752904,0
522,0.571268968,0
523,0.60186949,0
524,0.634079822,0
