## Type: dye
## Name: CAL Fluro Red 590
Extinction coefficient: 79000
Quantum Yield: 0.62
wavelength,absorption,emission
401,0.028180599,0
402,0.029636401,0
403,0.029823889,0
404,0.029823607,0
405,0.029823604,0
406,0.029823604,0
407,0.029823604,0
408,0.029823604,0
409,0.029823604,0
410,0.029823604,0
411,0.029823604,0
412,0.029823605,0
413,0.029823703,0
414,0.029751639,0
415,0.028184487,0
416,0.028069268,0
417,0.028069274,0
418,0.028069275,0
419,0.028069275,0
420,0.028069287,0
421,0.028070646,0
422,0.027160432,0
423,0.02719198,0
424,0.02719211,0
425,0.027192074,0
426,0.027184082,0
427,0.026287308,0
428,0.024730333,0
429,0.023705811,0
430,0.022814749,0
431,0.022841175,0
432,0.021924053,0
433,0.021287263,0
434,0.020232934,0
435,0.019303404,0
436,0.019297669,0
437,0.019297626,0
438,0.019297626,0
439,0.019297579,0
440,0.019298584,0
441,0.018429208,0
442,0.01810892,0
443,0.017023345,0
444,0.015806415,0
445,0.014919452,0
446,0.013447484,0
447,0.012383114,0
448,0.011399883,0
449,0.010523018,0
450,0.010212567,0
451,0.009129422,0
452,0.008772255,0
453,0.008771649,0
454,0.008771648,0
455,0.008771474,0
456,0.008776616,0
457,0.01030445,0
458,0.010523528,0
459,0.011433402,0
460,0.012225129,0
461,0.013540335,0
462,0.015004945,0
463,0.015778551,0
464,0.01668229,0
465,0.018196356,0
466,0.018418095,0
467,0.019310907,0
468,0.020076466,0
469,0.021437473,0
470,0.02285237,0
471,0.023632373,0
472,0.025015698,0
473,0.027090648,0
474,0.029228455,0
475,0.031616313,0
476,0.034105613,0
477,0.035082909,0
478,0.037472963,0
479,0.039532752,0
480,0.043009721,0
481,0.046501267,0
482,0.048528392,0
483,0.050915029,0
484,0.053607498,0
485,0.056960019,0
486,0.059794673,0
487,0.062444076,0
488,0.065370441,0
489,0.068011651,0
490,0.070493029,0
491,0.072501377,0
492,0.075909275,0
493,0.079295968,0
494,0.08270674,0
495,0.08606309,0
496,0.089506259,0
497,0.092897656,0
498,0.096265054,0
499,0.100624835,0
500,0.105324849,0
501,0.110418505,0
502,0.115272558,0
503,0.120617294,0
504,0.125944795,0
505,0.132581168,0
506,0.14002602,0
507,0.147229546,0
508,0.155525737,0
509,0.164284808,0
510,0.173250199,0
511,0.183211213,0
512,0.193547516,0
513,0.205054691,0
514,0.216568468,0
515,0.228082297,0
516,0.239549983,0
517,0.25153581,0
518,0.264029819,0
519,0.276755222,0
