## Type: dye
## Name: CAL Fluro Red 610
Extinction coefficient:  108000
Quantum Yield: 
wavelength,absorption,emission
402,0.016231284,0
403,0.016231284,0
404,0.016231268,0
405,0.016229249,0
406,0.016658651,0
407,0.016666522,0
408,0.017109174,0
409,0.017109256,0
410,0.017449555,0
411,0.01801235,0
412,0.018201032,0
413,0.018816976,0
414,0.018951089,0
415,0.019776258,0
416,0.019736974,0
417,0.020326277,0
418,0.020629403,0
419,0.021049228,0
420,0.021495627,0
421,0.021946735,0
422,0.022020075,0
423,0.022372139,0
424,0.022372852,0
425,0.022370449,0
426,0.022837309,0
427,0.022811502,0
428,0.022811534,0
429,0.022811491,0
430,0.022832416,0
431,0.022370153,0
432,0.02237285,0
433,0.022375209,0
434,0.021907723,0
435,0.021932044,0
436,0.021507615,0
437,0.021486774,0
438,0.021053559,0
439,0.020790348,0
440,0.020617996,0
441,0.020132569,0
442,0.020179295,0
443,0.020179434,0
444,0.020178629,0
445,0.019797895,0
446,0.01974055,0
447,0.019740745,0
448,0.019740544,0
449,0.019255365,0
450,0.019301924,0
451,0.019302103,0
452,0.019343515,0
453,0.018862272,0
454,0.018863362,0
455,0.018850826,0
456,0.018425745,0
457,0.018424641,0
458,0.018412486,0
459,0.017984725,0
460,0.017985944,0
461,0.01797654,0
462,0.017544637,0
463,0.01754732,0
464,0.017547334,0
465,0.017547293,0
466,0.017535041,0
467,0.017107472,0
468,0.017119489,0
469,0.017542808,0
470,0.017547348,0
471,0.017547317,0
472,0.01754622,0
473,0.017973678,0
474,0.01798604,0
475,0.017981124,0
476,0.018428818,0
477,0.018794683,0
478,0.018847236,0
479,0.019553391,0
480,0.019723942,0
481,0.020662913,0
482,0.020584451,0
483,0.021487671,0
484,0.022521349,0
485,0.023175135,0
486,0.024250658,0
487,0.025491018,0
488,0.026739315,0
489,0.027557423,0
490,0.029141418,0
491,0.030295353,0
492,0.032077867,0
493,0.033223636,0
494,0.034775692,0
495,0.03689624,0
496,0.038997736,0
497,0.040835392,0
498,0.04252125,0
499,0.044759186,0
500,0.046681684,0
501,0.048600632,0
502,0.050519492,0
503,0.052438346,0
504,0.054356653,0
505,0.055939146,0
506,0.057712011,0
507,0.059675371,0
508,0.061330026,0
509,0.063045242,0
510,0.064594433,0
511,0.06671147,0
512,0.068810848,0
513,0.07031193,0
514,0.072182705,0
515,0.074587689,0
516,0.076895508,0
517,0.079656304,0
518,0.082610155,0
519,0.085570858,0
