## Type: dye
## Name: CAL Fluro orange 635
Extinction coefficient:  112000
Quantum Yield: 
wavelength,absorption,emission
401,0.062744323,0
402,0.063121336,0
403,0.063607752,0
404,0.064048103,0
405,0.064485303,0
406,0.064907664,0
407,0.064496012,0
408,0.064486419,0
409,0.063991415,0
410,0.063661848,0
411,0.062736552,0
412,0.062351867,0
413,0.061423763,0
414,0.060071863,0
415,0.059001911,0
416,0.057469657,0
417,0.056296691,0
418,0.054531647,0
419,0.053019018,0
420,0.050750898,0
421,0.048732618,0
422,0.046778995,0
423,0.04497075,0
424,0.043440121,0
425,0.040802549,0
426,0.039082399,0
427,0.037242895,0
428,0.035105147,0
429,0.033809102,0
430,0.032335013,0
431,0.030600045,0
432,0.028527762,0
433,0.027038631,0
434,0.025889208,0
435,0.024116716,0
436,0.02281929,0
437,0.021527806,0
438,0.020056314,0
439,0.01860469,0
440,0.01756808,0
441,0.016580439,0
442,0.015357339,0
443,0.014023899,0
444,0.013114378,0
445,0.012730871,0
446,0.011359113,0
447,0.010713459,0
448,0.010102991,0
449,0.009520856,0
450,0.008769816,0
451,0.008306352,0
452,0.007512466,0
453,0.00705166,0
454,0.00610395,0
455,0.006128983,0
456,0.005712754,0
457,0.004337858,0
458,0.004386616,0
459,0.004392962,0
460,0.003944831,0
461,0.003948095,0
462,0.003966211,0
463,0.003506617,0
464,0.00350946,0
465,0.003517566,0
466,0.00393704,0
467,0.004382412,0
468,0.004386826,0
469,0.00439654,0
470,0.004828181,0
471,0.004838003,0
472,0.005262753,0
473,0.00538862,0
474,0.006028423,0
475,0.006581405,0
476,0.006580269,0
477,0.006580254,0
478,0.006578969,0
479,0.00701325,0
480,0.007458057,0
481,0.007457175,0
482,0.007184455,0
483,0.005709997,0
484,0.005258058,0
485,0.005721709,0
486,0.0062388,0
487,0.006821397,0
488,0.007462416,0
489,0.007997179,0
490,0.009299646,0
491,0.010553714,0
492,0.01266626,0
493,0.014421573,0
494,0.015378252,0
495,0.016076479,0
496,0.016623471,0
497,0.017335988,0
498,0.018241137,0
499,0.018886065,0
500,0.020718023,0
501,0.021530777,0
502,0.02248785,0
503,0.024203655,0
504,0.025031951,0
505,0.026497385,0
506,0.027865251,0
507,0.029406605,0
508,0.031306332,0
509,0.032860998,0
510,0.034720693,0
511,0.036642752,0
512,0.038567627,0
513,0.040929366,0
514,0.043280482,0
515,0.045632706,0
516,0.047958224,0
517,0.050651909,0
518,0.053607924,0
519,0.055942538,0
520,0.05830317,0
521,0.060764458,0
522,0.063306982,0
523,0.065372317,0
524,0.06772671,0
525,0.070092171,0
526,0.072446735,0
527,0.07437548,0
528,0.076725,0
529,0.07918058,0
530,0.081909243,0
531,0.084235617,0
532,0.086541801,0
533,0.089295518,0
534,0.092149109,0
535,0.09502391,0
536,0.098153577,0
537,0.101076362,0
538,0.10524591,0
539,0.109236154,0
540,0.113521509,0
541,0.118223326,0
542,0.123868989,0
543,0.129474525,0
544,0.13530555,0
545,0.142046583,0
546,0.149417088,0
547,0.156605817,0
548,0.164429756,0
549,0.173329524,0
550,0.182263265,0
551,0.191755227,0
552,0.201072058,0
553,0.211145206,0
554,0.222045592,0
555,0.232915897,0
556,0.243560782,0
557,0.254715036,0
558,0.265659223,0
559,0.276128419,0
560,0.286508917,0
561,0.296605775,0
562,0.306299118,0
563,0.314949851,0
564,0.323054706,0
565,0.330354195,0
566,0.336643292,0
567,0.341925456,0
568,0.346882287,0
569,0.350276681,0
570,0.353241353,0
571,0.355759321,0
572,0.356600423,0
573,0.357518581,0
574,0.35796022,0
575,0.35768711,0
576,0.357965453,0
577,0.35788378,0
578,0.357515939,0
579,0.357518891,0
580,0.35814783,0
581,0.359356141,0
582,0.361073131,0
583,0.36403294,0
584,0.367922521,0
585,0.373091037,0
586,0.379182029,0
587,0.386845618,0
588,0.39638984,0
589,0.407325136,0
590,0.419192796,0
591,0.432091587,0
592,0.446494282,0
593,0.462274342,0
594,0.479796971,0
595,0.498594295,0
596,0.518975846,0
597,0.54029138,0
598,0.563701587,0
599,0.588813043,0
600,0.615290617,0
601,0.642703381,0
602,0.671018297,0
603,0.699806392,0
604,0.729590921,0
605,0.759854792,0
606,0.790114786,0
607,0.819121011,0
608,0.846829156,0
609,0.87425876,0
610,0.900320664,0
611,0.924007699,0.358029276
612,0.945472136,0.385692319
613,0.963589414,0.414672686
614,0.97846593,0.445294447
615,0.989372969,0.477497407
616,0.994327325,0.510970428
617,0.99574244,0.545426711
