Type: FP
Name: CFP
Extinction coefficient: 32500
Quantum Yield: 0.40
wavelength,excitation,emission
300,0.212193996,0
301,0.195813,0
302,0.177704006,0
303,0.160067007,0
304,0.144885004,0
305,0.132954001,0
306,0.120885,0
307,0.110192001,0
308,0.101489,0
309,0.095463201,0
310,0.089467697,0
311,0.084255204,0
312,0.079795599,0
313,0.075264499,0
314,0.072315603,0
315,0.070649803,0
316,0.067998096,0
317,0.066767797,0
318,0.064346597,0
319,0.062467001,0
320,0.0610184,0
321,0.059498299,0
322,0.0594474,0
323,0.057239801,0
324,0.0577682,0
325,0.058400299,0
326,0.056970201,0
327,0.057417199,0
328,0.0565168,0
329,0.056884199,0
330,0.056366999,0
331,0.056234099,0
332,0.0559204,0
333,0.056625899,0
334,0.057204399,0
335,0.0573918,0
336,0.0584483,0
337,0.0570997,0
338,0.057237301,0
339,0.057867602,0
340,0.058890302,0
341,0.0597643,0
342,0.059627298,0
343,0.059108399,0
344,0.0613265,0
345,0.061122298,0
346,0.060971599,0
347,0.0616703,0
348,0.0641587,0
349,0.064912803,0
350,0.065365098,0
351,0.066664502,0
352,0.067724504,0
353,0.0697762,0
354,0.070686199,0
355,0.072217003,0
356,0.0736892,0
357,0.074629001,0
358,0.076269001,0
359,0.078301601,0
360,0.079955302,0
361,0.081963398,0
362,0.084645301,0
363,0.085132599,0
364,0.088766403,0
365,0.091519602,0
366,0.0946787,0
367,0.098357901,0
368,0.102218002,0
369,0.107263997,0
370,0.109865002,0
371,0.114894003,0
372,0.119975999,0
373,0.124961004,0
374,0.131528005,0
375,0.137199,0
376,0.143095002,0
377,0.149517998,0
378,0.157041997,0
379,0.164726004,0
380,0.172397003,0
381,0.177718997,0
382,0.186795995,0
383,0.195436999,0
384,0.205458,0
385,0.215487003,0
386,0.224442005,0
387,0.235006005,0
388,0.247987002,0
389,0.256821007,0
390,0.273909986,0
391,0.287853003,0
392,0.30656901,0
393,0.323004991,0
394,0.339630008,0
395,0.357645988,0
396,0.375369012,0
397,0.394219995,0
398,0.41395101,0
399,0.433308005,0
400,0.453830004,0
401,0.46992901,0
402,0.491221994,0
403,0.510954022,0
404,0.530393004,0
405,0.550055981,0
406,0.567789018,0
407,0.588205993,0
408,0.602213025,0
409,0.62055999,0
410,0.635133028,0
411,0.652728021,0
412,0.665287018,0
413,0.683116019,0
414,0.700325012,0
415,0.714560986,0
416,0.731158972,0
417,0.74712503,0
418,0.769814014,0
419,0.789201975,0
420,0.809421003,0
421,0.830442011,0
422,0.851149023,0
423,0.873309016,0
424,0.89190501,0
425,0.908942997,0
426,0.929678977,0
427,0.944357991,0
428,0.958748996,0
429,0.973082006,0
430,0.982640982,0
431,0.988874018,0
432,0.996318996,0
433,1,0
434,0.999854982,0
435,0.995949984,0
436,0.99150902,0
437,0.993614972,0
438,0.988983989,0
439,0.981181026,0
440,0.972772002,0.0127211
441,0.968388021,0.0126915
442,0.965228975,0.0138574
443,0.960337996,0.015740899
444,0.958445013,0.018059099
445,0.954546988,0.0207245
446,0.953734994,0.0240622
447,0.958018005,0.028949199
448,0.962164998,0.036540698
449,0.963546991,0.044665501
450,0.969002008,0.054537501
451,0.974749982,0.066515602
452,0.97883302,0.080564901
453,0.982115984,0.097184204
454,0.97735697,0.117169999
455,0.969953001,0.139618993
456,0.961315989,0.168043002
457,0.947453022,0.199878007
458,0.933013976,0.240388006
459,0.906767011,0.286316007
460,0.874325991,0.334297001
461,0.840286016,0.385132015
462,0.803422987,0.440120012
463,0.755015016,0.498769999
464,0.703024983,0.558203995
465,0.649291992,0.620016992
466,0.599142015,0.683216989
467,0.545935988,0.740019977
468,0.496515006,0.795107007
469,0.445089996,0.842975974
470,0.396943003,0.885011017
471,0.34603101,0.921999991
472,0.304369986,0.951427996
473,0.267809987,0.974681973
474,0.228534997,0.991446018
475,0.19709,1
476,0.169554994,0.999220014
477,0.142781004,0.995019019
478,0.121064998,0.987389982
479,0.103465997,0.980050027
480,0.088799499,0.970179975
481,0.076328397,0.954141974
482,0.066835903,0.940199018
483,0.057810999,0.928659022
484,0.0505048,0.915282011
485,0.0431986,0.902391016
486,0.036749799,0.89170599
487,0.032057099,0.88201803
488,0.028576,0.876775026
489,0.0252188,0.870509982
490,0.023548299,0.866873026
491,0,0.864436984
492,0,0.865915
493,0,0.876708984
494,0,0.888011992
495,0,0.900642991
496,0,0.910619974
497,0,0.919467986
498,0,0.932509005
499,0,0.94502002
500,0,0.951903999
501,0,0.954119027
502,0,0.957135975
503,0,0.959523976
504,0,0.957943976
505,0,0.959815025
506,0,0.952162981
507,0,0.943768024
508,0,0.932811022
509,0,0.919570982
510,0,0.906500995
511,0,0.89398998
512,0,0.875895023
513,0,0.854161024
514,0,0.839227021
515,0,0.819464982
516,0,0.802570999
517,0,0.785450995
518,0,0.769585013
519,0,0.755586028
520,0,0.74209702
521,0,0.726330996
522,0,0.705178976
523,0,0.688970029
524,0,0.678927004
525,0,0.662729025
526,0,0.655378997
527,0,0.64557302
528,0,0.628867984
529,0,0.617469013
530,0,0.604340017
531,0,0.590426981
532,0,0.582018971
533,0,0.571408987
534,0,0.568280995
535,0,0.556800008
536,0,0.548602998
537,0,0.537531018
538,0,0.529353976
539,0,0.521649003
540,0,0.510838985
541,0,0.500082016
542,0,0.491084993
543,0,0.482055008
544,0,0.472790986
545,0,0.461098999
546,0,0.442597002
547,0,0.430359989
548,0,0.416644007
549,0,0.404154986
550,0,0.392197996
551,0,0.380032986
552,0,0.37094
553,0,0.355939001
554,0,0.346246988
555,0,0.336926997
556,0,0.32574299
557,0,0.316356003
558,0,0.305846989
559,0,0.296584994
560,0,0.286383986
561,0,0.278376013
562,0,0.267816007
563,0,0.262080014
564,0,0.254972011
565,0,0.247208998
566,0,0.240248993
567,0,0.232714996
568,0,0.227414995
569,0,0.219053999
570,0,0.212326005
571,0,0.207242996
572,0,0.203467995
573,0,0.197705999
574,0,0.192128003
575,0,0.185361996
576,0,0.180853993
577,0,0.175863996
578,0,0.172986001
579,0,0.168097004
580,0,0.164318994
581,0,0.162422001
582,0,0.156587005
583,0,0.152627006
584,0,0.148229003
585,0,0.143926993
586,0,0.141631007
587,0,0.137404993
588,0,0.131761998
589,0,0.130192995
590,0,0.125115007
591,0,0.121982001
592,0,0.119015001
593,0,0.115382001
594,0,0.110327996
595,0,0.108902998
596,0,0.105641
597,0,0.105094001
598,0,0.099900603
599,0,0.097066998
600,0,0.092726201
601,0,0.0895418
602,0,0.085203201
603,0,0.084109299
604,0,0.0822042
605,0,0.077918097
606,0,0.075254902
607,0,0.074606299
608,0,0.0717026
609,0,0.068778597
610,0,0.067141801
611,0,0.0653999
612,0,0.0634984
613,0,0.0623339
614,0,0.061189201
615,0,0.059436399
616,0,0.057419401
617,0,0.0567789
618,0,0.0559377
619,0,0.054031599
620,0,0.052881699
621,0,0.0521084
622,0,0.0501462
623,0,0.049382899
624,0,0.048307799
625,0,0.046676099
626,0,0.0465285
627,0,0.045481801
628,0,0.0427198
629,0,0.043531802
630,0,0.041928701
631,0,0.0409275
632,0,0.039143901
633,0,0.0397278
634,0,0.037554801
635,0,0.036691099
636,0,0.034274701
637,0,0.0349923
638,0,0.035346899
639,0,0.0360636
640,0,0.0341121
641,0,0.033158801
642,0,0.032914702
643,0,0.031398099
644,0,0.0303127
645,0,0.030276701
646,0,0.030144099
647,0,0.030139999
648,0,0.0277765
649,0,0.0274195
650,0,0.027501101
