## Type: dye
## Name: Calcofluor M2R
Extinction coefficient: 4388
Quantum Yield: 
wavelength,absorption,emission
310,0.3611,0
311,0.3786,0
312,0.3976,0
313,0.4162,0
314,0.4359,0
315,0.4564,0
316,0.4783,0
317,0.5,0
318,0.5217,0
319,0.5455,0
320,0.5683,0
321,0.593,0
322,0.6174,0
323,0.6435,0
324,0.6678,0
325,0.6934,0
326,0.718,0
327,0.7428,0
328,0.766,0
329,0.7909,0
330,0.8146,0
331,0.8382,0
332,0.859,0
333,0.881,0
334,0.9,0
335,0.9179,0
336,0.9338,0
337,0.9474,0
338,0.9612,0
339,0.9724,0
340,0.9807,0
341,0.9875,0
342,0.9953,0
343,0.9983,0
344,1,0
345,1,0
346,0.9964,0
347,0.993,0
348,0.9879,0
349,0.9804,0
350,0.9721,0
351,0.9615,0
352,0.9489,0
353,0.9353,0
354,0.9209,0
355,0.9037,0
356,0.8875,0
357,0.8693,0
358,0.8501,0
359,0.8301,0
360,0.8094,0
361,0.787,0
362,0.7641,0
363,0.7416,0
364,0.7162,0
365,0.6904,0
366,0.6637,0
367,0.6367,0
368,0.6079,0
369,0.579,0
370,0.5492,0
371,0.5201,0
372,0.4916,0
373,0.4631,0
374,0.4349,9.91E-05
375,0.408,0.000276452
376,0.3829,0.000523188
377,0.3569,0.000809545
378,0.333,0.001224674
379,0.3105,0.001733453
380,0.2896,0.002411076
381,0.2703,0.003316074
382,0.2524,0.004513733
383,0.2353,0.006105358
384,0.2195,0.008149482
385,0.2042,0.010792436
386,0.1907,0.014223323
387,0.1771,0.018586222
388,0.1642,0.024268348
389,0.1516,0.031449797
390,0.1399,0.040499775
391,0.1283,0.052026114
392,0.1176,0.066389014
393,0.1066,0.083768573
394,0.0964,0.104570014
395,0.0867,0.128928411
396,0.08,0.156776227
397,0.069,0.188428636
398,0.061,0.222557407
399,0.0538,0.261368753
400,0.0469,0.302116164
401,0.0405,0.344664566
402,0.0346,0.388788834
403,0.0293,0.43516434
404,0.0246,0.482440342
405,0.0205,0.529040973
406,0.0169,0.573840612
407,0.014,0.615488519
408,0.0115,0.654660063
409,0.0093,0.690229626
410,0.0074,0.721071589
411,0.0059,0.747411076
412,0.0047,0.771724448
413,0.0038,0.792660964
414,0.0031,0.810220621
415,0.0025,0.825078793
416,0.002,0.837685727
417,0.0002,0.850067537
418,0.0014,0.859522738
419,0.0012,0.868077443
420,0.001,0.877082395
421,0.001,0.885186853
422,0.0008,0.895767672
423,0.0007,0.905222873
424,0.0007,0.915803692
425,0.0001,0.925258892
426,0,0.936740207
427,0,0.946645655
428,0,0.959027465
429,0,0.968032418
430,0,0.976361999
431,0,0.98469158
432,0,0.9905448
433,0,0.995722647
434,0,0.999774876
435,0,1
436,0,0.998199009
437,0,0.994146781
438,0,0.987843314
439,0,0.981539847
440,0,0.971634399
441,0,0.95992796
442,0,0.946870779
443,0,0.932237731
444,0,0.915353444
445,0,0.89801891
446,0,0.880234129
447,0,0.859522738
448,0,0.837685727
449,0,0.819450698
450,0,0.799639802
451,0,0.782530392
452,0,0.767447096
453,0,0.753714543
454,0,0.742683476
455,0,0.733003152
456,0,0.72467357
457,0,0.716794237
458,0,0.708239532
459,0,0.700585322
460,0,0.691805493
461,0,0.682350293
462,0,0.671769473
463,0,0.66096353
464,0,0.649257091
465,0,0.63619991
466,0,0.624043224
467,0,0.610085547
468,0,0.595677623
469,0,0.580819451
470,0,0.565736155
471,0,0.54952724
472,0,0.533993697
473,0,0.517559658
474,0,0.501125619
475,0,0.484916704
476,0,0.468482665
477,0,0.452498874
478,0,0.436740207
479,0,0.422107159
480,0,0.406348492
481,0,0.392165691
