Type: Dye
Name: Cy5
Extinction coefficient: 250000
Quantum Yield: 0.27
wavelength,absorption,emission
540,0.046645001,0
541,0.048730001,0
542,0.050799999,0
543,0.052750003,0
544,0.054650001,0
545,0.056700002,0
546,0.05875,0
547,0.061149999,0
548,0.063550003,0
549,0.065949999,0
550,0.068350002,0
551,0.070300005,0
552,0.072250001,0
553,0.074950002,0
554,0.077699997,0
555,0.079599999,0
556,0.081549995,0
557,0.083850004,0
558,0.086149998,0
559,0.088749997,0
560,0.091350004,0
561,0.093000002,0
562,0.094700001,0
563,0.097099997,0
564,0.0995,0
565,0.102250002,0
566,0.105049998,0
567,0.107950002,0
568,0.1109,0
569,0.114050001,0
570,0.117250003,0
571,0.120950006,0
572,0.124700002,0
573,0.129500002,0
574,0.13425,0
575,0.139699996,0
576,0.145099998,0
577,0.151800007,0
578,0.158500001,0
579,0.166299999,0
580,0.174050003,0
581,0.181950003,0
582,0.189850003,0
583,0.200100005,0
584,0.210349992,0
585,0.219699994,0
586,0.22905001,0
587,0.23985,0
588,0.250650018,0
589,0.260600001,0
590,0.270599991,0
591,0.28245002,0
592,0.294349998,0
593,0.303799987,0
594,0.313199997,0
595,0.322149992,0
596,0.331050009,0
597,0.340000004,0
598,0.348949999,0
599,0.355849981,0
600,0.362700015,0
601,0.367650002,0
602,0.372550011,0
603,0.376699984,0
604,0.380849987,0
605,0.383349985,0
606,0.385899991,0
607,0.386699975,0
608,0.387499988,0
609,0.387299985,0
610,0.38714999,0
611,0.386249989,0
612,0.385349989,0
613,0.384849995,0
614,0.384299994,0
615,0.383949995,0
616,0.383599997,0
617,0.38499999,0
618,0.386349976,0
619,0.389350027,0
620,0.39230001,0
621,0.398400009,0
622,0.404449999,0
623,0.412,0
624,0.419499993,0
625,0.431250006,0
626,0.442999989,0
627,0.457949996,0
628,0.472849995,0
629,0.491050005,0
630,0.509000003,0
631,0.529999971,0
632,0.550499976,0
633,0.575500011,0
634,0.600000024,0
635,0.629000008,0.036196999
636,0.658000052,0.042659998
637,0.686500013,0.050319999
638,0.714999974,0.059116002
639,0.743499994,0.069317006
640,0.771999955,0.080549002
641,0.799499989,0.094301008
642,0.826499999,0.108800001
643,0.85650003,0.125560001
644,0.885999978,0.144370005
645,0.909499943,0.165370002
646,0.932500005,0.188189998
647,0.951999962,0.213919997
648,0.970999956,0.241790012
649,0.984000027,0.273589998
650,0.996999979,0.305599988
651,0.99849999,0.339870006
652,1,0.375180006
653,0.990500033,0.413590014
654,0.981000006,0.456539989
655,0.968499959,0.500930011
656,0.95599997,0.548009992
657,0.953000009,0.595290005
658,0.949999988,0.639690042
659,0.908499956,0.68324995
660,0.86650002,0.725169957
661,0.823499978,0.764400005
662,0.780500054,0.805910051
663,0.736500025,0.84266001
664,0.692499995,0.880029976
665,0.653000057,0.913479984
666,0.613499999,0.941770017
667,0.568499982,0.965309978
668,0.523499966,0.983070016
669,0.483650029,0.991530001
670,0.443800002,0.998550057
671,0.406300008,1
672,0.368800014,0.994219959
673,0.341049999,0.98781997
674,0.313300014,0.975630045
675,0.282600015,0.960560024
676,0.251900017,0.944660008
677,0.227150008,0.921949983
678,0.202399999,0.901709974
679,0.182600006,0.880859971
680,0.162800014,0.856079996
681,0.148699999,0.831299961
682,0.134599999,0.800949991
683,0.118950002,0.767289937
684,0.103299998,0.730949998
685,0.094250001,0.688210011
686,0.085249998,0.652689993
687,0.077950001,0.622750044
688,0.070650004,0.596939981
689,0.063249998,0.573610008
690,0.055849999,0.551720023
691,0.039999999,0.523849964
692,0.029999999,0.493909985
693,0.02,0.465209991
694,0.01,0.440640002
695,1.00E-05,0.418339998
696,1.00E-05,0.399339974
697,0,0.381379992
698,0,0.367330015
699,0,0.350400001
700,0,0.334710002
701,0,0.322319984
702,0,0.311379999
703,0,0.300229996
704,0,0.291759998
705,0,0.282680005
706,0,0.276069999
707,0,0.267399997
708,0,0.261610001
709,0,0.254179984
710,0,0.248810008
711,0,0.242619991
712,0,0.236220002
713,0,0.232910007
714,0,0.229400009
715,0,0.224859998
716,0,0.224030003
717,0,0.221560001
718,0,0.219909996
719,0,0.216600001
720,0,0.213919997
721,0,0.212469995
722,0,0.211229995
723,0,0.211030006
724,0,0.210820004
725,0,0.208549991
726,0,0.208339989
727,0,0.206690013
728,0,0.206900001
729,0,0.204559997
730,0,0.202059999
731,0,0.20149
732,0,0.199459985
733,0,0.195990011
734,0,0.195750013
735,0,0.191530004
736,0,0.186660007
737,0,0.181539997
