Type: Dye
Name: DAPI
Extinction coefficient: 27000
Quantum Yield: 0.58
wavelength,absorption,emission
250,0.557076991,0
251,0.545064986,0
252,0.53618902,0
253,0.531728983,0
254,0.535526991,0
255,0.536630988,0
256,0.54559499,0
257,0.552263021,0
258,0.560742021,0
259,0.570721984,0
260,0.576727986,0
261,0.589312971,0
262,0.595672011,0
263,0.605872989,0
264,0.614660978,0
265,0.622433007,0
266,0.622654021,0
267,0.617752016,0
268,0.606667995,0
269,0.580128014,0
270,0.547317028,0
271,0.50920701,0
272,0.467961997,0
273,0.430117011,0
274,0.395848989,0
275,0.366836011,0
276,0.342146009,0
277,0.322052985,0
278,0.305233002,0
279,0.292647004,0
280,0.277191013,0
281,0.264737993,0
282,0.252815008,0
283,0.244248003,0
284,0.236343995,0
285,0.232590005,0
286,0.232192993,0
287,0.234267995,0
288,0.236432001,0
289,0.238331005,0
290,0.242967993,0
291,0.243938997,0
292,0.244999006,0
293,0.245749995,0
294,0.247030005,0
295,0.246720999,0
296,0.247737005,0
297,0.247428,0
298,0.248399004,0
299,0.248972997,0
300,0.250696003,0
301,0.253697991,0
302,0.257364005,0
303,0.261734992,0
304,0.26730001,0
305,0.274100006,0
306,0.281783998,0
307,0.290394992,0
308,0.30103299,0
309,0.312209994,0
310,0.325233012,0
311,0.340781987,0
312,0.357517987,0
313,0.375844985,0
314,0.396290988,0
315,0.417620003,0
316,0.439033002,0
317,0.461250007,0
318,0.485713989,0
319,0.509118974,0
320,0.533318996,0
321,0.556502998,0
322,0.580260992,0
323,0.60344398,0
324,0.626981974,0
325,0.649767995,0
326,0.671361983,0
327,0.692780018,0
328,0.713313997,0
329,0.737954974,0
330,0.755883992,0
331,0.772753,0
332,0.790417016,0
333,0.806845009,0
334,0.820092976,0
335,0.835062981,0
336,0.846147001,0
337,0.859263003,0
338,0.870169997,0
339,0.882314026,0
340,0.89132297,0
341,0.900640011,0
342,0.911768973,0
343,0.919673026,0
344,0.928548992,0
345,0.937161028,0
346,0.944755971,0
347,0.951071024,0
348,0.958577991,0
349,0.964892983,0
350,0.970942974,0
