## Type: dye
## Name: DRAQ5
Extinction coefficient: 12000
Quantum Yield: 0.004
wavelength,absorption,emission
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,4.788,0
401,4.882,0
402,4.976,0
403,5.047,0
404,5.094,0
405,5.118,0
406,5.118,0
407,5.071,0
408,5.094,0
409,5.118,0
410,5.118,0
411,5.165,0
412,5.212,0
413,5.283,0
414,5.283,0
415,5.259,0
416,5.354,0
417,5.401,0
418,5.448,0
419,5.542,0
420,5.59,0
421,5.66,0
422,5.708,0
423,5.802,0
424,5.849,0
425,5.92,0
426,5.991,0
427,6.061,0
428,6.156,0
429,6.203,0
430,6.274,0
431,6.368,0
432,6.439,0
433,6.509,0
434,6.604,0
435,6.722,0
436,6.792,0
437,6.887,0
438,6.958,0
439,7.005,0
440,7.075,0
441,7.123,0
442,7.193,0
443,7.264,0
444,7.311,0
445,7.382,0
446,7.453,0
447,7.524,0
448,7.571,0
449,7.642,0
450,7.689,0
451,7.759,0
452,7.83,0
453,7.901,0
454,7.948,0
455,8.042,0
456,8.137,0
457,8.278,0
458,8.396,0
459,8.585,0
460,8.797,0
461,9.009,0
462,9.245,0
463,9.481,0
464,9.67,0
465,9.858,0
466,10,0
467,10.165,0
468,10.283,0
469,10.377,0
470,10.495,0
471,10.613,0
472,10.708,0
473,10.802,0
474,10.92,0
475,11.014,0
476,11.132,0
477,11.25,0
478,11.368,0
479,11.486,0
480,11.627,0
481,11.745,0
482,11.91,0
483,12.052,0
484,12.193,0
485,12.335,0
486,12.524,0
487,12.689,0
488,12.877,0
489,13.09,0
490,13.278,0
491,13.491,0
492,13.726,0
493,13.962,0
494,14.222,0
495,14.505,0
496,14.788,0
497,15.071,0
498,15.377,0
499,15.708,0
500,16.061,0
501,16.368,0
502,16.722,0
503,17.123,0
504,17.476,0
505,17.854,0
506,18.255,0
507,18.656,0
508,19.057,0
509,19.481,0
510,19.882,0
511,20.33,0
512,20.778,0
513,21.203,0
514,21.675,0
515,22.099,0
516,22.618,0
517,23.09,0
518,23.561,0
519,24.104,0
520,24.646,0
521,25.189,0
522,25.778,0
523,26.392,0
524,27.028,0
525,27.642,0
526,28.325,0
527,29.08,0
528,29.764,0
529,30.566,0
530,31.392,0
531,32.17,0
532,33.066,0
533,33.986,0
534,34.858,0
535,35.802,0
536,36.792,0
537,37.712,0
538,38.726,0
539,39.741,0
