Type: dye
Name: DiI
Extinction coefficient: 134000
Quantum Yield: 0.07
wavelength,excitation,emission
300,0.031969398,0
301,0.0293283,0
302,0.027061701,0
303,0.0258199,0
304,0.0244008,0
305,0.023533599,0
306,0.022132199,0
307,0.0211487,0
308,0.020892501,0
309,0.0198873,0
310,0.018763799,0
311,0.0188032,0
312,0.0181331,0
313,0.0175418,0
314,0.017423499,0
315,0.0169702,0
316,0.0172264,0
317,0.0165169,0
318,0.0169308,0
319,0.0163789,0
320,0.016181801,0
321,0.0153146,0
322,0.0149007,0
323,0.0149204,0
324,0.0142897,0
325,0.014132,0
326,0.013856,0
327,0.0134027,0
328,0.0131268,0
329,0.0133042,0
330,0.0130282,0
331,0.0122398,0
332,0.012299,0
333,0.0115894,0
334,0.0117274,0
335,0.011412,0
336,0.0114514,0
337,0.0108404,0
338,0.010328,0
339,0.01019,0
340,0.0103674,0
341,0.0100323,0
342,0.00989436,0
343,0.00926364,0
344,0.00959871,0
345,0.0085935,0
346,0.00764743,0
347,0.00670136,0
348,0.00644513,0
349,0.0059918,0
350,0.00536108,0
351,0.00520341,0
352,0.00465153,0
353,0.00427704,0
354,0.00407994,0
355,0.00425733,0
356,0.00333097,0
357,0.00325213,0
358,0.00291903,0
359,0.00236518,0
360,0.0019907,0
361,0.00226664,0
362,0.00266083,0
363,0.00212867,0
364,0.00212867,0
365,0.00189215,0
366,0.000906654,0
367,0.00161621,0
368,0.00128114,0
369,0.00108404,0
370,0.000985494,0
371,0.00118259,0
372,0.000827815,0
373,0.00112346,0
374,0.0010052,0
375,0.000709555,0
376,0.000729265,0
377,0.000551876,0
378,9.85E-05,0
379,0.000591296,0
380,0.000315358,0
381,0.000275938,0
382,0.000118259,0
383,1.00E-05,0
384,0.000532167,0
385,0.000788395,0
386,0.000886944,0
387,0.000847524,0
388,0.000906654,0
389,0.00108404,0
390,0.000867234,0
391,0.0010052,0
392,0.00104462,0
393,0.000847524,0
394,0.000906654,0
395,0.00102491,0
396,0.000867234,0
397,0.000946074,0
398,0.000886944,0
399,0.00118259,0
400,0.00106433,0
401,0.00108404,0
402,0.00216809,0
403,0.00185273,0
404,0.00110375,0
405,0.00134027,0
406,0.00126143,0
407,0.00145853,0
408,0.00143882,0
409,0.00141911,0
410,0.0017936,0
411,0.00165563,0
412,0.00185273,0
413,0.00185273,0
414,0.00185273,0
415,0.0024046,0
416,0.00246373,0
417,0.00277909,0
418,0.0029959,0
419,0.00297619,0
420,0.00333097,0
421,0.00352807,0
422,0.00348865,0
423,0.00423565,0
424,0.00441501,0
425,0.0045924,0
426,0.00502602,0
427,0.00575528,0
428,0.00585383,0
429,0.00648455,0
430,0.00687874,0
431,0.00701671,0
432,0.00764743,0
433,0.0083767,0
434,0.00914538,0
435,0.00951987,0
436,0.0107222,0
437,0.0109587,0
438,0.0119836,0
439,0.0129297,0
440,0.0141517,0
441,0.015216,0
442,0.016162099,0
443,0.0165563,0
444,0.0178966,0
445,0.0195719,0
446,0.020870799,0
447,0.022388401,0
448,0.0238687,0
449,0.0255243,0
450,0.027120801,0
451,0.0293874,0
452,0.030708,0
453,0.0326593,0
454,0.035142701,0
455,0.0367589,0
456,0.039065,0
457,0.041449901,0
458,0.043578502,0
459,0.046022501,0
460,0.048939601,0
461,0.051482201,0
462,0.054458398,0
463,0.0575331,0
464,0.061140001,0
465,0.064648397,0
466,0.068472102,0
467,0.072946198,0
468,0.077302098,0
469,0.082367502,0
470,0.0876498,0
471,0.093188301,0
472,0.0986479,0
473,0.104875997,0
474,0.111124001,0
475,0.117706999,0
476,0.124231003,0
477,0.131247997,0
478,0.138145998,0
479,0.145143002,0
480,0.151865005,0
481,0.158921003,0
482,0.165583,0
483,0.172557995,0
484,0.179064006,0
485,0.185411006,0
486,0.191973999,0
487,0.198439002,0
488,0.205160007,0
489,0.211486995,0
490,0.217755005,0
491,0.225106001,0
492,0.233483002,0
493,0.241543993,0
494,0.250099003,0
495,0.258771002,0
496,0.26898101,0
497,0.280707985,0
498,0.292769998,0
499,0.306212991,0
500,0.320719004,0
501,0.335895985,0
502,0.35195899,0
503,0.36886999,0
504,0.386963993,0
505,0.405550003,0
506,0.424807012,0
507,0.444339007,0
508,0.464286,0
509,0.483444005,0
510,0.502147973,0
511,0.520537972,0
512,0.537055016,0
513,0.552330017,0
514,0.565515995,0
515,0.576808989,0
516,0.585678995,0
517,0.591965973,0
518,0.596361995,0
519,0.598549008,0
520,0.598766029,0
521,0.597938001,0
522,0.595435023,0
523,0.592221975,0
524,0.589166999,0
525,0.586152017,0
526,0.583826005,0
527,0.582603991,0
528,0.583018005,0
529,0.585422993,0
530,0.589739025,0.0284322
531,0.595987022,0.0289283
532,0.604857028,0.029266199
533,0.615539014,0.029839201
534,0.628665984,0.031216601
535,0.64348799,0.033092599
536,0.661186993,0.034810901
