Type: dye
Name: DiO
Extinction coefficient: 154000
Quantum Yield: 0.07
wavelength,absorption,emission
250,0.061944801,0
251,0.061487701,0
252,0.061149899,0
253,0.0599376,0
254,0.059142701,0
255,0.058486901,0
256,0.0571156,0
257,0.056459799,0
258,0.0547706,0
259,0.054214101,0
260,0.053220499,0
261,0.051849201,0
262,0.050935,0
263,0.050319001,0
264,0.049504202,0
265,0.049067002,0
266,0.048590001,0
267,0.0479143,0
268,0.047556601,0
269,0.046801399,0
270,0.045807701,0
271,0.044814099,0
272,0.043721098,0
273,0.042488899,0
274,0.041316401,0
275,0.040123999,0
276,0.0393291,0
277,0.038633499,0
278,0.037677601,0
279,0.037282102,0
280,0.037103299,0
281,0.037321899,0
282,0.036984,0
283,0.037262298,0
284,0.037321899,0
285,0.0380373,0
286,0.038375199,0
287,0.0390906,0
288,0.039507899,0
289,0.039587401,0
290,0.0407997,0
291,0.041137502,0
292,0.041793399,0
293,0.041992102,0
294,0.0418927,0
295,0.041952301,0
296,0.0414754,0
297,0.041276701,0
298,0.0408394,0
299,0.040759999,0
300,0.039704699,0
301,0.038573898,0
302,0.037339799,0
303,0.034857601,0
304,0.032989498,0
305,0.0298297,0
306,0.027107099,0
307,0.023768401,0
308,0.021204701,0
309,0.0179455,0
310,0.015362,0
311,0.0131163,0
312,0.0118246,0
313,0.00961863,0
314,0.00788966,0
315,0.00683638,0
316,0.00610108,0
317,0.00490868,0
318,0.00399451,0
319,0.00343807,0
320,0.00286174,0
321,0.00270276,0
322,0.00228542,0
323,0.00135138,0
324,0.00188795,0
325,0.001411,0
326,0.000914168,0
327,0.00129176,0
328,0.001411,0
329,0.00182834,0
330,0.00173096,0
331,0.00123413,0
332,0.00182834,0
333,0.00200719,0
334,0.00232715,0
335,0.00123413,0
336,0.00228542,0
337,0.00218605,0
338,0.00190982,0
339,0.00186808,0
340,0.00178859,0
341,0.00220593,0
342,0.00246428,0
343,0.0024444,0
344,0.00182834,0
345,0.00238479,0
346,0.00230529,0
347,0.00214631,0
348,0.00250402,0
349,0.00264314,0
350,0.00288162,0
351,0.00196745,0
352,0.00296111,0
353,0.00298098,0
354,0.00256364,0
355,0.00327908,0
356,0.0025855,0
357,0.00342018,0
358,0.00312009,0
359,0.00321946,0
360,0.00365667,0
361,0.00361692,0
362,0.00347781,0
363,0.00365667,0
364,0.00381566,0
365,0.00407401,0
366,0.00427473,0
367,0.0036368,0
368,0.00423299,0
369,0.00403426,0
370,0.00371629,0
371,0.00419523,0
372,0.00407401,0
373,0.00411375,0
374,0.0041535,0
375,0.00441185,0
376,0.00457084,0
377,0.00570361,0
378,0.00490868,0
379,0.00472982,0
380,0.00588247,0
381,0.00610108,0
382,0.0058626,0
383,0.00596196,0
384,0.00651841,0
385,0.00657803,0
386,0.00733321,0
387,0.00743258,0
