## Type: dye
## Name: Eosin
Extinction coefficient: 95000
Quantum Yield: 0.67
wavelength,absorption,emission
250,0.896586001,0
251,0.893112004,0
252,0.892270982,0
253,0.892771006,0
254,0.893020988,0
255,0.893271029,0
256,0.89515698,0
257,0.898630023,0
258,0.902764976,0
259,0.906808972,0
260,0.906013012,0
261,0.905991018,0
262,0.903264999,0
263,0.899084985,0
264,0.894566,0
265,0.890497029,0
266,0.883817971,0
267,0.879413009,0
268,0.873529017,0
269,0.868506014,0
270,0.864895999,0
271,0.861307025,0
272,0.860646009,0
273,0.860715985,0
274,0.860827029,0
275,0.860441029,0
276,0.856238008,0
277,0.852491975,0
278,0.84474498,0
279,0.836655021,0
280,0.824822009,0
281,0.81212002,0
282,0.803466976,0
283,0.794242978,0
284,0.77936101,0
285,0.755097985,0
286,0.716434002,0
287,0.677357018,0
288,0.64321202,0
289,0.621721029,0
290,0.607955992,0
291,0.59443903,0
292,0.57110697,0
293,0.538755,0
294,0.504904985,0
295,0.474124014,0
296,0.448724985,0
297,0.430050999,0
298,0.413125992,0
299,0.397289991,0
300,0.385544986,0
301,0.374821991,0
302,0.364668995,0
303,0.35848999,0
304,0.35335499,0
305,0.347766995,0
306,0.342767,0
307,0.339269996,0
308,0.332702011,0
309,0.328067988,0
310,0.320596009,0
311,0.310826987,0
312,0.301488012,0
313,0.291218996,0
314,0.279269993,0
315,0.267343014,0
316,0.256051987,0
317,0.243991002,0
318,0.232380003,0
319,0.221818,0
320,0.209707007,0
321,0.199916005,0
322,0.191012993,0
323,0.179719999,0
324,0.170587003,0
325,0.163021997,0
326,0.154778004,0
327,0.149915993,0
328,0.144165993,0
329,0.137603,0
330,0.133919999,0
331,0.129876003,0
332,0.125082999,0
333,0.123561002,0
334,0.120563999,0
335,0.119653001,0
336,0.119448997,0
337,0.119516999,0
338,0.117951997,0
339,0.120017,0
340,0.119223997,0
341,0.118974,0
342,0.117928997,0
343,0.118133999,0
344,0.116700001,0
345,0.116589002,0
346,0.115180001,0
347,0.114315003,0
348,0.113815002,0
349,0.112088002,0
350,0.110817999,0
351,0.109135002,0
352,0.107863002,0
353,0.107001998,0
354,0.106636003,0
355,0.105071001,0
356,0.104569003,0
357,0.103412002,0
358,0.101319999,0
359,0.100229003,0
360,0.098957203,0
361,0.098323397,0
362,0.096619599,0
363,0.096322,0
364,0.095027,0
365,0.093959302,0
366,0.093504898,0
367,0.092777997,0
368,0.091006003,0
369,0.0916216,0
370,0.090462998,0
371,0.089779198,0
372,0.088804603,0
373,0.0881458,0
374,0.086780399,0
375,0.085396901,0
376,0.084488198,0
377,0.083963402,0
378,0.083397701,0
379,0.082282297,0
380,0.080716997,0
381,0.080194503,0
382,0.078013502,0
383,0.078604199,0
384,0.079694703,0
385,0.080169499,0
386,0.079558402,0
387,0.079035804,0
388,0.078238502,0
389,0.077875003,0
390,0.077581897,0
391,0.077147998,0
392,0.076716296,0
393,0.076580003,0
394,0.075807601,0
395,0.075444102,0
396,0.075151101,0
397,0.074217401,0
398,0.0739448,0
399,0.073490404,0
400,0.072558902,0
401,0.072652102,0
402,0.0721296,0
403,0.071607098,0
404,0.071127698,0
405,0.070423499,0
406,0.0695602,0
407,0.068946801,0
408,0.068426602,0
409,0.067697302,0
410,0.066949897,0
411,0.065652698,0
412,0.065720797,0
413,0.064541802,0
414,0.064107902,0
415,0.063451298,0
416,0.063312702,0
417,0.061972398,0
418,0.061565701,0
419,0.0609296,0
420,0.060543399,0
421,0.059225801,0
422,0.0580195,0
423,0.058087599,0
424,0.057701401,0
425,0.057362899,0
426,0.057383299,0
427,0.057181198,0
428,0.057065301,0
429,0.056954,0
430,0.0564292,0
431,0.0556795,0
432,0.0559544,0
433,0.055884,0
434,0.055636302,0
435,0.056476898,0
436,0.056340601,0
437,0.056906302,0
438,0.0572039,0
439,0.058521502,0
440,0.0589986,0
441,0.05993,0
442,0.0606343,0
443,0.0615407,0
444,0.062338099,0
445,0.0640397,0
446,0.064905301,0
447,0.067129403,0
448,0.068131201,0
449,0.070312202,0
450,0.072402202,0
451,0.0747649,0
