## Type: dye
## Name: FAM
Extinction coefficient: 83000
Quantum Yield: 0.93
wavelength,absorption,emission
401,0.025444315,0
402,0.025786905,0
403,0.025882403,0
404,0.025838479,0
405,0.026329417,0
406,0.026761052,0
407,0.027230865,0
408,0.027637616,0
409,0.028088043,0
410,0.028470003,0
411,0.029376995,0
412,0.030268999,0
413,0.031171189,0
414,0.031986084,0
415,0.03345359,0
416,0.034655454,0
417,0.036483922,0
418,0.03798237,0
419,0.039953422,0
420,0.041694512,0
421,0.043807358,0
422,0.046202581,0
423,0.048570297,0
424,0.050873624,0
425,0.05378818,0
426,0.0567771,0
427,0.059763371,0
428,0.063146798,0
429,0.066549393,0
430,0.069957998,0
431,0.07377232,0
432,0.077184489,0
433,0.081162447,0
434,0.085297549,0
435,0.089137364,0
436,0.093880923,0
437,0.098109502,0
438,0.102867291,0
439,0.108076079,0
440,0.113148118,0
441,0.118848645,0
442,0.125507653,0
443,0.131761383,0
444,0.13857864,0
445,0.146686645,0
446,0.154828554,0
447,0.163655377,0
448,0.172745106,0
449,0.183088625,0
450,0.193561082,0
451,0.204637269,0
452,0.216631019,0
453,0.229010592,0
454,0.241477199,0
455,0.254129013,0
456,0.267484664,0
457,0.280776047,0
458,0.293797925,0
459,0.30687969,0
460,0.319363886,0
461,0.331992262,0
462,0.344132261,0
463,0.355515645,0
464,0.367042337,0
465,0.377532211,0
466,0.387820016,0
467,0.39845728,0
468,0.408452635,0
469,0.41895581,0
470,0.429966619,0.0026321
471,0.441508428,0.0026321
472,0.454291983,0.0026321
473,0.467834952,0.00263267
474,0.482714402,0.002945855
475,0.499452467,0.003070509
476,0.518043194,0.003555869
477,0.538225377,0.003472318
478,0.560769869,0.004012583
479,0.584830457,0.004628158
480,0.611957227,0.005723592
481,0.640814566,0.00716863
482,0.671265902,0.009025004
483,0.702285067,0.011441801
484,0.734894695,0.014804478
485,0.767907664,0.018699674
486,0.801015366,0.023505857
487,0.834136266,0.029242993
488,0.865870103,0.036275967
489,0.89558264,0.044969235
490,0.922462163,0.055470861
491,0.94648558,0.067703025
492,0.967507017,0.082149479
493,0.983740334,0.09909586
494,0.993386575,0.118818033
495,0.997239816,0.141004281
496,0.995875359,0.166187754
497,0.989829539,0.194448963
498,0.975343043,0.225905374
499,0.954793849,0.260456622
500,0.928064793,0.297639459
501,0.895363927,0.338349675
502,0.857882505,0.381475699
503,0.816273108,0.426349544
504,0.770423445,0.473228209
505,0.722470202,0.521679178
506,0.672628124,0.570493473
507,0.629801047,0.620600464
508,0.570475804,0.668748257
509,0.52016595,0.715838981
510,0.471212369,0.760810058
511,0.423921648,0.802485484
512,0.379105542,0.84014638
513,0.337056688,0.875035476
514,0.298296756,0.905764088
515,0.262132223,0.93277572
516,0.229435573,0.954879113
517,0.19973612,0.972258153
518,0.173267721,0.984756658
519,0.149682607,0.993475059
520,0.128582882,0.996653635
521,0.110329364,0.997581313
522,0.094170345,0.995286295
523,0.0802292,0.989639061
524,0.068555796,0.979891098
525,0.058499637,0.967165288
526,0.04927277,0.951418605
527,0.041606392,0.933884754
528,0.035669716,0.915088475
529,0.030267328,0.894465202
530,0.025333362,0.873173478
531,0.021488667,0.850547544
532,0.018252898,0.827112938
533,0.015551846,0.802919919
534,0.013515969,0.778822487
535,0.011413262,0.754972916
536,0.009710655,0.731058495
537,0.008330125,0.707039338
538,0.007471013,0.68371952
539,0.006579241,0.660635696
540,0.005751522,0.639094531
541,0.004916382,0.618441741
542,0.004358731,0.59872098
543,0.004389774,0.579446119
544,0.00393724,0.562009073
545,0.003948209,0.545240633
546,0.003948085,0.529947253
547,0.003947976,0.515022641
548,0.003506072,0.50024274
549,0.003509458,0.486721772
550,0.003509467,0.473864742
551,0.003509467,0.461039884
552,0.003509467,0.44955065
553,0.003509467,0.437586849
554,0.003509467,0.426963646
555,0.003509468,0.41545762
556,0.003500227,0.404436894
557,0.003077382,0.393715936
558,0.003070774,0.383519422
559,0.003070783,0.373797873
560,0.003070784,0.364382467
561,0.003070784,0.354878524
562,0.003070784,0.345219074
563,0.003070784,0.335628353
564,0.003070784,0.325888395
565,0.003070784,0.316397196
566,0.003070784,0.30683208
567,0.003071611,0.297580192
568,0.003459775,0.288026146
569,0.003509677,0.278906918
570,0.003509468,0.27059258
571,0.003509467,0.261940938
572,0.003509467,0.253427926
573,0.003509467,0.24493649
574,0.003509467,0.236720786
575,0.003509467,0.228876536
576,0.003509467,0.220486497
577,0.003509467,0.213290038
578,0.003509467,0.205572127
579,0.003509467,0.198770045
580,0.003509467,0.191596116
581,0.003509467,0.184633936
582,0.003509467,0.177923771
583,0.003509467,0.171320761
584,0.003509467,0.165626282
585,0.003509467,0.159398903
586,0.003509467,0.153638179
587,0.003509467,0.148325916
588,0.003509467,0.142972446
589,0.003509467,0.137921343
590,0.003509467,0.13328724
591,0.003509467,0.128619573
592,0.003509467,0.123902617
593,0.003509467,0.11957526
594,0.003509467,0.115740507
595,0.003509467,0.111902746
596,0.003509467,0.108197909
597,0.003509467,0.10467442
598,0.003509467,0.101701041
599,0.003509467,0.098839033
600,0.003509467,0.095663063
601,0.003509467,0.092002097
602,0.003509467,0.089201247
603,0.003509467,0.086452604
604,0.003509467,0.083593136
605,0.003509467,0.081341553
606,0.003509469,0.078473607
607,0.003512398,0.076393584
608,0.003054355,0.074190955
609,0.003070835,0.072254667
610,0.003070784,0.070178704
611,0.003070784,0.068021399
612,0.003070784,0.066102414
613,0.003070784,0.064183556
614,0.003070784,0.062264696
615,0.003070784,0.060345553
616,0.003070784,0.058377105
617,0.003070784,0.056548659
618,0.003070784,0.054848302
619,0.003070784,0.053081786
620,0.003070784,0.051350302
621,0.003070784,0.0496528
622,0.003070784,0.04824684
623,0.003070784,0.047231333
624,0.003070784,0.04573611
625,0.003070784,0.044234924
626,0.003070784,0.042732469
627,0.003070784,0.040839686
628,0.003070784,0.039318958
629,0.003070784,0.037883047
630,0.003070784,0.036404407
631,0.003070784,0.035404263
632,0,0.034238845
633,0,0.033284515
634,0,0.032221867
635,0,0.031162269
636,0,0.030196455
637,0,0.028969166
638,0,0.027632795
639,0,0.026750997
640,0,0.025899617
641,0,0.024986506
642,0,0.024309656
643,0,0.023280953
644,0,0.022712796
645,0,0.021952931
646,0,0.021062694
647,0,0.020119006
648,0,0.019788303
649,0,0.018888243
650,0,0.017985578
651,0,0.017139191
652,0,0.016674525
653,0,0.016227509
654,0,0.0157914
655,0,0.015356434
656,0,0.014923628
657,0,0.014498787
658,0,0.014079291
659,0,0.013191524
660,0,0.012679186
661,0,0.012248787
662,0,0.011838438
663,0,0.011360981
664,0,0.010948542
665,0,0.010537646
666,0,0.010045893
667,0,0.00968561
668,0,0.009652626
669,0,0.009178709
670,0,0.009207759
671,0,0.008777208
672,0,0.008313136
673,0,0.008288186
674,0,0.007941769
675,0,0.007450184
676,0,0.006916181
677,0,0.00658092
678,0,0.006580051
679,0,0.005994951
680,0,0.005702487
681,0,0.005247059
