Type: dye
Name: FITC
Extinction coefficient: 85000
Quantum Yield: 0.92
wavelength,absorption,emission
300,0.242219001,0
301,0.220834002,0
302,0.203972995,0
303,0.184165001,0
304,0.170999005,0
305,0.158717006,0
306,0.148729995,0
307,0.141136006,0
308,0.134262994,0
309,0.129063994,0
310,0.126738995,0
311,0.123604,0
312,0.121583998,0
313,0.121469997,0
314,0.123673998,0
315,0.121560998,0
316,0.123235002,0
317,0.125763997,0
318,0.126019001,0
319,0.126788005,0
320,0.126393005,0
321,0.123838998,0
322,0.120724998,0
323,0.117615998,0
324,0.112112001,0
325,0.109973997,0
326,0.105819002,0
327,0.101800002,0
328,0.100965999,0
329,0.100685,0
330,0.098061003,0
331,0.097714998,0
332,0.096391402,0
333,0.094136603,0
334,0.093326204,0
335,0.092627198,0
336,0.091048203,0
337,0.090932101,0
338,0.090792798,0
339,0.089863896,0
340,0.0888445,0
341,0.088563502,0
342,0.0870542,0
343,0.086754598,0
344,0.086824298,0
345,0.086615302,0
346,0.086729102,0
347,0.0869148,0
348,0.086473599,0
349,0.086429499,0
350,0.087239899,0
351,0.085895397,0
352,0.085965097,0
353,0.085965097,0
354,0.085289299,0
355,0.0850107,0
356,0.084734403,0
357,0.084615901,0
358,0.084290802,0
359,0.084314004,0
360,0.083016001,0
361,0.083619699,0
362,0.083689399,0
363,0.082920797,0
364,0.0825748,0
365,0.082644403,0
366,0.082388997,0
367,0.081204697,0
368,0.080621898,0
369,0.079925202,0
370,0.079600103,0
371,0.078696802,0
372,0.077280298,0
373,0.077651903,0
374,0.076767102,0
375,0.076116897,0
376,0.075770997,0
377,0.075817399,0
378,0.0746563,0
379,0.074447297,0
380,0.073472001,0
381,0.072032303,0
382,0.071544699,0
383,0.070522897,0
384,0.067875698,0
385,0.069196999,0
386,0.068152003,0
387,0.067248702,0
388,0.066180602,0
389,0.065528102,0
390,0.063693598,0
391,0.063205898,0
392,0.062209699,0
393,0.061745301,0
394,0.060143098,0
395,0.0594928,0
396,0.059072498,0
397,0.0583295,0
398,0.057122,0
399,0.057031401,0
400,0.056079298,0
401,0.0554059,0
402,0.054453801,0
403,0.054802202,0
404,0.053638801,0
405,0.053896502,0
406,0.053269502,0
407,0.053525001,0
408,0.053313699,0
409,0.054059099,0
410,0.054384202,0
