Type: dye
Name: FluoShperes orange (540/560)
Extinction coefficient:
Quantum Yield:
wavelength,excitation,emission
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,0,0
401,0,0
402,0,0
403,0,0
404,0,0
405,0,0
406,0,0
407,0,0
408,0,0
409,0,0
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0,0
417,0,0
418,0,0
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
424,0,0
425,0,0
426,0,0
427,0,0
428,0,0
429,0,0
430,0,0
431,0,0
432,0,0
433,0,0
434,0,0
435,0,0
436,0,0
437,0,0
438,0,0
439,0,0
440,0,0
441,0,0
442,0,0
443,0,0
444,0,0
445,0,0
446,0,0
447,0,0
448,0,0
449,0,0
450,0.038614714,0
451,0.038978447,0
452,0.038842337,0
453,0.039131513,0
454,0.039253513,0
455,0.039981714,0
456,0.040602857,0
457,0.042299903,0
458,0.044094163,0
459,0.045867521,0
460,0.048068445,0
461,0.049033698,0
462,0.051108211,0
463,0.053811601,0
464,0.057706012,0
465,0.059461869,0
466,0.06193165,0
467,0.06577556,0
468,0.068943399,0
469,0.072291147,0
470,0.077060026,0
471,0.081282127,0
472,0.085994096,0
473,0.090006948,0
474,0.095066678,0
475,0.099168082,0
476,0.105844368,0
477,0.111799006,0
478,0.116933745,0
479,0.124010455,0
480,0.12945609,0
481,0.138079264,0
482,0.144701524,0
483,0.151671825,0
484,0.160986796,0
485,0.170828088,0
486,0.183199401,0
487,0.192799941,0
488,0.205708436,0
489,0.214311184,0
490,0.224729652,0
491,0.234341625,0
492,0.245573648,0
493,0.256618353,0
494,0.26759737,0
495,0.279892593,0
496,0.290615902,0
497,0.305585314,0
498,0.318501471,0
499,0.331615582,0
500,0.346325111,0
501,0.359021708,0
502,0.374632206,0
503,0.389107167,0
504,0.400265815,0
505,0.413256328,0
506,0.425864414,0
507,0.439493954,0
508,0.452468968,0
509,0.469421394,0
510,0.483317242,0
511,0.492549051,0
512,0.50859848,0
513,0.523294311,0
514,0.540324161,0
515,0.551901659,0
516,0.566544515,0
517,0.586077461,0
518,0.6005375,0
519,0.623966773,0
520,0.640635442,0
521,0.659116027,0
522,0.675655853,0
523,0.697069071,0
524,0.718968547,0
525,0.742314618,0
526,0.765515274,0
527,0.78562389,0
528,0.810235031,0
529,0.832337864,0
530,0.852717842,0.044586019
