Type: Dye
Name: eGFP
Extinction coefficient: 55000
Quantum Yield: 0.6
wavelength,absorption,emission
250,0.494230986,0.000
251,0.489300013,0.000
252,0.489378005,0.000
253,0.490633011,0.000
254,0.490310997,0.000
255,0.490554005,0.000
256,0.492356986,0.000
257,0.499255002,0.000
258,0.509123981,0.000
259,0.517049015,0.000
260,0.520734012,0.000
261,0.522929013,0.000
262,0.528729022,0.000
263,0.537666023,0.000
264,0.553264976,0.000
265,0.568706989,0.000
266,0.579681993,0.000
267,0.588853002,0.000
268,0.601629972,0.000
269,0.614634991,0.000
270,0.626244009,0.000
271,0.638238013,0.000
272,0.651014984,0.000
273,0.664889991,0.000
274,0.678451002,0.000
275,0.689895988,0.000
276,0.698440015,0.000
277,0.703769982,0.000
278,0.705181003,0.000
279,0.702830017,0.000
280,0.698204994,0.000
281,0.687622011,0.000
282,0.671553016,0.000
283,0.652113020,0.000
284,0.635093987,0.000
285,0.618641019,0.000
286,0.599192977,0.000
287,0.569882989,0.000
288,0.526063979,0.000
289,0.474249005,0.000
290,0.426589012,0.000
291,0.388884991,0.000
292,0.360273004,0.000
293,0.335658997,0.000
294,0.312142015,0.000
295,0.290428996,0.000
296,0.272635013,0.000
297,0.256956995,0.000
298,0.244727999,0.000
299,0.233519003,0.000
300,0.223876998,0.000
301,0.214392006,0.000
302,0.205220997,0.000
303,0.195970997,0.000
304,0.187818006,0.000
305,0.180841997,0.000
306,0.174649000,0.000
307,0.169946000,0.000
308,0.165948004,0.000
309,0.162341997,0.000
310,0.158893004,0.000
311,0.155993000,0.000
312,0.154033005,0.000
313,0.150976002,0.000
314,0.148702994,0.000
315,0.147135004,0.000
316,0.145097002,0.000
317,0.142118007,0.000
318,0.138355002,0.000
319,0.135924995,0.000
320,0.132397994,0.000
321,0.129732996,0.000
322,0.126047999,0.000
323,0.123383000,0.000
324,0.120325997,0.000
325,0.117034003,0.000
326,0.114839002,0.000
327,0.112094998,0.000
328,0.109273002,0.000
329,0.104805000,0.000
330,0.103785999,0.000
331,0.101669997,0.000
332,0.101199001,0.000
333,0.098926097,0.000
334,0.096574403,0.000
335,0.095790498,0.000
336,0.094928302,0.000
337,0.095006697,0.000
338,0.093987599,0.000
339,0.091871098,0.000
340,0.091949500,0.000
341,0.090930499,0.000
342,0.091165602,0.000
343,0.090538502,0.000
344,0.089597903,0.000
345,0.090930499,0.000
346,0.090225004,0.000
347,0.090616897,0.000
348,0.091165602,0.000
349,0.091714397,0.000
350,0.091714397,0.000
351,0.093047000,0.000
352,0.093438901,0.000
353,0.095947303,0.000
354,0.096809603,0.000
355,0.096966401,0.000
356,0.098926097,0.000
357,0.100258999,0.000
358,0.102297001,0.000
359,0.103237003,0.000
360,0.105354004,0.000
361,0.106137998,0.000
362,0.108098000,0.000
363,0.109117001,0.000
364,0.111625001,0.000
365,0.113427997,0.000
366,0.115780003,0.000
367,0.117582999,0.000
368,0.120483004,0.000
369,0.122129001,0.000
370,0.124715999,0.000
371,0.126361996,0.000
372,0.129106000,0.000
373,0.131221995,0.000
374,0.133495003,0.000
375,0.136004001,0.000
376,0.137885004,0.000
377,0.140394002,0.000
378,0.142666996,0.000
379,0.144626006,0.000
380,0.147605002,0.000
381,0.149564996,0.000
382,0.151916996,0.000
383,0.152544007,0.000
384,0.155366004,0.000
385,0.157089993,0.000
386,0.159127995,0.000
387,0.162341997,0.000
388,0.164850995,0.000
389,0.165712997,0.000
390,0.167673007,0.000
391,0.170338005,0.000
392,0.171984002,0.000
393,0.174336001,0.000
394,0.176294997,0.000
395,0.178332999,0.000
396,0.179979995,0.000
397,0.181626007,0.000
398,0.183506995,0.000
399,0.184918001,0.000
400,0.186251000,0.000
401,0.187505007,0.000
402,0.188994005,0.000
403,0.189542994,0.000
404,0.190797001,0.000
405,0.191737995,0.000
406,0.193226993,0.000
407,0.194089994,0.000
408,0.195736006,0.000
409,0.197068006,0.000
410,0.198558003,0.000
411,0.200516999,0.000
412,0.202555001,0.000
413,0.204671994,0.000
414,0.206866995,0.000
415,0.209217995,0.000
416,0.211805001,0.000
417,0.214706004,0.000
418,0.217057005,0.000
419,0.220113993,0.000
420,0.223407000,0.000
421,0.227013007,0.000
422,0.230618000,0.000
423,0.233362004,0.000
424,0.236261994,0.000
425,0.239712000,0.000
426,0.243316993,0.000
427,0.247786000,0.000
428,0.252254009,0.000
429,0.257506013,0.000
430,0.262131006,0.000
431,0.267461002,0.000
432,0.274280995,0.000
433,0.280943990,0.000
434,0.288156003,0.000
435,0.296465009,0.000
436,0.305557996,0.000
437,0.313944995,0.000
438,0.324528009,0.000
439,0.334482998,0.000
440,0.345771015,0.000
441,0.357686013,0.000
442,0.369601011,0.000
443,0.383083999,0.000
444,0.396409988,0.000
445,0.410284996,0.000
446,0.425022006,0.000
447,0.440151006,0.000
448,0.455435991,0.000
449,0.471583992,0.000
450,0.488045990,0.000
451,0.505290985,0.000
452,0.521830976,0.000
453,0.538598001,0.000
454,0.556087017,0.000
