## Type: Dye
## Name: Ir complexes from Carlos
Extinction coefficient: 
Quantum Yield: 
wavelength,absorption,emission
300.000000,0.519810,0.000000
301.000000,0.502010,0.000000
302.000000,0.486740,0.000000
303.000000,0.472590,0.000000
304.000000,0.459970,0.000000
305.000000,0.445690,0.000000
306.000000,0.434480,0.000000
307.000000,0.421650,0.000000
308.000000,0.412830,0.000000
309.000000,0.400200,0.000000
310.000000,0.390710,0.000000
311.000000,0.384250,0.000000
312.000000,0.376470,0.000000
313.000000,0.370150,0.000000
314.000000,0.367810,0.000000
315.000000,0.363360,0.000000
316.000000,0.358940,0.000000
317.000000,0.356030,0.000000
318.000000,0.355220,0.000000
319.000000,0.353070,0.000000
320.000000,0.351920,0.000000
321.000000,0.349310,0.000000
322.000000,0.346230,0.000000
323.000000,0.345190,0.000000
324.000000,0.342580,0.000000
325.000000,0.339380,0.000000
326.000000,0.338180,0.000000
327.000000,0.336450,0.000000
328.000000,0.334680,0.000000
329.000000,0.332630,0.000000
330.000000,0.332680,0.000000
331.000000,0.331450,0.000000
332.000000,0.328600,0.000000
333.000000,0.329550,0.000000
334.000000,0.328330,0.000000
335.000000,0.327820,0.000000
336.000000,0.328150,0.000000
337.000000,0.328840,0.000000
338.000000,0.327720,0.000000
339.000000,0.328810,0.000000
340.000000,0.328680,0.000000
341.000000,0.325490,0.000000
342.000000,0.325290,0.000000
343.000000,0.324340,0.000000
344.000000,0.321690,0.000000
345.000000,0.318020,0.000000
346.000000,0.319650,0.000000
347.000000,0.314190,0.000000
348.000000,0.310560,0.000000
349.000000,0.293840,0.000000
350.000000,0.292580,0.000000
351.000000,0.288640,0.000000
352.000000,0.292760,0.000000
353.000000,0.289820,0.000000
354.000000,0.289800,0.000000
355.000000,0.286840,0.000000
356.000000,0.290010,0.000000
357.000000,0.283450,0.000000
358.000000,0.279990,0.000000
359.000000,0.276360,0.000000
360.000000,0.270460,0.000000
361.000000,0.267200,0.000000
362.000000,0.257840,0.000000
363.000000,0.251870,0.000000
364.000000,0.245090,0.000000
365.000000,0.237390,0.000000
366.000000,0.229440,0.000000
367.000000,0.223360,0.000000
368.000000,0.223900,0.000000
369.000000,0.209750,0.000000
370.000000,0.204840,0.000000
371.000000,0.199050,0.000000
372.000000,0.194710,0.000000
373.000000,0.191800,0.000000
374.000000,0.188130,0.000000
375.000000,0.185850,0.000000
376.000000,0.183510,0.000000
377.000000,0.181550,0.000000
378.000000,0.180250,0.000000
379.000000,0.178990,0.000000
380.000000,0.177660,0.000000
381.000000,0.176100,0.000000
382.000000,0.175010,0.000000
383.000000,0.173930,0.000000
384.000000,0.172190,0.000000
385.000000,0.170090,0.000000
386.000000,0.167280,0.000000
387.000000,0.163590,0.000000
388.000000,0.161000,0.000000
389.000000,0.157450,0.000000
390.000000,0.153540,0.000000
391.000000,0.149140,0.000000
392.000000,0.144880,0.000000
393.000000,0.140430,0.000000
394.000000,0.135720,0.000000
395.000000,0.131520,0.000000
396.000000,0.126820,0.000000
397.000000,0.123600,0.000000
398.000000,0.119700,0.000000
399.000000,0.115280,0.000000
400.000000,0.111050,0.001950
401.000000,0.107860,0.001950
402.000000,0.104950,0.001970
403.000000,0.102030,0.002000
404.000000,0.099680,0.002020
405.000000,0.097620,0.002060
406.000000,0.095710,0.002060
407.000000,0.094040,0.002050
408.000000,0.092370,0.002060
409.000000,0.091400,0.002060
410.000000,0.090580,0.002070
411.000000,0.089660,0.002060
412.000000,0.089470,0.002010
413.000000,0.089140,0.001920
414.000000,0.089050,0.001810
415.000000,0.089260,0.001680
416.000000,0.089530,0.001550
417.000000,0.089670,0.001440
418.000000,0.090230,0.001370
419.000000,0.090610,0.001340
420.000000,0.091450,0.001340
421.000000,0.092030,0.001360
422.000000,0.092550,0.001350
423.000000,0.093150,0.001360
424.000000,0.093940,0.001380
425.000000,0.094760,0.001400
426.000000,0.095360,0.001410
427.000000,0.096550,0.001430
428.000000,0.097330,0.001460
429.000000,0.098260,0.001500
430.000000,0.099360,0.001590
431.000000,0.100470,0.001730
432.000000,0.101510,0.002010
433.000000,0.102930,0.002500
434.000000,0.104910,0.003250
435.000000,0.106270,0.004230
436.000000,0.107710,0.005250
437.000000,0.109040,0.006110
438.000000,0.109870,0.006670
439.000000,0.110730,0.006840
440.000000,0.111490,0.006650
441.000000,0.112220,0.006180
442.000000,0.112830,0.005550
443.000000,0.112980,0.004990
444.000000,0.112340,0.004680
445.000000,0.111240,0.004670
446.000000,0.110420,0.004910
447.000000,0.109320,0.005330
448.000000,0.107910,0.005880
449.000000,0.105940,0.006500
450.000000,0.103810,0.007210
451.000000,0.101520,0.008090
452.000000,0.098810,0.009100
453.000000,0.095810,0.010400
454.000000,0.092870,0.011970
455.000000,0.089680,0.013850
456.000000,0.086790,0.016040
457.000000,0.083780,0.018580
458.000000,0.080960,0.021530
459.000000,0.077870,0.024800
460.000000,0.075290,0.028530
461.000000,0.072800,0.032820
462.000000,0.070510,0.037850
463.000000,0.068080,0.043930
464.000000,0.065970,0.051410
465.000000,0.064320,0.061190
466.000000,0.062630,0.074160
467.000000,0.060810,0.090660
468.000000,0.059410,0.113380
469.000000,0.057960,0.142950
470.000000,0.056500,0.181090
471.000000,0.055040,0.228810
472.000000,0.053790,0.286370
473.000000,0.052600,0.353630
474.000000,0.051290,0.429450
475.000000,0.050150,0.511360
476.000000,0.048950,0.597050
477.000000,0.048000,0.682180
478.000000,0.046670,0.762880
479.000000,0.045610,0.835810
480.000000,0.044830,0.897410
481.000000,0.043650,0.945030
482.000000,0.042430,0.977160
483.000000,0.041660,0.993570
484.000000,0.040590,0.995100
485.000000,0.039570,0.982550
486.000000,0.038400,0.958830
487.000000,0.037540,0.927580
488.000000,0.036610,0.889190
489.000000,0.035660,0.847240
490.000000,0.034450,0.804620
491.000000,0.033690,0.762400
492.000000,0.032780,0.722810
493.000000,0.031950,0.686630
494.000000,0.031200,0.654850
495.000000,0.030310,0.628080
496.000000,0.029670,0.606250
497.000000,0.028940,0.588560
498.000000,0.027960,0.575640
499.000000,0.027300,0.567270
500.000000,0.026520,0.562220
501.000000,0.026120,0.560510
502.000000,0.025310,0.561470
503.000000,0.024470,0.564920
504.000000,0.023910,0.570520
505.000000,0.023360,0.577380
506.000000,0.022550,0.585570
507.000000,0.022240,0.594890
508.000000,0.021480,0.604770
509.000000,0.020850,0.615200
510.000000,0.020360,0.625750
511.000000,0.020170,0.636280
512.000000,0.019460,0.645820
513.000000,0.018900,0.654190
514.000000,0.018660,0.660750
515.000000,0.018200,0.665170
516.000000,0.017910,0.666700
517.000000,0.017350,0.665480
518.000000,0.017070,0.661040
519.000000,0.016620,0.653670
520.000000,0.016560,0.642800
521.000000,0.016230,0.628900
522.000000,0.015740,0.612740
523.000000,0.015520,0.594380
524.000000,0.015500,0.574320
525.000000,0.015330,0.553030
526.000000,0.014910,0.531090
527.000000,0.014830,0.509160
528.000000,0.014520,0.487410
529.000000,0.014080,0.466920
530.000000,0.014070,0.446910
531.000000,0.013950,0.427770
532.000000,0.013830,0.410180
533.000000,0.013590,0.393930
534.000000,0.013540,0.379070
535.000000,0.013240,0.365630
536.000000,0.013200,0.353620
537.000000,0.013070,0.342720
538.000000,0.013070,0.333290
539.000000,0.012790,0.324640
540.000000,0.012520,0.316970
541.000000,0.012340,0.310110
542.000000,0.012310,0.303880
543.000000,0.012160,0.298230
544.000000,0.011820,0.293030
545.000000,0.011660,0.288060
546.000000,0.011600,0.283550
547.000000,0.011240,0.279030
548.000000,0.011330,0.274640
549.000000,0.011090,0.270300
550.000000,0.010750,0.265770
551.000000,0.010480,0.261180
552.000000,0.010700,0.256290
553.000000,0.010570,0.251290
554.000000,0.010140,0.246200
555.000000,0.010190,0.240640
556.000000,0.009970,0.234940
557.000000,0.010040,0.229190
558.000000,0.009890,0.222740
559.000000,0.009790,0.216390
560.000000,0.009740,0.209730
561.000000,0.009620,0.202780
562.000000,0.009360,0.195460
563.000000,0.009130,0.188040
564.000000,0.009110,0.180410
565.000000,0.009050,0.172580
566.000000,0.008990,0.164620
567.000000,0.008900,0.156500
568.000000,0.008480,0.148490
569.000000,0.007900,0.140440
570.000000,0.007660,0.132490
571.000000,0.007700,0.125090
572.000000,0.007400,0.117550
573.000000,0.007650,0.110120
574.000000,0.007450,0.103120
575.000000,0.007230,0.096610
