## Type: dye
## Name: Janelia Fluor 646 (JF 646)
Extinction coefficient: 152000
Quantum Yield: 0.54
wavelength,absorption,emission
200.0,0,0
200.1,0,0
200.2,0,0
200.3,0,0
200.4,0,0
200.5,0,0
200.6,0,0
200.7,0,0
200.8,0,0
200.9,0,0
201.0,0,0
201.1,0,0
201.2,0,0
201.3,0,0
201.4,0,0
201.5,0,0
201.6,0,0
201.7,0,0
201.8,0,0
201.9,0,0
202.0,0,0
202.1,0,0
202.2,0,0
202.3,0,0
202.4,0,0
202.5,0,0
202.6,0,0
202.7,0,0
202.8,0,0
202.9,0,0
203.0,0,0
203.1,0,0
203.2,0,0
203.3,0,0
203.4,0,0
203.5,0,0
203.6,0,0
203.7,0,0
203.8,0,0
203.9,0,0
204.0,0,0
204.1,0,0
204.2,0,0
204.3,0,0
204.4,0,0
204.5,0,0
204.6,0,0
204.7,0,0
204.8,0,0
204.9,0,0
205.0,0,0
205.1,0,0
205.2,0,0
205.3,0,0
205.4,0,0
205.5,0,0
205.6,0,0
205.7,0,0
205.8,0,0
205.9,0,0
206.0,0,0
206.1,0,0
206.2,0,0
206.3,0,0
206.4,0,0
206.5,0,0
206.6,0,0
206.7,0,0
206.8,0,0
206.9,0,0
207.0,0,0
207.1,0,0
207.2,0,0
207.3,0,0
207.4,0,0
207.5,0,0
207.6,0,0
207.7,0,0
207.8,0,0
207.9,0,0
208.0,0,0
208.1,0,0
208.2,0,0
208.3,0,0
208.4,0,0
208.5,0,0
208.6,0,0
208.7,0,0
208.8,0,0
208.9,0,0
209.0,0,0
209.1,0,0
209.2,0,0
209.3,0,0
209.4,0,0
209.5,0,0
209.6,0,0
209.7,0,0
209.8,0,0
209.9,0,0
210.0,0,0
210.1,0,0
210.2,0,0
210.3,0,0
210.4,0,0
210.5,0,0
210.6,0,0
210.7,0,0
210.8,0,0
210.9,0,0
211.0,0,0
211.1,0,0
211.2,0,0
211.3,0,0
211.4,0,0
211.5,0,0
211.6,0,0
211.7,0,0
211.8,0,0
211.9,0,0
212.0,0,0
212.1,0,0
212.2,0,0
212.3,0,0
212.4,0,0
212.5,0,0
212.6,0,0
212.7,0,0
212.8,0,0
212.9,0,0
213.0,0,0
213.1,0,0
213.2,0,0
213.3,0,0
213.4,0,0
213.5,0,0
213.6,0,0
213.7,0,0
213.8,0,0
213.9,0,0
214.0,0,0
214.1,0,0
214.2,0,0
214.3,0,0
214.4,0,0
214.5,0,0
214.6,0,0
214.7,0,0
214.8,0,0
214.9,0,0
215.0,0,0
215.1,0,0
215.2,0,0
215.3,0,0
215.4,0,0
215.5,0,0
215.6,0,0
215.7,0,0
215.8,0,0
215.9,0,0
216.0,0,0
216.1,0,0
216.2,0,0
216.3,0,0
216.4,0,0
216.5,0,0
216.6,0,0
216.7,0,0
216.8,0,0
216.9,0,0
217.0,0,0
217.1,0,0
217.2,0,0
217.3,0,0
217.4,0,0
217.5,0,0
217.6,0,0
217.7,0,0
217.8,0,0
217.9,0,0
218.0,0,0
218.1,0,0
218.2,0,0
218.3,0,0
218.4,0,0
218.5,0,0
218.6,0,0
218.7,0,0
218.8,0,0
218.9,0,0
219.0,0,0
219.1,0,0
219.2,0,0
219.3,0,0
219.4,0,0
219.5,0,0
219.6,0,0
219.7,0,0
