## Type: dye
## Name: JF669
Extinction coefficient: 116000
Quantum Yield: 0.37
wavelength,absorption,emission
250, 0.057548126, 0
250.9299927, 0.058762102, 0
252.0299988, 0.058080423, 0
252.9600067, 0.062949165, 0
254.0599976, 0.063558939, 0
255, 0.068747317, 0
255.9299927, 0.072343542, 0
257.0299988, 0.077793695, 0
257.9599915, 0.080724089, 0
259.0599976, 0.079694598, 0
260, 0.08056636, 0
261.0700073, 0.081886113, 0
262, 0.082899437, 0
263.0700073, 0.083946378, 0
264, 0.089326216, 0
265.0700073, 0.093952568, 0
266, 0.096192086, 0
267.0700073, 0.097349389, 0
268, 0.097672724, 0
269.0700073, 0.099543867, 0
270, 0.098987089, 0
271.0700073, 0.101216288, 0
272, 0.101368154, 0
273.0700073, 0.102146283, 0
274, 0.102610195, 0
275.0700073, 0.103582872, 0
276, 0.104567411, 0
277.0700073, 0.106325958, 0
278, 0.105542759, 0
279.0700073, 0.104918269, 0
280, 0.106652758, 0
280.9299927, 0.104736763, 0
282.0299988, 0.102943337, 0
282.9599915, 0.101166793, 0
284.0599976, 0.098409924, 0
285, 0.092966141, 0
285.9299927, 0.091507443, 0
287.0299988, 0.089645608, 0
287.9599915, 0.088943422, 0
289.0599976, 0.085549319, 0
290, 0.080252274, 0
291.0700073, 0.071769315, 0
292, 0.066215649, 0
293.0700073, 0.056973356, 0
294, 0.051060048, 0
295.0700073, 0.045699495, 0
296, 0.041970513, 0
297.0700073, 0.038161153, 0
298, 0.036058571, 0
299.0700073, 0.033303499, 0
300, 0.030770584, 0
301.0700073, 0.029378263, 0
302, 0.027418556, 0
303.0700073, 0.025924694, 0
304, 0.0263315, 0
305.0700073, 0.025092174, 0
306, 0.026057276, 0
307.0700073, 0.025688102, 0
308, 0.025333671, 0
309.0700073, 0.025840085, 0
310, 0.025984283, 0
311.0700073, 0.025526471, 0
312, 0.026235295, 0
313.0700073, 0.025808629, 0
314, 0.02511032, 0
315.0700073, 0.024684893, 0
316, 0.023911691, 0
317.0700073, 0.024139539, 0
318, 0.024188805, 0
319.0700073, 0.022262212, 0
320, 0.023812004, 0
321.0700073, 0.025469378, 0
322, 0.024716951, 0
323.0700073, 0.023674023, 0
324, 0.023830268, 0
325.0700073, 0.025132109, 0
326, 0.023958826, 0
327.0700073, 0.024251414, 0
328, 0.024548077, 0
329.0700073, 0.024960694, 0
330, 0.024139544, 0
331.0700073, 0.024692227, 0
332, 0.022436311, 0
333.0700073, 0.021144681, 0
334, 0.021058882, 0
335.0700073, 0.018422891, 0
336, 0.015996505, 0
337.0700073, 0.016599783, 0
338, 0.015384824, 0
339.0700073, 0.013323236, 0
340, 0.013977907, 0
341.0700073, 0.012928435, 0
342, 0.011685476, 0
343.0700073, 0.011294757, 0
344, 0.010577259, 0
345.0700073, 0.010306771, 0
346, 0.010363538, 0
347.0700073, 0.009739962, 0
348, 0.009115747, 0
349.0700073, 0.009210262, 0
350, 0.007904072, 0
351.0599976, 0.006939263, 0
351.9599915, 0.007579568, 0
353.0299988, 0.00764413, 0
353.9299927, 0.006873253, 0
355, 0.006533847, 0
356.0599976, 0.006075328, 0
356.9599915, 0.005848927, 0
358.0299988, 0.005589934, 0
358.9299927, 0.005222868, 0
360, 0.005131479, 0
361.0700073, 0.004943472, 0
362, 0.005202249, 0
363.0700073, 0.005329794, 0
364, 0.004689947, 0
365.0700073, 0.004946413, 0
366, 0.004625042, 0
367.0700073, 0.004640308, 0
368, 0.006035063, 0
369.0700073, 0.010608, 0
370, 0.024390426, 0
371.0599976, 0.0486104, 0
371.9599915, 0.069644703, 0
373.0299988, 0.082424685, 0
373.9299927, 0.085935248, 0
375, 0.071473398, 0
376.0599976, 0.048425284, 0
376.9599915, 0.029098267, 0
378.0299988, 0.013671124, 0
378.9299927, 0.007941591, 0
380, 0.005120142, 0
381.0700073, 0.004951065, 0
382, 0.004767634, 0
383.0700073, 0.004975773, 0
384, 0.00539174, 0
385.0700073, 0.006185032, 0
386, 0.006156124, 0
387.0700073, 0.005814457, 0
388, 0.006190702, 0
389.0700073, 0.006732376, 0
390, 0.006802939, 0
391.0599976, 0.007265685, 0
391.9599915, 0.006980333, 0
