## Type: dye
## Name: JFX650
Extinction coefficient: 17600
Quantum Yield: 0.53
wavelength,absorption,emission
250,0.066791875,0
250.9299927,0.066857697,0
252.0299988,0.070611389,0
252.9600067,0.072272526,0
254.0599976,0.074809268,0
255,0.077017059,0
255.9299927,0.082855258,0
257.0299988,0.08728486,0
257.9599915,0.089030745,0
259.0599976,0.089827826,0
260,0.091370073,0
261.0700073,0.089947868,0
262,0.089694695,0
263.0700073,0.090048718,0
264,0.094772304,0
265.0700073,0.096767632,0
266,0.097023636,0
267.0700073,0.100189323,0
268,0.100600869,0
269.0700073,0.103141013,0
270,0.102411874,0
271.0700073,0.104375401,0
272,0.102864993,0
273.0700073,0.103860281,0
274,0.102461647,0
275.0700073,0.1025767,0
276,0.104101891,0
277.0700073,0.103921786,0
278,0.106457848,0
279.0700073,0.105283836,0
280,0.104734154,0
280.9299927,0.104507625,0
282.0299988,0.101291754,0
282.9599915,0.1000287,0
284.0599976,0.096970583,0
285,0.094910936,0
285.9299927,0.091574138,0
287.0299988,0.089459576,0
287.9599915,0.087464401,0
289.0599976,0.084180663,0
290,0.079267483,0
291.0700073,0.072154101,0
292,0.066987144,0
293.0700073,0.058329346,0
294,0.052109174,0
295.0700073,0.046640636,0
296,0.04247954,0
297.0700073,0.039224392,0
298,0.037725312,0
299.0700073,0.035243526,0
300,0.032462951,0
301.0700073,0.030362906,0
302,0.028653319,0
303.0700073,0.028629451,0
304,0.028600715,0
305.0700073,0.029215796,0
306,0.02925993,0
307.0700073,0.029158954,0
308,0.03028581,0
309.0700073,0.029480351,0
310,0.028825722,0
311.0700073,0.030496509,0
312,0.02936762,0
313.0700073,0.030202681,0
314,0.031068482,0
315.0700073,0.031246503,0
316,0.030273302,0
317.0700073,0.031030115,0
318,0.030739264,0
319.0700073,0.031413827,0
320,0.030282297,0
321.0700073,0.031692547,0
322,0.03182007,0
323.0700073,0.031649521,0
324,0.032415589,0
325.0700073,0.032269223,0
326,0.031687053,0
327.0700073,0.030926732,0
328,0.030655091,0
329.0700073,0.027685548,0
330,0.027141682,0
331.0700073,0.025879082,0
332,0.02408565,0
333.0700073,0.021739162,0
334,0.021039666,0
335.0700073,0.019216489,0
336,0.018781547,0
337.0700073,0.016197014,0
338,0.015909384,0
339.0700073,0.015401071,0
340,0.014685021,0
341.0700073,0.013348823,0
342,0.013038741,0
343.0700073,0.012586393,0
344,0.011688714,0
345.0700073,0.010964876,0
346,0.010840252,0
347.0700073,0.009969951,0
348,0.009986162,0
349.0700073,0.008586637,0
350,0.008988419,0
351.0599976,0.009163006,0
351.9599915,0.008045935,0
353.0299988,0.007862291,0
353.9299927,0.007583132,0
355,0.007061094,0
356.0599976,0.006482851,0
356.9599915,0.006668984,0
358.0299988,0.006568436,0
358.9299927,0.006251894,0
360,0.005725743,0
361.0700073,0.005839375,0
362,0.0057199,0
363.0700073,0.006269731,0
364,0.008226508,0
365.0700073,0.016263233,0
366,0.028657021,0
367.0700073,0.046153542,0
368,0.0559209,0
369.0700073,0.059056143,0
370,0.053127365,0
371.0599976,0.040222002,0
371.9599915,0.02365621,0
373.0299988,0.01315125,0
373.9299927,0.007980908,0
375,0.006664105,0
376.0599976,0.005945614,0
376.9599915,0.005563025,0
378.0299988,0.005583655,0
378.9299927,0.005782879,0
380,0.005709935,0
381.0700073,0.005932875,0
382,0.006018421,0
383.0700073,0.00638651,0
384,0.006614894,0
385.0700073,0.006529473,0
386,0.00690942,0
387.0700073,0.007709165,0
388,0.00788136,0
389.0700073,0.008532397,0
390,0.008927902,0
391.0599976,0.009463059,0
391.9599915,0.009922493,0
393.0299988,0.010515472,0
393.9299927,0.009997507,0
395,0.010124484,0
396.0599976,0.010511384,0
396.9599915,0.010573588,0
398.0299988,0.010247534,0
398.9299927,0.009978702,0
400,0.010153526,0
401.0599976,0.009728101,0
401.9599915,0.009103787,0
403.0299988,0.008796204,0
403.9299927,0.008338951,0
405,0.008482052,0
406.0599976,0.008141356,0
406.9599915,0.008276413,0
408.0299988,0.008584184,0
408.9299927,0.008373074,0
410,0.008979593,0
411.0599976,0.009954223,0
411.9599915,0.010401986,0
413.0299988,0.011312015,0
413.9299927,0.01233568,0
415,0.013383448,0
416.0599976,0.01426896,0
416.9599915,0.015280738,0
418.0299988,0.016246631,0
418.9299927,0.016537908,0
420,0.01666275,0
421.0599976,0.016780454,0
421.9599915,0.016498107,0
423.0299988,0.015874141,0
423.9299927,0.014965029,0
425,0.014067104,0
426.0599976,0.012990948,0
426.9599915,0.011677779,0
428.0299988,0.010159553,0
428.9299927,0.009372602,0
430,0.007707066,0
431.0599976,0.006512961,0
431.9599915,0.005469235,0
433.0299988,0.004408203,0
433.9299927,0.003586381,0
435,0.003324177,0
436.0599976,0.002626852,0
436.9599915,0.001982273,0
438.0299988,0.001643289,0
438.9299927,0.001498025,0
440,0.001009453,0
441.0599976,0.00104127,0
441.9599915,0.000860479,0
443.0299988,0.000533053,0
443.9299927,0.000552147,0
445,0.000451531,0
446.0599976,0.000386792,0
446.9599915,0.000263825,0
448.0299988,0.00037879,0
448.9299927,0.000344278,0
450,0.000303886,0
451.0400085,0.000346731,0
451.9400024,0.000272347,0
452.980011,0.000335045,0
454.019989,0.000252836,0
455.0700073,0.000222236,0
455.9700012,0.000247385,0
457.0100098,0.00021533,0
458.0499878,0.00020744,0
458.9500122,0.000178799,0
460,0.000228677,0
461.0599976,0.000129202,0
461.9599915,0.000171276,0
463.0299988,0.000110771,0
463.9299927,0.000335192,0
465,0.000115487,0
466.0599976,0.000285964,0
466.9599915,0.00023496,0
468.0299988,0.000387957,0
468.9299927,0.000166417,0
470,0.000341815,0
471.0400085,0.00039614,0
471.9400024,0.000323873,0
472.980011,0.000207091,0
474.019989,0.000278519,0
475.0700073,0.000397875,0
475.9700012,0.000196136,0
477.0100098,0.000231941,0
478.0499878,0.000188406,0
478.9500122,0.00027917,0
480,0.000235824,0
481.0400085,0.000324775,0
481.9400024,0.000416819,0
482.980011,0.000549006,0
484.019989,0.000372641,0
485.0700073,0.000360376,0
485.9700012,0.000408815,0
487.0100098,0.000437723,0
488.0499878,0.000458532,0
488.9500122,0.000392367,0
490,0.000589319,0
491.0400085,0.000585066,0
491.9400024,0.000500691,0
492.980011,0.000723444,0
494.019989,0.000611918,0
495.0700073,0.000540851,0
495.9700012,0.000603039,0
497.0100098,0.000788755,0
498.0499878,0.00078666,0
498.9500122,0.000956047,0
500,0.001020425,0
501.0400085,0.000938549,0
501.9400024,0.001003189,0
502.980011,0.001026887,0
504.019989,0.000982394,0
505.0700073,0.001274603,0
505.9700012,0.001495691,0
507.0100098,0.001546036,0
508.0499878,0.001363861,0
508.9500122,0.001515198,0
510,0.001467137,0
511.0400085,0.001566423,0
511.9400024,0.001814428,0
512.9799805,0.001770604,0
514.0200195,0.00192859,0
515.0700073,0.001779534,0
515.9699707,0.002007531,0
517.0100098,0.00229545,0
518.0499878,0.002357556,0
518.9500122,0.002297208,0
520,0.002355312,0
521.0200195,0.002486356,0
522.0499878,0.002692856,0
522.9400024,0.003154832,0
523.9699707,0.003200835,0
525,0.003212543,0
526.0200195,0.003501978,0
527.0499878,0.003441372,0
527.9400024,0.003825534,0
528.9699707,0.003862319,0
530,0.004113539,0
531.039978,0.00416708,0
531.9400024,0.004579961,0
532.9799805,0.004761986,0
534.0200195,0.005041588,0
535.0700073,0.005441006,0
535.9699707,0.005509088,0
537.0100098,0.005763356,0
538.0499878,0.006484809,0
538.9500122,0.006718087,0
540,0.006993332,0
541.0200195,0.007322877,0
542.0499878,0.00827112,0
542.9400024,0.008343037,0
543.9699707,0.008988035,0
545,0.010038015,0
546.0200195,0.009985217,0
547.0499878,0.01051832,0
547.9400024,0.011217233,0
548.9699707,0.011688951,0
550,0.012201158,0
551.0200195,0.013875774,0
552.0499878,0.013884411,0
552.9400024,0.015253951,0
553.9699707,0.015921397,0
555,0.015906123,0
556.0200195,0.016869382,0
557.0499878,0.018720489,0
557.9400024,0.018948088,0
558.9699707,0.018879352,0
560,0.020957186,0
561.0200195,0.020995311,0
562.0499878,0.021896732,0
562.9400024,0.022185811,0
563.9699707,0.02426413,0
565,0.024212845,0
566.0200195,0.025396961,0
567.0499878,0.026040734,0
567.9400024,0.028056118,0
568.9699707,0.02716313,0
570,0.030055901,0
571.0200195,0.031730609,0
572.0499878,0.031710742,0
572.9400024,0.034152564,0
573.9699707,0.035302048,0
575,0.037152524,0
576.0200195,0.038433489,0
577.0499878,0.040161268,0
577.9400024,0.042541338,0
578.9699707,0.04534993,0
580,0.047024394,0
581.0100098,0.050020586,0
582.0200195,0.053812536,0
583.039978,0.056929285,0
584.0499878,0.060364938,0
585.0700073,0.064882515,0
585.9400024,0.068223401,0
586.9500122,0.072013845,0
587.9699707,0.079652926,0
588.9799805,0.084332567,0
590,0.088876125,0
591.0200195,0.090900592,0
592.0499878,0.099265052,0
592.9400024,0.104518167,0
593.9699707,0.109643345,0
595,0.116162184,0
596.0200195,0.121971595,0
597.0499878,0.124295683,0
597.9400024,0.127187508,0
598.9699707,0.132098652,0
600,0.13664716,0.001372565
601.0100098,0.146059472,0.001413549
602.0200195,0.148940847,0.001646548
603.039978,0.15404437,0.001522551
604.0499878,0.159580431,0.001658281
605.0700073,0.159423812,0.001771232
605.9400024,0.160403264,0.001915363
606.9500122,0.162209105,0.001618012
607.9699707,0.167653798,0.001743502
608.9799805,0.167100736,0.002579731
610,0.170939381,0.002342855
611.0100098,0.171889877,0.002494251
612.0200195,0.170425543,0.002511451
613.039978,0.171851829,0.002332038
614.0499878,0.171462495,0.00277955
615.0700073,0.176371747,0.003299701
615.9400024,0.174652988,0.004581771
616.9500122,0.172464328,0.004073419
617.9699707,0.177946062,0.003905078
618.9799805,0.178747141,0.004553102
620,0.182029399,0.006038978
621.0100098,0.183579014,0.006577616
622.0200195,0.188997711,0.006935044
623.039978,0.187761134,0.007256193
624.0499878,0.198093537,0.008403391
625.0700073,0.201604437,0.010403838
625.9400024,0.205221823,0.010350639
626.9500122,0.214491553,0.012235884
627.9699707,0.22000682,0.013976265
628.9799805,0.234671355,0.015402422
630,0.24511798,0.017635038
631,0.261316112,0.021056314
632,0.276558652,0.023233798
633,0.294125691,0.027338343
634,0.318550681,0.030916507
635,0.340446008,0.035862312
636,0.356502335,0.040590046
637,0.382499733,0.04789602
638,0.407765574,0.053985319
639,0.439720511,0.061672155
640,0.475881718,0.073825801
641.0100098,0.510029647,0.083053157
642.0200195,0.537118248,0.095684402
643.039978,0.576990116,0.106682686
644.0499878,0.601591619,0.127638988
645.0700073,0.638680422,0.145794371
645.9400024,0.688255246,0.164623851
646.9500122,0.716650921,0.184079961
647.9699707,0.754733197,0.204879659
648.9799805,0.794310015,0.236274682
650,0.822026614,0.267396988
651,0.859915017,0.302942306
