## Type: Dye
## Name: LSSmOrange
Extinction coefficient: 52000
Quantum Yield: 0.45
wavelength,absorption,emission
332,0.0194,0
333,0.0222,0
334,0.025,0
335,0.0278,0
336,0.0306,0
337,0.0334,0
338,0.0361,0
339,0.0389,0
340,0.0416,0
341,0.0443,0
342,0.0472,0
343,0.0506,0
344,0.0547,0
345,0.0595,0
346,0.0648,0
347,0.0701,0
348,0.0751,0
349,0.0796,0
350,0.0838,0
351,0.0879,0
352,0.0922,0
353,0.0968,0
354,0.1016,0
355,0.1066,0
356,0.112,0
357,0.1176,0
358,0.1234,0
359,0.1291,0
360,0.1353,0
361,0.1423,0
362,0.1502,0
363,0.159,0
364,0.1687,0
365,0.179,0
366,0.1896,0
367,0.1998,0
368,0.21,0
369,0.2201,0
370,0.2299,0
371,0.2393,0
372,0.2488,0
373,0.2585,0
374,0.2688,0
375,0.2799,0
376,0.2917,0
377,0.304,0
378,0.3164,0
379,0.3287,0
380,0.341,0
381,0.3535,0
382,0.3665,0
383,0.3803,0
384,0.3942,0
385,0.4077,0
386,0.4205,0
387,0.4329,0
388,0.4455,0
389,0.4587,0
390,0.4728,0
391,0.4876,0
392,0.5029,0
393,0.5183,0
394,0.5336,0
395,0.5489,0
396,0.5638,0
397,0.5783,0
398,0.5926,0
399,0.607,0
400,0.6218,0
401,0.6368,0
402,0.6519,0
403,0.6672,0
404,0.6824,0
405,0.6979,0
406,0.7137,0
407,0.7298,0
408,0.7458,0
409,0.7618,0
410,0.7773,0
411,0.7921,0
412,0.8063,0
413,0.8193,0
414,0.8311,0
415,0.8419,0
416,0.852,0
417,0.862,0
418,0.8718,0
419,0.8815,0
420,0.8911,0
421,0.9004,0
422,0.9093,0
423,0.9179,0
424,0.9264,0
425,0.9348,0
426,0.9433,0
427,0.952,0
428,0.9604,0
429,0.9684,0
430,0.9761,0
431,0.9829,0
432,0.9885,0
433,0.9926,0
434,0.9955,0
435,0.9978,0
436,0.9994,0
437,1,0
438,0.9999,0
439,0.9984,0
440,0.9951,0
441,0.9902,0
442,0.9841,0
443,0.9774,0
444,0.9702,0
445,0.9621,0
446,0.9534,0
447,0.9443,0
448,0.9348,0
449,0.9255,0
450,0.9162,0
451,0.9062,0
452,0.8956,0
453,0.8841,0
454,0.872,0
455,0.8593,0
