Type: dye
Name: Mitotracker red FM
Extinction coefficient:
Quantum Yield:
wavelength,absorption,emission
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,0,0
401,0,0
402,0.004989041,0
403,0.005112418,0
404,0.005223878,0
405,0.00533411,0
406,0.005468312,0
407,0.005790396,0
408,0.006107142,0
409,0.006438123,0
410,0.006795797,0
411,0.007174824,0
412,0.00759122,0
413,0.008048544,0
414,0.008539678,0
415,0.008982766,0
416,0.009495253,0
417,0.010048669,0
418,0.010689278,0
419,0.01128718,0
420,0.011885082,0
421,0.012557722,0
422,0.013249935,0
423,0.013890545,0
424,0.014616569,0
425,0.015333695,0
426,0.016102426,0
427,0.016824891,0
428,0.017750216,0
429,0.01860792,0
430,0.019565275,0
431,0.020478144,0
432,0.021501339,0
433,0.022611728,0
434,0.023706103,0
435,0.024798697,0
436,0.026060342,0
437,0.027313089,0
438,0.028661927,0
439,0.030032119,0
440,0.031539331,0
441,0.03298782,0
442,0.034582225,0
443,0.036281619,0
444,0.037988131,0
445,0.039797852,0
446,0.041541733,0
447,0.043557873,0
448,0.04544767,0
449,0.047460251,0
450,0.049672133,0
451,0.051837748,0
452,0.054224018,0
453,0.056514196,0
454,0.05901791,0
455,0.061494933,0
456,0.063886541,0
457,0.066795975,0
458,0.069511446,0
459,0.072563238,0
460,0.075492246,0
461,0.078488874,0
462,0.081633198,0
463,0.084658297,0
464,0.087834652,0
465,0.091021683,0
466,0.094669597,0
467,0.098002545,0
468,0.101634443,0
469,0.105321506,0
470,0.109198971,0
471,0.113273958,0
472,0.117334709,0
473,0.121580525,0
474,0.125909977,0
475,0.130271458,0
476,0.134835799,0
477,0.139615456,0
478,0.144364863,0
479,0.149459486,0
480,0.154555889,0
481,0.159913874,0
482,0.165214916,0
483,0.170483927,0
484,0.175936224,0
485,0.18122125,0
486,0.186682445,0
487,0.192291335,0
488,0.197861077,0
489,0.203637237,0
490,0.208840408,0
491,0.21444574,0
492,0.220124029,0
493,0.226382426,0
494,0.23218172,0
495,0.238077104,0
496,0.24366998,0
497,0.249670353,0
498,0.255480324,0
499,0.261754736,0
500,0.268132357,0
501,0.27457048,0
502,0.281053091,0
503,0.288058865,0
504,0.294986343,0
505,0.301675371,0
506,0.30873275,0
507,0.315779452,0
508,0.323408041,0
509,0.331049087,0
510,0.338332458,0
511,0.346240424,0
512,0.353829865,0
