## Type: dye
## Name: Mitotracker red
Extinction coefficient:
Quantum Yield:
wavelength,absorption,emission
300,0.1355363,0
301,0.1384766,0
302,0.1401568,0
303,0.141417,0
304,0.1435172,0
305,0.1450574,0
306,0.1470176,0
307,0.1506581,0
308,0.1538785,0
309,0.1577989,0
310,0.1635396,0
311,0.1674601,0
312,0.1712405,0
313,0.175161,0
314,0.1767012,0
315,0.1760011,0
316,0.1713806,0
317,0.1653598,0
318,0.1570988,0
319,0.1426771,0
320,0.1304957,0
321,0.1177541,0
322,0.100112,0
323,0.08807056,0
324,0.07742929,0
325,0.06524783,0
326,0.05796696,0
327,0.05152618,0
328,0.04424531,0
329,0.03948474,0
330,0.0358443,0
331,0.03178381,0
332,0.02898348,0
333,0.02674321,0
334,0.02366284,0
335,0.02212265,0
336,0.02128255,0
337,0.0200224,0
338,0.0191823,0
339,0.01932232,0
340,0.01960235,0
341,0.01974237,0
342,0.01974237,0
343,0.02030244,0
344,0.02100252,0
345,0.02184262,0
346,0.02324279,0
347,0.02478297,0
348,0.02604312,0
349,0.02772333,0
350,0.02912349,0
351,0.03066368,0
352,0.03290395,0
353,0.03430412,0
354,0.03556427,0
355,0.03738449,0
356,0.03878465,0
357,0.04046485,0
358,0.04256511,0
359,0.04410529,0
360,0.04606553,0
361,0.04858583,0
362,0.05054606,0
363,0.05264632,0
364,0.05572669,0
365,0.05782694,0
366,0.06006721,0
367,0.06230748,0
368,0.06342761,0
369,0.06440773,0
370,0.06510781,0
371,0.06510781,0
372,0.06468776,0
373,0.0632876,0
374,0.06160739,0
375,0.05992719,0
376,0.05698684,0
377,0.05460655,0
378,0.05236629,0
379,0.04858583,0
380,0.04592551,0
381,0.04340521,0
382,0.03990479,0
383,0.03738449,0
384,0.03514422,0
385,0.0324839,0
386,0.03052366,0
387,0.02856343,0
388,0.02604312,0
389,0.02450294,0
390,0.02310277,0
391,0.02156259,0
392,0.02044245,0
393,0.01946234,0
394,0.0183422,0
395,0.01792215,0
396,0.01764212,0
397,0.0175021,0
398,0.01736208,0
399,0.01722207,0
400,0.01736208,0
401,0.0175021,0
402,0.0175021,0
403,0.01778213,0
404,0.01792215,0
405,0.01806217,0
406,0.01862223,0
407,0.01876225,0
408,0.01904229,0
409,0.01946234,0
410,0.01974237,0
411,0.02016242,0
412,0.02044245,0
413,0.02058247,0
414,0.0208625,0
415,0.02142257,0
416,0.02142257,0
417,0.0217026,0
418,0.02212265,0
419,0.02226267,0
420,0.02240269,0
421,0.02240269,0
422,0.02226267,0
423,0.02212265,0
424,0.02212265,0
425,0.02198264,0
426,0.02184262,0
427,0.02156259,0
428,0.02128255,0
429,0.0208625,0
430,0.02058247,0
431,0.02016242,0
432,0.01974237,0
433,0.0191823,0
434,0.01890227,0
435,0.01876225,0
436,0.01876225,0
437,0.01848222,0
438,0.0183422,0
439,0.0183422,0
440,0.0183422,0
441,0.0183422,0
442,0.01820218,0
443,0.01820218,0
444,0.01806217,0
445,0.01806217,0
446,0.01806217,0
447,0.01778213,0
448,0.01722207,0
449,0.01694203,0
450,0.01680202,0
451,0.016662,0
452,0.01652198,0
453,0.01638197,0
454,0.01624195,0
455,0.01610193,0
456,0.01596192,0
457,0.0158219,0
458,0.01554186,0
459,0.01540185,0
460,0.01512182,0
461,0.0149818,0
462,0.01484178,0
463,0.01470176,0
464,0.01442173,0
465,0.01428171,0
466,0.01428171,0
467,0.01428171,0
468,0.0141417,0
469,0.01428171,0
470,0.01442173,0
471,0.01456175,0
472,0.01484178,0
473,0.0149818,0
474,0.01540185,0
475,0.01596192,0
476,0.01652198,0
477,0.01722207,0
478,0.01848222,0
479,0.01932232,0
480,0.02030244,0
481,0.02184262,0
482,0.02310277,0
483,0.02436292,0
484,0.02618314,0
485,0.02772333,0
486,0.02940353,0
487,0.0316438,0
488,0.03318398,0
489,0.03486418,0
490,0.03738449,0
491,0.03906469,0
492,0.04074489,0
