## Type: dye
## Name: Opal-570
## Data scraped from graph.
Extinction coefficient: 1000
Quantum Yield: .5
wavelength,absorption,emission
461,0.019968578,0
462,0.020072303,0
463,0.020072649,0
464,0.020241326,0
465,0.024722084,0
466,0.029371402,0
467,0.029353883,0
468,0.03328125,0
469,0.037088135,0
470,0.041722916,0
471,0.045323719,0
472,0.04790592,0
473,0.050615984,0
474,0.056326819,0
475,0.062846406,0
476,0.069092901,0
477,0.073984458,0
478,0.080529777,0
479,0.084987095,0
480,0.090700546,0
481,0.096580621,0
482,0.101026929,0
483,0.106001133,0
484,0.11134548,0
485,0.117717653,0
486,0.123452829,0
487,0.125441547,0
488,0.131242877,0
489,0.136234342,0
490,0.139773336,0
491,0.143968731,0
492,0.144594055,0
493,0.151890845,0
494,0.159059285,0
495,0.164881882,0
496,0.174235125,0
497,0.182159322,0
498,0.190455834,0
499,0.20078374,0
500,0.21606523,0
501,0.228965197,0
502,0.240509137,0
503,0.252963932,0
504,0.2693132,0
505,0.284545688,0
506,0.301761513,0
507,0.319260519,0
508,0.334237526,0
509,0.354330969,0
510,0.374226966,0
511,0.395185061,0
512,0.412926528,0
513,0.429824681,0
514,0.444635817,0
515,0.453763119,0
516,0.464850423,0
517,0.475566892,0
518,0.485615402,0
519,0.486372998,0
520,0.4863732,0
521,0.486365694,0
522,0.482531816,0
523,0.481208204,0
524,0.47711494,0
525,0.473098192,0
526,0.467004375,0
527,0.464740947,0
528,0.464067939,0
529,0.464756844,0
530,0.464705264,0
531,0.469153913,0
532,0.476354337,0
533,0.486149649,0
534,0.498894356,0
535,0.509887216,0
536,0.526016094,0
537,0.542523745,0
538,0.565491871,0
539,0.585842706,0
540,0.613302119,0
541,0.641799273,0.049353609
542,0.673560119,0.059127856
543,0.695567011,0.080589704
544,0.725729873,0.089144145
545,0.762176636,0.108986411
546,0.812519453,0.133497286
547,0.852065302,0.15687709
548,0.886353072,0.19223095
549,0.918353074,0.229697055
550,0.946606068,0.272419308
551,0.970909783,0.328729315
552,0.990648421,0.375195978
553,0.998229139,0.42859303
554,0.996799856,0.481204839
555,0.986441945,0.546583693
556,0.968689606,0.60546367
557,0.933562992,0.676776071
558,0.887036555,0.739808312
559,0.840785183,0.793532571
560,0.765889487,0.851295392
561,0.72582908,0.89888397
562,0.655515612,0.938636837
563,0.594742641,0.96076696
564,0.533174857,0.983685555
565,0.457962359,0.998172978
566,0.419159024,0.998233819
567,0.369468668,0.995310379
568,0.323987678,0.982582292
569,0.27767463,0.967368966
570,0.23173486,0.943700169
571,0.183793882,0.914373501
572,0.162208936,0.884491153
573,0.14102765,0.856334668
574,0.113308036,0.8165253
575,0.101032051,0.785718697
576,0.076472607,0.732535606
577,0.057854589,0.703297175
578,0.047099919,0.666155803
579,0.037135179,0.630928715
580,0.029185281,0.597717059
581,0.021275922,0.566429741
582,0.015280541,0.538935138
583,0.009225101,0.511657282
584,0.007769245,0.48815017
585,0.003996886,0.464510401
586,-7.82368E-05,0.445814556
587,5.40E-09,0.423863465
588,0,0.405042805
589,0,0.387309685
590,0,0.37465141
591,0,0.358430395
592,0,0.349651746
593,0,0.339025515
594,0,0.329812308
595,0,0.323033637
596,0,0.319616865
597,0,0.315288629
598,0,0.310310934
599,0,0.30720151
600,0,0.306230135
601,0,0.302630722
602,0,0.301436626
603,0,0.297948195
604,0,0.297918005
605,0,0.298000095
606,0,0.298007453
607,0,0.293381953
608,0,0.291841067
609,0,0.291070424
610,0,0.286519807
611,0,0.280844061
612,0,0.27489507
613,0,0.269524718
614,0,0.26558489
615,0,0.255227481
616,0,0.24438227
617,0,0.240365809
618,0,0.23388177
619,0,0.223535384
620,0,0.213342655
621,0,0.204904
622,0,0.197282454
623,0,0.189178419
624,0,0.178930041
625,0,0.173453168
626,0,0.164915856
627,0,0.15746714
628,0,0.148231148
629,0,0.140427958
630,0,0.132114837
631,0,0.126574594
632,0,0.11968744
633,0,0.113443287
634,0,0.107883536
635,0,0.102973852
636,0,0.098535959
637,0,0.092749144
638,0,0.088751712
639,0,0.084887072
640,0,0.080241955
641,0,0.075657977
642,0,0.073262446
643,0,0.071019369
644,0,0.067230068
645,0,0.063301046
646,0,0.058902261
647,0,0.058673765
648,0,0.054042632
649,0,0.054044579
650,0,0.050183404
651,0,0.050181523
652,0,0.050185804
653,0,0.046325272
654,0,0.046321259
655,0,0.041689132
656,0,0.041689132
657,0,0.041689096
658,0,0.041463335
659,0,0.037056981
660,0,0.037055809
661,0,0.035449014
662,0,0.033198799
663,0,0.033196896
664,0,0.033205905
665,0,0.029796973
666,0,0.029336733
667,0,0.029336798
668,0,0.029336833
669,0,0.027544501
670,0,0.024704007
671,0,0.024704673
672,0,0.02470667
673,0,0.023107663
674,0,0.020177834
675,0,0.018464691
676,0,0.017238664
677,0,0.015141919
