## Type: dye
## Name: Opal-620
## Data scraped from graph.
Extinction coefficient: 
Quantum Yield: 
wavelength,absorption,emission
410,0.05450028,0
411,0.053990281,0
412,0.046433509,0
413,0.045513503,0
414,0.044394504,0
415,0.037009426,0
416,0.037058859,0
417,0.033069877,0
418,0.030879096,0
419,0.030885551,0
420,0.030772683,0
421,0.030715823,0
422,0.030451146,0
423,0.030168869,0
424,0.029869853,0
425,0.029554958,0
426,0.029225041,0
427,0.028880964,0
428,0.028523586,0
429,0.028153765,0
430,0.027772361,0
431,0.027380235,0
432,0.026978244,0
433,0.02656725,0
434,0.02614811,0
435,0.025721686,0
436,0.025288835,0
437,0.024850418,0
438,0.024407294,0
439,0.023960322,0
440,0.023510363,0
441,0.023058274,0
442,0.022604917,0
443,0.02215115,0
444,0.021697832,0
445,0.021245824,0
446,0.020795985,0
447,0.020349173,0
448,0.019906249,0
449,0.019468072,0
450,0.019035502,0
451,0.018609398,0
452,0.018190619,0
453,0.017780025,0
454,0.017378475,0
455,0.016986829,0
456,0.016605946,0
457,0.016236686,0
458,0.015879908,0
459,0.015536472,0
460,0.015207236,0
461,0.014893061,0
462,0.014594807,0
463,0.014313331,0
464,0.014049494,0
465,0.013813141,0
466,0.013896488,0
467,0.013896377,0
468,0.013896377,0
469,0.013896377,0
470,0.013896368,0
471,0.01384029,0
472,0.013885588,0
473,0.013835842,0
474,0.015439201,0
475,0.014698418,0
476,0.013893143,0
477,0.01400372,0
478,0.015596474,0
479,0.020070773,0
480,0.020072538,0
481,0.020072214,0
482,0.020598942,0
483,0.022331843,0
484,0.024751065,0
485,0.02531537,0
486,0.028544449,0
487,0.031721482,0
488,0.029333766,0
489,0.033194896,0
490,0.037058502,0
491,0.037563451,0
492,0.041679962,0
493,0.041702081,0
494,0.04547378,0
495,0.0470044,0
496,0.050190129,0
497,0.050134659,0
498,0.051298322,0
499,0.055502651,0
500,0.059981723,0
501,0.064328648,0
502,0.067098056,0
503,0.067107585,0
504,0.070964373,0
505,0.071035388,0
506,0.076392614,0
507,0.080296737,0
508,0.080290058,0
509,0.083995099,0
510,0.088753648,0
511,0.088778999,0
512,0.092762486,0
513,0.093353363,0
514,0.09801248,0
515,0.101134386,0
516,0.104092346,0
517,0.114313491,0
518,0.118598074,0
519,0.121493127,0
520,0.127249673,0
521,0.140171481,0
522,0.148220915,0
523,0.153585276,0
524,0.160508664,0
525,0.16696467,0
526,0.175311463,0
527,0.187162578,0
528,0.199204235,0
529,0.209194402,0
530,0.218099517,0
531,0.227157481,0
532,0.240289363,0
533,0.249274795,0
534,0.262812597,0
535,0.276408382,0
536,0.282854939,0
537,0.294270703,0
538,0.306048364,0
539,0.314641194,0
540,0.323233948,0
541,0.330628067,0
542,0.338811129,0
543,0.34594424,0
544,0.347499162,0
545,0.353433623,0
546,0.358290493,0
547,0.362167376,0
548,0.362867122,0
549,0.365924003,0
550,0.366615174,0
551,0.37054989,0
552,0.37519708,0
553,0.375203714,0
554,0.379555628,0
555,0.383691372,0
556,0.384073834,0
557,0.391862065,0
558,0.398112989,0
559,0.404819678,0
560,0.417572638,0
561,0.429750861,0
562,0.438620716,0
563,0.454496067,0
564,0.46916036,0
565,0.479286975,0
566,0.499792676,0
567,0.518496673,0
568,0.540111832,0
569,0.569860378,0
570,0.59935261,0
571,0.623430645,0
572,0.646527947,0
573,0.670536419,0
574,0.704888512,0
575,0.732082478,0
576,0.761628399,0
577,0.791448747,0
578,0.817595515,0
579,0.853852702,0
580,0.878117546,0
581,0.89981121,0
582,0.92550897,0
583,0.953137159,0
584,0.968423766,0
585,0.978660624,0
586,0.989269605,0
587,0.997432825,0
588,0.998223675,0
589,0.997336464,0
590,0.990386114,0.243938852
591,0.982377091,0.272014941
592,0.968140148,0.307732898
593,0.9507869,0.333522595
594,0.92517811,0.38543325
595,0.898889286,0.414898932
596,0.868583638,0.453754595
597,0.844026823,0.500373608
598,0.813795596,0.548407171
599,0.767477129,0.587181507
600,0.72554935,0.637116915
601,0.676791321,0.68037038
602,0.643362838,0.726476978
603,0.606246687,0.768005672
604,0.568293373,0.802711006
605,0.538995465,0.832118434
606,0.492465797,0.871148767
607,0.44980779,0.90519903
608,0.406755199,0.925863634
609,0.37467919,0.950097068
610,0.347536646,0.96939368
611,0.312249852,0.981855749
612,0.27074135,0.993418833
613,0.253134492,0.997478106
614,0.224747203,0.99513004
615,0.20166653,0.995192841
616,0.179718612,0.988766355
617,0.165095961,0.977930416
618,0.150692399,0.964423748
619,0.128424035,0.953056156
620,0.114196446,0.942926012
621,0.100960249,0.932234761
622,0.08710643,0.884495553
623,0.080286836,0.860081082
624,0.07357787,0.837550314
625,0.066897542,0.81096663
626,0.055377727,0.787531009
627,0.050194546,0.762277224
628,0.0424374,0.731682245
629,0.03708629,0.703945045
630,0.037068195,0.675490908
631,0.026137064,0.640425123
632,0.020845188,0.612262221
633,0.019919137,0.588503653
634,0.01541268,0.569378609
635,0.012380185,0.538177926
636,0.011165956,0.521406484
637,0.01212247,0.49291633
638,0.012819046,0.46800583
639,0.012394766,0.444348072
640,0.00509688,0.42631885
641,0.002312718,0.409186201
642,0.004632064,0.393237859
643,0.007696287,0.373325165
644,0.002686924,0.357838618
645,0.001763566,0.32832648
646,0.003090897,0.32627699
647,0.003088086,0.320425455
648,0.003088084,0.296731413
649,0.003088084,0.288393847
650,0.003088084,0.278701978
651,0.003171064,0.267853917
652,0.003077452,0.255468534
653,0.001344531,0.244530187
654,-2.89046E-05,0.238696218
655,0.004261152,0.231141879
656,0.002229221,0.222364549
657,0.001430242,0.214878658
658,0.002758159,0.207000048
659,0.002315976,0.200723022
660,-3.44709E-05,0.196694759
661,-4.48172E-05,0.190511175
662,-8.1168E-05,0.182263769
663,0.002515367,0.177601791
664,0.003082093,0.175576572
665,0.006412499,0.169565173
666,0.002439708,0.165972231
667,8.25448E-06,0.164576178
668,1.66729E-05,0.155939753
669,5.36267E-06,0.151402044
670,4.96E-08,0.149679968
