## Type: dye
## Name: Quasar 670
Extinction coefficient: 187000
Quantum Yield: 
wavelength,absorption,emission
402, 9.50E-07, 0
403, 9.50E-07, 0
404, 9.50E-07, 0
405, 9.50E-07, 0
406, 9.50E-07, 0
407, 9.50E-07, 0
408, 9.50E-07, 0
409, 9.50E-07, 0
410, 9.50E-07, 0
411, 9.50E-07, 0
412, 9.50E-07, 0
413, 9.50E-07, 0
414, 9.50E-07, 0
415, 9.50E-07, 0
416, 9.50E-07, 0
417, 9.50E-07, 0
418, 9.50E-07, 0
419, 9.50E-07, 0
420, 9.50E-07, 0
421, 9.50E-07, 0
422, 9.50E-07, 0
423, 9.50E-07, 0
424, 9.50E-07, 0
425, 9.50E-07, 0
426, 9.50E-07, 0
427, 9.50E-07, 0
428, 9.50E-07, 0
429, 9.50E-07, 0
430, 9.50E-07, 0
431, 9.50E-07, 0
432, 9.50E-07, 0
433, 9.50E-07, 0
434, 9.50E-07, 0
435, 9.50E-07, 0
436, 9.50E-07, 0
437, 9.50E-07, 0
438, 9.50E-07, 0
439, 9.50E-07, 0
440, 9.50E-07, 0
441, 9.50E-07, 0
442, 9.50E-07, 0
443, 9.50E-07, 0
444, 9.50E-07, 0
445, 9.50E-07, 0
446, 9.50E-07, 0
447, 1.08E-06, 0
448, 3.86E-05, 0
449, 3.31E-05, 0
450, 9.50E-07, 0
451, 0.000112495, 0
452, 0.000145588, 0
453, 9.48E-05, 0
454, 0.000108082, 0
455, 0.000163237, 0
456, 0.000186402, 0
457, 0.000312156, 0
458, 0.000468797, 0
459, 0.000559252, 0
460, 0.000613304, 0
461, 0.000700449, 0
462, 0.000883564, 0
463, 0.00103028, 0
464, 0.00116155, 0
465, 0.00127406, 0
466, 0.00140754, 0
467, 0.00147814, 0
468, 0.00151344, 0
469, 0.00159507, 0
470, 0.0017859, 0
471, 0.00188629, 0
472, 0.00194144, 0
473, 0.0020352, 0
474, 0.00222714, 0
475, 0.00226024, 0
476, 0.00230877, 0
477, 0.00240474, 0
478, 0.0024963, 0
479, 0.00259337, 0
480, 0.00272133, 0
481, 0.00297174, 0
482, 0.00309529, 0
483, 0.00300925, 0
484, 0.00306771, 0
485, 0.00318684, 0
486, 0.00335121, 0
487, 0.00354646, 0
488, 0.00368876, 0
489, 0.00383216, 0
490, 0.00388952, 0
491, 0.00408367, 0
492, 0.00439033, 0
493, 0.00466059, 0
494, 0.00493968, 0
495, 0.00522317, 0
496, 0.00547689, 0
497, 0.00574384, 0
498, 0.00600086, 0
499, 0.00630201, 0
500, 0.00663184, 0
501, 0.00694291, 0
502, 0.00724406, 0
503, 0.0075783, 0
504, 0.00788607, 0
505, 0.00823354, 0
506, 0.00861081, 0
507, 0.00901234, 0
508, 0.00937857, 0
509, 0.00971612, 0
510, 0.010207, 0
511, 0.0106868, 0
512, 0.0111391, 0
513, 0.0117083, 0
514, 0.0122775, 0
515, 0.0127541, 0
516, 0.0133442, 0
517, 0.013994, 0
518, 0.0146525, 0
519, 0.0152383, 0
520, 0.0159167, 0
521, 0.016695499, 0
522, 0.017401399, 0
523, 0.0182078, 0
524, 0.0190583, 0
525, 0.019904399, 0
526, 0.020729501, 0
527, 0.021630701, 0
528, 0.022597101, 0
529, 0.0235612, 0
530, 0.024576001, 0
531, 0.0256957, 0
532, 0.0268672, 0
533, 0.0281082, 0
534, 0.0293878, 0
535, 0.0308262, 0
536, 0.0323507, 0
537, 0.033916, 0
538, 0.0356148, 0
539, 0.037358802, 0
540, 0.039159101, 0
541, 0.040994599, 0
542, 0.042913999, 0
543, 0.044849999, 0
544, 0.046916101, 0
545, 0.048958998, 0
546, 0.051047198, 0
547, 0.053185001, 0
548, 0.055361401, 0
549, 0.057587501, 0
550, 0.059799202, 0
551, 0.062049601, 0
552, 0.064367197, 0
553, 0.066538103, 0
554, 0.068832599, 0
555, 0.071102701, 0
556, 0.073404901, 0
557, 0.075737998, 0
558, 0.078052297, 0
559, 0.080451503, 0
560, 0.082874, 0
561, 0.0853725, 0
562, 0.087973602, 0
563, 0.0906277, 0
564, 0.093465999, 0
565, 0.096453197, 0
566, 0.099602498, 0
567, 0.103022002, 0
568, 0.106593996, 0
569, 0.110533997, 0
570, 0.114692003, 0
571, 0.119167, 0
572, 0.123989999, 0
573, 0.129154995, 0
574, 0.134699002, 0
575, 0.140564993, 0
576, 0.146856993, 0
577, 0.153597996, 0
578, 0.160670996, 0
579, 0.168020993, 0
580, 0.175865993, 0
581, 0.184107006, 0
582, 0.192612007, 0
583, 0.201416001, 0
584, 0.210543007, 0
585, 0.219745994, 0
586, 0.229157001, 0
587, 0.238594994, 0
588, 0.248276994, 0
589, 0.257849991, 0
590, 0.267201006, 0
591, 0.276457012, 0
592, 0.285365999, 0
593, 0.293848008, 0
594, 0.301990986, 0
595, 0.309671015, 0
596, 0.31684199, 0
597, 0.323332995, 0
598, 0.329149991, 0
599, 0.334385008, 0
600, 0.33898899, 0
601, 0.342954993, 0
602, 0.346397012, 0
603, 0.349260986, 0
604, 0.351604015, 0
605, 0.353563011, 0
606, 0.355273008, 0
607, 0.356882006, 0
608, 0.358404994, 0
609, 0.360033989, 0
610, 0.361936003, 0
611, 0.364167005, 0
612, 0.366878986, 0
613, 0.370267987, 0
614, 0.374354988, 0
615, 0.379132986, 0
616, 0.384810001, 0
617, 0.391631007, 0
618, 0.399708986, 0
619, 0.409052014, 0
620, 0.419743001, 0
621, 0.431950003, 0
622, 0.445674986, 0
623, 0.46124199, 0
624, 0.478556007, 0
625, 0.497707009, 0
626, 0.518411994, 0
627, 0.540538013, 0
628, 0.564273, 0
629, 0.589489996, 0
630, 0.616020977, 0
631, 0.64377898, 0.056060001
632, 0.672308981, 0.066238701
633, 0.701638997, 0.076333299
634, 0.73141402, 0.087874196
635, 0.761464, 0.100878999
636, 0.791678011, 0.115344003
637, 0.821174979, 0.131346002
638, 0.849877, 0.148977995
639, 0.87737, 0.168487996
640, 0.90298897, 0.190204993
641, 0.926477015, 0.214231998
642, 0.947305977, 0.240592003
643, 0.965300977, 0.269318014
644, 0.979846001, 0.300258011
645, 0.990432024, 0.333285987
646, 0.997380972, 0.368369997
647, 1, 0.405371994
648, 0.998161972, 0.444083989
649, 0.991868019, 0.484283
650, 0.980840981, 0.52571398
651, 0.96341598, 0.567875981
652, 0.943277001, 0.610192001
653, 0.922250986, 0.652447999
654, 0.89883399, 0.694284976
655, 0.869503021, 0.734862983
656, 0.836571991, 0.773644984
657, 0.801028013, 0.810497999
658, 0.763356984, 0.845210016
659, 0.724205971, 0.877539992
660, 0.686097026, 0.907323003
661, 0.645618975, 0.933937013
662, 0.601822972, 0.956411004
663, 0.556997001, 0.974345982
664, 0.515128016, 0.987797022
665, 0.474943995, 0.996535003
666, 0.436046988, 1
667, 0.398754001, 0.997892022
668, 0.363445014, 0.990576982
669, 0.33010599, 0.978673995
670, 0.298671007, 0.962889016
671, 0.269488007, 0.943982005
672, 0.242355004, 0.922105014
673, 0.217383996, 0.897212029
674, 0.194463, 0.869728029
675, 0.173650995, 0.83997798
676, 0.154868007, 0.808390021
677, 0.137832999, 0.776040018
678, 0.122406997, 0.743543029
679, 0.108677, 0.710875988
680, 0.096372597, 0.678192973
681, 0.085493803, 0.645606995
682, 0.075825103, 0.613241971
683, 0.067280501, 0.581396997
684, 0.0597286, 0.550329983
685, 0.053027298, 0.520398021
686, 0.047188599, 0.491668999
687, 0.042070199, 0.464037001
688, 0.037570599, 0.438026011
689, 0.033647999, 0.414103001
690, 0.030203, 0.391961992
691, 0.027177099, 0.371214986
692, 0.0246069, 0.351612985
693, 0.0222452, 0.332964003
694, 0.0202199, 0.315376997
695, 0.0183865, 0.299003005
696, 0.016819, 0.283906013
697, 0.0154269, 0.270209998
698, 0.0141065, 0.257768005
699, 0.0129306, 0.246288002
700, 0.0119477, 0.235779002
701, 0, 0.226255998
702, 0, 0.217641994
703, 0, 0.209995002
704, 0, 0.203219995
705, 0, 0.197138995
706, 0, 0.191616997
707, 0, 0.186404005
708, 0, 0.181452006
709, 0, 0.176887006
710, 0, 0.172692001
711, 0, 0.168927997
712, 0, 0.165576994
713, 0, 0.162368998
714, 0, 0.159275994
715, 0, 0.156449005
716, 0, 0.153953999
717, 0, 0.151822001
718, 0, 0.149963006
719, 0, 0.148113996
720, 0, 0.146126002
721, 0, 0.144021004
722, 0, 0.141876996
723, 0, 0.139788002
724, 0, 0.137819007
725, 0, 0.135910004
726, 0, 0.133876994
727, 0, 0.131576002
728, 0, 0.129007995
729, 0, 0.126274005
730, 0, 0.123535
731, 0, 0.120918997
732, 0, 0.118404001
733, 0, 0.115795001
734, 0, 0.112902001
735, 0, 0.109708004
736, 0, 0.106298
737, 0, 0.102812998
738, 0, 0.099412799
739, 0, 0.096161798
740, 0, 0.093027003
741, 0, 0.089936897
742, 0, 0.086895898
743, 0, 0.083944201
744, 0, 0.081027202
745, 0, 0.078082196
746, 0, 0.075147301
747, 0, 0.0722102
748, 0, 0.069309898
749, 0, 0.066581599
750, 0, 0.063996203
