Type: Dye
Name: SYBER green
Extinction coefficient: 58000 
Quantum Yield: 0.8
wavelength,excitation,emission
300,0.192246005,0
301,0.191804007,0
302,0.187162995,0
303,0.172811002,0
304,0.173086002,0
305,0.165294006,0
306,0.16358,0
307,0.160061002,0
308,0.148074001,0
309,0.154256001,0
310,0.149744004,0
311,0.143197998,0
312,0.144400999,0
313,0.132047996,0
314,0.138741001,0
315,0.115414001,0
316,0.114253998,0
317,0.112349004,0
318,0.107823998,0
319,0.095280498,0
320,0.098037198,0
321,0.097414702,0
322,0.090326101,0
323,0.089639999,0
324,0.086969703,0
325,0.080373399,0
326,0.075699098,0
327,0.080032803,0
328,0.076618999,0
329,0.075869203,0
330,0.0701572,0
331,0.066725001,0
332,0.0672938,0
333,0.063970603,0
334,0.063147403,0
335,0.060968898,0
336,0.065000303,0
337,0.060052399,0
338,0.059590898,0
339,0.057916701,0
340,0.057155501,0
341,0.057985201,0
342,0.0623536,0
343,0.061886899,0
344,0.063245103,0
345,0.064738199,0
346,0.063090198,0
347,0.067644499,0
348,0.064741701,0
349,0.069930002,0
350,0.072710797,0
351,0.0771292,0
352,0.079743497,0
353,0.080140598,0
354,0.0852613,0
355,0.088711403,0
356,0.091891803,0
357,0.093333498,0
358,0.0975926,0
359,0.106170997,0
360,0.106109999,0
361,0.107478,0
362,0.111713998,0
363,0.112616003,0
364,0.114214003,0
365,0.119681999,0
366,0.120909996,0
367,0.117927,0
368,0.125865996,0
369,0.124531001,0
370,0.122965999,0
371,0.127443001,0
372,0.125356004,0
373,0.116852999,0
374,0.122807004,0
375,0.127277002,0
376,0.120384,0
377,0.119075999,0
378,0.114785001,0
379,0.119791001,0
380,0.115650997,0
381,0.113523997,0
382,0.108910002,0
383,0.105599001,0
384,0.107247002,0
385,0.103335001,0
386,0.096465804,0
387,0.091678798,0
388,0.085212201,0
389,0.0811138,0
390,0.077023402,0
391,0.073010199,0
392,0.067759,0
393,0.0593598,0
394,0.055136699,0
395,0.053669699,0
396,0.049459901,0
397,0.043194,0
398,0.039258402,0
399,0.035831802,0
400,0.033233099,0
401,0.0327648,0
402,0.027386099,0
403,0.0265285,0
404,0.023253299,0
405,0.022606499,0
406,0.0228945,0
407,0.019968299,0
408,0.0211231,0
409,0.019655099,0
410,0.0212206,0
411,0.0173552,0
412,0.020799501,0
413,0.020453701,0
414,0.022712501,0
415,0.022952501,0
416,0.0226744,0
417,0.024935,0
418,0.0257874,0
419,0.028499199,0
420,0.0299324,0
421,0.031449199,0
422,0.0331783,0
423,0.036554001,0
424,0.038396701,0
425,0.040499002,0
426,0.045034502,0
427,0.050173201,0
428,0.051544901,0
429,0.0546478,0
430,0.0606668,0
431,0.0640788,0
432,0.066160999,0
433,0.072885104,0
434,0.0759148,0
435,0.080186799,0
436,0.086414903,0
437,0.093801998,0
438,0.099165402,0
439,0.105486996,0
440,0.107144997,0
441,0.112866998,0
442,0.123871997,0
443,0.131170005,0
444,0.140561,0
445,0.149791002,0
446,0.157713994,0
447,0.166336998,0
448,0.173454002,0
449,0.186095998,0
450,0.200740993,0
451,0.209252,0
452,0.223738,0
453,0.234063998,0
454,0.247461006,0
455,0.259108007,0
456,0.275132,0
457,0.291299999,0
458,0.307200998,0
459,0.322441012,0
460,0.335471004,0
461,0.361297995,0
462,0.371028006,0
463,0.389544994,0
464,0.409700006,0
465,0.421860993,0
466,0.444094002,0
467,0.462172002,0
468,0.483121991,0
469,0.493189991,0
470,0.507273972,0
471,0.528486013,0
472,0.543098986,0
473,0.561583996,0
474,0.57249397,0
475,0.592423975,0
476,0.601369977,0
477,0.626325011,0
478,0.640397012,0
479,0.665270984,0
480,0.678059995,0.020752801
481,0.69927001,0.0148906
