## Type: dye
## Name: SiR-DNA
Extinction coefficient: 100000
Quantum Yield: 0.17
wavelength,absorption,emission
450,0.014144986,0
451,0.013892397,0
452,0.013387219,0
453,0.01313463,0
454,0.013387219,0
455,0.01313463,0
456,0.01313463,0
457,0.012882041,0
458,0.012882041,0
459,0.012882041,0
460,0.012882041,0
461,0.012629452,0
462,0.012882041,0
463,0.012882041,0
464,0.012629452,0
465,0.011871685,0
466,0.011619096,0
467,0.012124274,0
468,0.012124274,0
469,0.012376863,0
470,0.012376863,0
471,0.012376863,0
472,0.012376863,0
473,0.012376863,0
474,0.012376863,0
475,0.012124274,0
476,0.012124274,0
477,0.012124274,0
478,0.012376863,0
479,0.012124274,0
480,0.012124274,0
481,0.012124274,0
482,0.012124274,0
483,0.011871685,0
484,0.011871685,0
485,0.011871685,0
486,0.011871685,0
487,0.011871685,0
488,0.012124274,0
489,0.012124274,0
490,0.011871685,0
491,0.012124274,0
492,0.012376863,0
493,0.012629452,0
494,0.012629452,0
495,0.012629452,0
496,0.012882041,0
497,0.01313463,0
498,0.01313463,0
499,0.012629452,0
500,0.012882041,0
501,0.012882041,0
502,0.013387219,0
503,0.013387219,0
504,0.013639808,0
505,0.013639808,0
506,0.013639808,0
507,0.013639808,0
508,0.013892397,0
509,0.014144986,0
510,0.014397575,0
511,0.014650164,0
512,0.014397575,0
513,0.014902753,0
514,0.015155342,0
515,0.015155342,0
516,0.015660521,0
517,0.016165698,0
518,0.016418288,0
519,0.016418288,0
520,0.016418288,0
521,0.016923467,0
522,0.016923467,0
523,0.017428644,0
524,0.017933821,0
525,0.018439,0
526,0.018691588,0
527,0.018944178,0
528,0.019701945,0
529,0.020459712,0
530,0.020964891,0
531,0.021217478,0
532,0.021975245,0
533,0.022733012,0
534,0.023238191,0
535,0.023743371,0
536,0.024248548,0
537,0.025511494,0
538,0.026521849,0
539,0.027279615,0
540,0.028542561,0
541,0.029300328,0
542,0.030310685,0
543,0.031321041,0
544,0.032331396,0
545,0.03384693,0
546,0.034857288,0
547,0.036120232,0
548,0.037383176,0
549,0.038393535,0
550,0.039656479,0
551,0.041172013,0
552,0.042434957,0
553,0.043950494,0
554,0.045213439,0
555,0.046728972,0
556,0.048244506,0
557,0.04950745,0
558,0.051022988,0
559,0.052285932,0
560,0.054054055,0
561,0.055822179,0
562,0.057085123,0
563,0.058600657,0
564,0.06011619,0
565,0.062136903,0
566,0.06390503,0
567,0.06567315,0
568,0.067946449,0
569,0.070219755,0
570,0.072493054,0
571,0.075524122,0
572,0.078555189,0
573,0.081586257,0
574,0.084869914,0
575,0.08891134,0
576,0.092700176,0
577,0.096994191,0
578,0.101540796,0
579,0.106339984,0
580,0.112149537,0.004330676
581,0.117959082,0.003627286
582,0.123768628,0.002923896
583,0.130083352,0.002475657
584,0.136398077,0.002027418
585,0.143217981,0.001889498
586,0.149785295,0.001751579
587,0.156605199,0.001813643
588,0.163677692,0.001875707
589,0.170750186,0.001723995
590,0.177822679,0.001572284
591,0.185147762,0.001455052
592,0.192220256,0.00133782
593,0.199292749,0.001544699
594,0.206365243,0.001751579
595,0.213185146,0.001572284
596,0.219499871,0.001392988
597,0.225562006,0.0015447
598,0.231624141,0.001696411
599,0.236928523,0.001655036
600,0.24172771,0.00161366
601,0.246021718,0.001896395
602,0.250063151,0.00217913
603,0.253599405,0.002337737
604,0.256377876,0.002496345
605,0.258903772,0.002744601
606,0.260924488,0.002992856
607,0.2626926,0.003082504
608,0.264460713,0.003172151
609,0.265723675,0.00358591
610,0.266986609,0.003999669
611,0.268249571,0.004585827
612,0.269765079,0.005171986
613,0.271785796,0.005330593
614,0.273553938,0.005489201
615,0.276079804,0.006764957
616,0.279363483,0.008040714
617,0.283404887,0.008778584
618,0.288204104,0.009516454
619,0.293761045,0.010619811
620,0.300328374,0.011723168
621,0.308663815,0.013426475
622,0.318009585,0.015129782
623,0.328870922,0.017957134
624,0.340742618,0.020784486
625,0.355140179,0.022591233
626,0.371053308,0.02439798
627,0.38822934,0.029680302
628,0.406668365,0.034962624
629,0.428138405,0.038500262
630,0.451124012,0.042037901
631,0.474614799,0.049030425
632,0.500126302,0.05602295
633,0.527405918,0.06376024
634,0.555190682,0.07149753
635,0.584996223,0.075773038
636,0.615054309,0.080048546
637,0.645617604,0.096523046
638,0.676938593,0.112997547
639,0.70927,0.126899846
640,0.741348803,0.140802145
641,0.77368021,0.159366123
642,0.805759013,0.177930102
643,0.837080061,0.188701622
644,0.865875244,0.199473143
645,0.893660009,0.223126359
646,0.919676661,0.246779576
647,0.94215709,0.274887599
648,0.961606443,0.302995622
649,0.977772176,0.33624804
650,0.989643872,0.369500458
651,0.996968925,0.398663566
652,1,0.427826673
653,0.998737037,0.463609919
654,0.993180096,0.499393165
655,0.982318759,0.532880038
656,0.967415988,0.566366911
657,0.947966635,0.598660797
658,0.925991416,0.630954683
659,0.899469554,0.667744726
660,0.870169222,0.704534769
661,0.836322308,0.741766185
662,0.800454676,0.7789976
663,0.762061119,0.811463892
664,0.721646905,0.843930185
665,0.680980027,0.869155675
666,0.638545096,0.894381166
667,0.595352352,0.919261873
668,0.553169966,0.94414258
669,0.51048243,0.956327766
670,0.468805254,0.968512952
671,0.428896189,0.983353108
672,0.391007841,0.998193264
673,0.354887605,0.999096632
674,0.321293265,1
675,0.289719611,0.998689771
676,0.260166705,0.997379541
677,0.232887089,0.985463291
678,0.208891138,0.973547041
679,0.186158121,0.957017362
680,0.165950999,0.940487683
681,0.148269758,0.928495586
682,0.13159889,0.916503489
683,0.116696134,0.889788449
684,0.104066685,0.863073409
685,0.092447586,0.831972539
686,0.082091436,0.80087167
687,0.072998233,0.782686949
688,0.064662792,0.764502227
689,0.057085123,0.737601012
690,0.050517809,0.710699797
691,0.044708259,0.676350921
692,0.0391513,0.642002046
693,0.034857288,0.619369447
694,0.031068452,0.596736848
695,0.027784795,0.570325226
696,0.025006315,0.543913603
697,0.022480424,0.514226407
698,0.020207124,0.484539211
699,0.018186411,0.465230465
700,0.016670875,0.445921719
701,0.014902753,0.42594406
702,0.013639808,0.405966401
703,0.012376863,0.389809117
704,0.011366507,0.373651832
705,0.010861329,0.357115269
706,0.009850972,0.340578705
707,0.009345794,0.331220865
708,0.009093205,0.321863025
709,0.008335438,0.312153473
710,0.00783026,0.302443922
711,0.007325082,0.293913603
712,0.007325082,0.285383284
713,0.006819904,0.271370649
714,0.006819904,0.257358015
715,0.006567315,0.25157918
716,0.006062137,0.245800346
717,0.005809548,0.239952557
718,0.005809548,0.234104767
719,0.005556959,0.229739606
720,0.005556959,0.225374445
721,0.00530437,0.219747327
722,0.005051781,0.214120209
723,0.005051781,0.211030811
724,0.005051781,0.207941413
725,0.004799192,0.203734867
726,0.004799192,0.199528322
727,0.005051781,0.196576841
728,0.004799192,0.193625361
729,0.004546603,0.188060299
730,0.004546603,0.182495236
731,0.004546603,0.180840202
732,0.004546603,0.179185167
733,0.004546603,0.173709758
734,0.004546603,0.168234348
735,0.004294014,0.166282788
736,0.004041425,0.164331228
737,0.003788836,0.163993321
738,0.004041425,0.163655415
739,0.004041425,0.158269659
740,0.004294014,0.152883902
741,0.004041425,0.151587456
742,0.003536247,0.150291011
743,0.004041425,0.144719057
744,0.004041425,0.139147103
745,0.003536247,0.138802305
746,0.003788836,0.138457507
747,0.003788836,0.132706262
748,0.003536247,0.126955017
749,0.003536247,0.124851741
750,0.003788836,0.122748464
751,0,0.120624501
752,0,0.118500538
753,0,0.112942375
754,0,0.107384212
755,0,0.104887869
756,0,0.102391526
757,0,0.097350564
758,0,0.092309602
759,0,0.090213224
760,0,0.088116847
761,0,0.084013738
762,0,0.079910628
763,0,0.078455575
764,0,0.077000521
765,0,0.07530411
766,0,0.073607698
767,0,0.070373483
768,0,0.067139268
769,0,0.065035995
770,0,0.062932722
771,0,0.061532838
772,0,0.060132954
773,0,0.059084766
774,0,0.058036577
775,0,0.05398174
776,0,0.049926903
777,0,0.047989132
778,0,0.046051361
779,0,0.044568725
780,0,0.043086089
781,0,0.042727498
782,0,0.042368907
783,0,0.040231153
784,0,0.038093399
785,0,0.036707306
786,0,0.035321213
787,0,0.03308002
788,0,0.030838827
789,0,0.029838909
790,0,0.028838992
791,0,0.028611425
792,0,0.028383859
793,0,0.027025349
794,0,0.02566684
795,0,0.025577193
796,0,0.025487546
797,0,0.024473837
798,0,0.023460127
799,0,0.022211955
800,0,0.020963782
801,0,0.020908615
802,0,0.020853447
803,0,0.020508648
804,0,0.020163849
805,0,0.019301851
806,0,0.018439854
807,0,0.018053678
808,0,0.017667502
809,0,0.017943342
810,0,0.018219182
811,0,0.016860674
812,0,0.015502165
813,0,0.015198742
814,0,0.014895319
815,0,0.015067718
816,0,0.015240118
817,0,0.015053927
818,0,0.014867735
819,0,0.014378121
820,0,0.013888506
821,0,0.013198908
822,0,0.01250931
