## Type: dye
## Name: iFluor-810
Extinction coefficient: 250000
Quantum Yield: 0.05
wavelength,absorption,emission
250, 12, 0
251, 12, 0
252, 12, 0
253, 12, 0
254, 12, 0
255, 12, 0
256, 12, 0
257, 12, 0
258, 12, 0
259, 12, 0
260, 13, 0
261, 13, 0
262, 13, 0
263, 14, 0
264, 14, 0
265, 14, 0
266, 15, 0
267, 15, 0
268, 15, 0
269, 16, 0
270, 16, 0
271, 17, 0
272, 17, 0
273, 17, 0
274, 17, 0
275, 17, 0
276, 18, 0
277, 18, 0
278, 18, 0
279, 18, 0
280, 18, 0
281, 18, 0
282, 18, 0
283, 18, 0
284, 19, 0
285, 19, 0
286, 19, 0
287, 19, 0
288, 19, 0
289, 19, 0
290, 19, 0
291, 19, 0
292, 18, 0
293, 18, 0
294, 18, 0
295, 18, 0
296, 18, 0
297, 17, 0
298, 17, 0
299, 17, 0
300, 17, 0
301, 16, 0
302, 16, 0
303, 15, 0
304, 15, 0
305, 14, 0
306, 13, 0
307, 13, 0
308, 12, 0
309, 11, 0
310, 10, 0
311, 10, 0
312, 9, 0
313, 8, 0
314, 8, 0
315, 8, 0
316, 7, 0
317, 7, 0
318, 6, 0
319, 6, 0
320, 6, 0
321, 6, 0
322, 5, 0
323, 5, 0
324, 5, 0
325, 5, 0
326, 5, 0
327, 5, 0
328, 4, 0
329, 4, 0
330, 4, 0
331, 4, 0
332, 4, 0
333, 4, 0
334, 4, 0
335, 4, 0
336, 4, 0
337, 4, 0
338, 4, 0
339, 4, 0
340, 4, 0
341, 4, 0
342, 3, 0
343, 3, 0
344, 3, 0
345, 3, 0
346, 3, 0
347, 3, 0
348, 3, 0
349, 3, 0
350, 3, 0
351, 3, 0
352, 3, 0
353, 3, 0
354, 3, 0
355, 3, 0
356, 3, 0
357, 3, 0
358, 3, 0
359, 3, 0
360, 3, 0
361, 3, 0
362, 3, 0
363, 3, 0
364, 3, 0
365, 3, 0
366, 3, 0
367, 3, 0
368, 3, 0
369, 3, 0
370, 3, 0
371, 3, 0
372, 3, 0
373, 3, 0
374, 3, 0
375, 4, 0
376, 4, 0
377, 4, 0
378, 4, 0
379, 4, 0
380, 4, 0
381, 4, 0
382, 4, 0
383, 4, 0
384, 4, 0
