## Type: Dye
## Name: lysotracker red
Extinction coefficient: 
Quantum Yield: 
wavelength,absorption,emission
250,0.081935696,0
251,0.0749695,0
252,0.069529198,0
253,0.065097399,0
254,0.062058799,0
255,0.0600552,0
256,0.058515999,0
257,0.057799499,0
258,0.057826001,0
259,0.0586222,0
260,0.059869401,0
261,0.061514799,0
262,0.063916497,0
263,0.066477403,0
264,0.069449604,0
265,0.072872996,0
266,0.076336198,0
267,0.0802771,0
268,0.084390402,0
269,0.088794403,0
270,0.093466401,0
271,0.098641299,0
272,0.103497997,0
273,0.108620003,0
274,0.113449,0
275,0.118492,0
276,0.122418001,0
277,0.126771003,0
278,0.131004006,0
279,0.135462999,0
280,0.140107006,0
281,0.145294994,0
282,0.151186004,0
283,0.156653002,0
284,0.162677005,0
285,0.168170005,0
286,0.173411995,0
287,0.177444994,0
288,0.180483997,0
289,0.182221994,0
290,0.182181999,0
291,0.180803001,0
292,0.178241998,0
293,0.174553007,0
294,0.170399994,0
295,0.165622994,0
296,0.160367996,0
297,0.154542997,0
298,0.148160994,0
299,0.141406998,0
300,0.134095997,0
301,0.126996994,0
302,0.119897999,0
303,0.112705998,0
304,0.106137998,0
305,0.100126997,0
306,0.094660603,0
307,0.0896184,0
308,0.085438699,0
309,0.081803001,0
310,0.079016499,0
311,0.076349497,0
312,0.074213199,0
313,0.072634101,0
314,0.071426697,0
315,0.070245698,0
316,0.069117904,0
317,0.068534002,0
318,0.067830801,0
319,0.067392901,0
320,0.066915199,0
321,0.066477403,0
322,0.066543698,0
323,0.066411003,0
324,0.066132396,0
325,0.065973103,0
326,0.066105798,0
327,0.066145599,0
328,0.065787397,0
329,0.065813899,0
330,0.065840498,0
331,0.066013001,0
332,0.066026203,0
333,0.065946601,0
334,0.0662385,0
335,0.066251799,0
336,0.066424303,0
337,0.066225298,0
338,0.0662916,0
339,0.066835597,0
340,0.067180596,0
341,0.067419499,0
342,0.067963503,0
343,0.068308502,0
344,0.0685606,0
345,0.069078103,0
346,0.069436297,0
347,0.069821097,0
348,0.070192702,0
349,0.070484601,0
350,0.070895903,0
351,0.071015298,0
352,0.071055099,0
353,0.071055099,0
354,0.070909202,0
355,0.070856102,0
356,0.071041897,0
357,0.070643798,0
358,0.070749998,0
359,0.0708296,0
360,0.070484601,0
361,0.0704979,0
362,0.070564203,0
363,0.070603997,0
364,0.070577502,0
365,0.070643798,0
366,0.0707765,0
367,0.070803002,0
368,0.071002103,0
369,0.071479797,0
370,0.071745098,0
371,0.072103404,0
372,0.072129898,0
373,0.072488204,0
374,0.072607599,0
375,0.072673999,0
376,0.072461702,0
377,0.072103404,0
378,0.071718603,0
379,0.071333803,0
380,0.070590697,0
381,0.0692771,0
