## Type: Dye
## Name: mBeRFP
Extinction coefficient: 65000
Quantum Yield: 0.27
wavelength,absorption,emission
400,0.4995,0
401,0.5066,0
402,0.5137,0
403,0.5227,0
404,0.5317,0
405,0.5438,0
406,0.5558,0
407,0.5692,0
408,0.5825,0
409,0.5965,0
410,0.6104,0
411,0.6262,0
412,0.642,0
413,0.6574,0
414,0.6727,0
415,0.6874,0
416,0.7022,0
417,0.7163,0
418,0.7305,0
419,0.745,0
420,0.7595,0
421,0.7738,0
422,0.7882,0
423,0.8008,0
424,0.8134,0
425,0.8259,0
426,0.8384,0
427,0.851,0
428,0.8636,0
429,0.8759,0
430,0.8882,0
431,0.8998,0
432,0.9114,0
433,0.9225,0
434,0.9335,0
435,0.9423,0
436,0.9511,0
437,0.959,0
438,0.9669,0
439,0.9732,0
440,0.9795,0
441,0.9849,0
442,0.9903,0
443,0.9942,0
444,0.9981,0
445,0.9991,0
446,1,0
447,0.998,0
448,0.996,0
449,0.9905,0
450,0.9849,0
451,0.977,0
452,0.9692,0
453,0.9585,0
454,0.9478,0
455,0.936,0
456,0.9241,0
457,0.9094,0
458,0.8947,0
459,0.8808,0
460,0.8668,0
461,0.8537,0
462,0.8406,0
463,0.8281,0
464,0.8156,0
465,0.805,0
466,0.7944,0
467,0.784,0
468,0.7736,0
469,0.7646,0
470,0.7557,0
471,0.7449,0
472,0.7342,0
473,0.7225,0
474,0.7108,0
475,0.6967,0
476,0.6826,0
477,0.664,0
478,0.6455,0
479,0.6242,0
480,0.603,0
481,0.5798,0
482,0.5565,0
483,0.5329,0
484,0.5093,0
485,0.4838,0
486,0.4584,0
487,0.4364,0.0113
488,0.4143,0.0114
489,0.3915,0.0114
490,0.3688,0.0114
491,0.345,0.0115
492,0.3213,0.0115
493,0.2999,0.0116
494,0.2785,0.0119
495,0.2595,0.0123
496,0.2405,0.0127
497,0.2246,0.013
498,0.2087,0.0133
499,0.1948,0.0137
500,0.1808,0.0139
501,0.1684,0.0142
502,0.1561,0.0145
503,0.1456,0.0153
504,0.1352,0.016
505,0.1277,0.0168
506,0.1201,0.0173
507,0.1147,0.0178
508,0.1093,0.0183
509,0.1051,0.0184
510,0.101,0.0185
511,0.0982,0.0186
512,0.0954,0.019
513,0.0937,0.0194
514,0.092,0.0198
515,0.0915,0.0202
516,0.091,0.0206
517,0.0915,0.021
518,0.092,0.0214
519,0.0928,0.0218
