Type: FP
Name: mCherry
Extinction coefficient: 72000
Quantum Yield: 0.22
wavelength,absorption,emission
452,0.012965,0
453,0.0139122,0
454,0.0147365,0
455,0.0156794,0
456,0.0163454,0
457,0.017491801,0
458,0.0181842,0
459,0.019789999,0
460,0.0206178,0
461,0.0221576,0
462,0.0231265,0
463,0.024565499,0
464,0.025444301,0
465,0.0274534,0
466,0.028887801,0
467,0.0298949,0
468,0.0310327,0
469,0.032835901,0
470,0.0340917,0
471,0.035607599,0
472,0.037658799,0
473,0.038903601,0
474,0.040534999,0
475,0.042364199,0
476,0.044449601,0
477,0.046297301,0
478,0.049209099,0
479,0.050439201,0
480,0.052955501,0
481,0.055564702,0
482,0.058054902,0
483,0.060967501,0
484,0.063301601,0
485,0.066257603,0
486,0.069447003,0
487,0.072623603,0
488,0.076244503,0
489,0.080762804,0
490,0.084140703,0
491,0.088585198,0
492,0.092798002,0
493,0.097079702,0
494,0.100730002,0
495,0.106457002,0
496,0.111539997,0
497,0.117011003,0
498,0.122230001,0
499,0.126671001,0
500,0.132682994,0
501,0.137213007,0
502,0.142131001,0
503,0.148086995,0
504,0.152426004,0
505,0.158592999,0
506,0.164188996,0
507,0.168769002,0
508,0.174972996,0
509,0.180087999,0
510,0.186640993,0
511,0.190791994,0
512,0.198082,0
513,0.203618005,0
514,0.208897993,0
515,0.216828004,0
516,0.224703997,0
517,0.232409999,0
518,0.239188001,0
519,0.248037994,0
520,0.256983012,0
521,0.266167998,0
522,0.275379986,0
523,0.283798993,0
524,0.295704007,0
525,0.306472987,0
526,0.320407003,0
527,0.330839992,0
528,0.345542014,0
529,0.355834991,0
530,0.372633994,0
531,0.383426011,0
532,0.400294989,0
533,0.413942993,0
534,0.428930014,0
535,0.442443997,0
536,0.456791013,0
537,0.472207993,0
538,0.484733999,0
539,0.496026993,0
540,0.506986976,0
541,0.519137979,0
542,0.526229978,0
543,0.535162985,0
544,0.546160996,0
545,0.552781999,0
546,0.55548799,0
547,0.565626979,0
548,0.569491029,0
549,0.575070977,0
550,0.578375995,0
551,0.583029985,0
552,0.58663702,0
553,0.587930977,0
554,0.594075978,0
555,0.59937799,0
556,0.604121983,0
557,0.609407008,0
558,0.615396023,0
559,0.622512996,0
560,0.629333973,0
561,0.639420986,0
562,0.647278011,0.015698001
563,0.654500008,0.025290901
564,0.669336021,0.0290769
565,0.680702984,0.0258267
566,0.691769004,0.020062501
567,0.702995002,0.019316301
568,0.720139027,0.0224905
569,0.732977986,0.025564799
570,0.750513971,0.0298397
571,0.769958973,0.0344656
572,0.791814029,0.041553698
573,0.806833029,0.047871899
574,0.821515977,0.055222299
575,0.84474498,0.0653539
576,0.858802974,0.075214602
577,0.882892013,0.0893889
578,0.903654993,0.102233998
579,0.920745015,0.118946999
580,0.941434026,0.137618005
581,0.955199003,0.159548998
582,0.967338026,0.183070004
583,0.98367101,0.211147994
584,0.992524981,0.236586004
585,0.995442986,0.265424013
586,0.996354997,0.297376007
587,1,0.334863007
588,0.992187023,0.36868
589,0.983537972,0.405707002
590,0.971144974,0.447014004
591,0.945502996,0.487984002
592,0.924969971,0.53065902
593,0.900950015,0.571455002
594,0.866801977,0.612788022
595,0.836121023,0.65497297
596,0.798952997,0.691699982
597,0.762924016,0.732715011
598,0.723654985,0.766686022
599,0.681870997,0.807832003
600,0.638903975,0.838751018
601,0.601091981,0.868793011
602,0.557201982,0.895690978
603,0.51168102,0.91969198
604,0.470331997,0.936803997
605,0.430314004,0.960516989
606,0.392812997,0.973797977
607,0.355762005,0.979864001
608,0.319308996,0.988866985
609,0.28766799,0.995625019
610,0.258641988,1
611,0.233790994,0.990472019
612,0.209369004,0.990869999
613,0.183385998,0.975731015
614,0.161864996,0.968007028
615,0.140114993,0.955316007
616,0.121509001,0.942494988
617,0.106601998,0.930953026
618,0.092148803,0.903084993
619,0.079837702,0.892404974
620,0.070110902,0.87085098
621,0.061078299,0.85184902
622,0.0521027,0.830500007
623,0.045475502,0.81190002
624,0.040721402,0.794950008
625,0.034733102,0.772310019
626,0.0310666,0.753593028
627,0.026332,0.738902986
628,0.0228529,0.719219029
629,0.020059001,0.706421018
630,0.017194301,0.690391004
631,0.0149656,0.673702002
632,0.0138367,0.661983013
633,0.011659,0.649984002
634,0.00994238,0.633472979
635,0.00856541,0.615685999
636,0.00782027,0.60532999
637,0.00671164,0.595732987
638,0.00609051,0.582412004
639,0.00507881,0.576324999
640,0.00434543,0.562061012
641,0.00360242,0.554005027
642,0.00350688,0.54281801
643,0.00319357,0.538034022
644,0.00281808,0.534923971
645,0.00244273,0.521386981
646,0.00202582,0.513985991
647,0.00177434,0.503198981
648,0.00176793,0.499054998
649,0.00152785,0.488734007
650,0.00122366,0.48339799
651,0,0.476648986
652,0,0.470688999
653,0,0.461773008
654,0,0.455363989
655,0,0.451669008
656,0,0.440200001
657,0,0.432772994
658,0,0.422625989
659,0,0.416022986
660,0,0.412761003
661,0,0.406186014
662,0,0.400032014
663,0,0.391559005
664,0,0.385764003
665,0,0.378176987
666,0,0.37053299
667,0,0.364641994
668,0,0.358987004
669,0,0.353973001
670,0,0.35017401
671,0,0.339639992
672,0,0.336353987
673,0,0.329331011
674,0,0.320095003
675,0,0.313953012
676,0,0.309096992
677,0,0.304746002
678,0,0.29677099
679,0,0.286395013
680,0,0.278620988
681,0,0.275743991
682,0,0.267533004
683,0,0.260246009
684,0,0.252012014
685,0,0.246552005
686,0,0.239848003
687,0,0.232494995
688,0,0.230750993
689,0,0.225045994
690,0,0.216617003
691,0,0.206400007
692,0,0.206530005
693,0,0.197717994
694,0,0.195162997
695,0,0.190304995
696,0,0.184784994
697,0,0.180109993
698,0,0.175508007
699,0,0.169389993
700,0,0.166521996
701,0,0.163104996
702,0,0.157899007
703,0,0.153786004
704,0,0.148705006
705,0,0.145120993
706,0,0.142480001
707,0,0.141680002
708,0,0.136115
709,0,0.135425001
710,0,0.128353998
711,0,0.125775993
712,0,0.124475002
713,0,0.121904999
714,0,0.119549997
715,0,0.115736
716,0,0.111151002
717,0,0.109555997
718,0,0.106431
719,0,0.104374997
720,0,0.101838998
721,0,0.0995721
722,0,0.096764103
723,0,0.095985897
724,0,0.094202898
725,0,0.092079297
726,0,0.088794999
727,0,0.087384097
728,0,0.086207703
729,0,0.0828861
730,0,0.081422597
731,0,0.079123698
732,0,0.077012599
733,0,0.078018703
734,0,0.072790504
735,0,0.074837103
736,0,0.070913002
737,0,0.073336303
738,0,0.068249904
739,0,0.066613197
740,0,0.066354401
741,0,0.0663203
742,0,0.0611904
