Type: FP
Name: mKate2
Extinction coefficient: 62500
Quantum Yield: 0.40
wavelength,excitation,emission
442,0.01994,0
443,0.020339999,0
444,0.0208,0
445,0.02159,0
446,0.02186,0
447,0.02214,0
448,0.02255,0
449,0.02299,0
450,0.02351,0
451,0.024010001,0
452,0.024809999,0
453,0.02557,0
454,0.02623,0
455,0.02698,0
456,0.028139999,0
457,0.02922,0
458,0.030200001,0
459,0.030959999,0
460,0.031330001,0
461,0.031879999,0
462,0.032090001,0
463,0.033070002,0
464,0.034079999,0
465,0.03562,0
466,0.03658,0
467,0.03757,0
468,0.038660001,0
469,0.039480001,0
470,0.040720001,0
471,0.041889999,0
472,0.043140002,0
473,0.044509999,0
474,0.04575,0
475,0.047350001,0
476,0.048909999,0
477,0.050420001,0
478,0.05212,0
479,0.053649999,0
480,0.056570001,0
481,0.060029998,0
482,0.062449999,0
483,0.064180002,0
484,0.06498,0
485,0.066059999,0
486,0.066809997,0
487,0.068539999,0
488,0.071139999,0
489,0.073919997,0
490,0.0766,0
491,0.078079998,0
492,0.079920001,0
493,0.08247,0
494,0.085720003,0
495,0.089230001,0
496,0.092759997,0
497,0.09781,0
498,0.101769999,0
499,0.104029998,0
500,0.107150003,0
501,0.111160003,0
502,0.115500003,0
503,0.120130002,0
504,0.123020001,0
505,0.127780005,0
506,0.132039994,0
507,0.135890007,0
508,0.140599996,0
509,0.144189999,0
510,0.149159998,0
511,0.152889997,0
512,0.15591,0
513,0.160150006,0
514,0.165220007,0
515,0.17137,0
516,0.177750006,0
517,0.184990004,0
518,0.191139996,0
519,0.194570005,0
520,0.199739993,0
521,0.204860002,0
522,0.211860001,0
523,0.224189997,0
524,0.237460002,0
525,0.25128001,0
526,0.261810005,0
527,0.27184999,0
528,0.277339995,0
529,0.281199992,0
530,0.286599994,0
531,0.295289993,0
532,0.305649996,0
533,0.31645,0
534,0.328480005,0
535,0.340579987,0
536,0.350580007,0
537,0.361829996,0
538,0.376729995,0
539,0.396530002,0
540,0.410540015,0
541,0.419939995,0
542,0.424290001,0
543,0.426719993,0
