Type: FP
Name: mRFP1
Extinction coefficient: 44000
Quantum Yield: 0.25
wavelength,absorption,emission
492,0.072499998,0
493,0.077600002,0
494,0.083499998,0
495,0.089699998,0
496,0.096100003,0
497,0.101999998,0
498,0.108000003,0
499,0.112999998,0
500,0.116999999,0
501,0.119999997,0
502,0.120999999,0
503,0.122000001,0
504,0.126000002,0
505,0.133000001,0
506,0.138999999,0
507,0.143999994,0
508,0.150999993,0
509,0.157000005,0
510,0.159999996,0
511,0.164000005,0
512,0.170000002,0
513,0.175999999,0
514,0.178000003,0
515,0.181999996,0
516,0.188999996,0
517,0.200000003,0
518,0.209000006,0
519,0.216000006,0
520,0.224000007,0
521,0.231000006,0
522,0.239999995,0
523,0.246999994,0
524,0.259000003,0
525,0.266000003,0
526,0.280999988,0
527,0.289999992,0
528,0.301999986,0
529,0.307000011,0
530,0.319999993,0
531,0.335000008,0
532,0.349999994,0
533,0.360000014,0
534,0.375999987,0
535,0.391000003,0
536,0.40200001,0
537,0.416000009,0
538,0.432000011,0
539,0.442000002,0
540,0.453000009,0
541,0.467999995,0
542,0.48300001,0
543,0.495999992,0
544,0.509000003,0
545,0.51700002,0
546,0.526000023,0
547,0.532999992,0
548,0.541000009,0
549,0.549000025,0
550,0.555000007,0
551,0.560000002,0
552,0.564999998,0
553,0.566999972,0
554,0.57099998,0
555,0.577000022,0
556,0.58099997,0
557,0.583000004,0
558,0.587000012,0
559,0.593999982,0
560,0.600000024,0
561,0.603999972,0
562,0.609000027,0
563,0.61500001,0
564,0.626999974,0
565,0.634000003,0
566,0.648000002,0
567,0.654999971,0
568,0.666000009,0
569,0.680000007,0
570,0.69599998,0
571,0.699000001,0
572,0.703000009,0
573,0.717000008,0
574,0.739000022,0.031399999
575,0.759000003,0.037700001
576,0.779999971,0.0462
577,0.800000012,0.0559
578,0.819999993,0.061099999
579,0.842000008,0.074299999
580,0.862999976,0.094099998
581,0.879999995,0.108999997
582,0.898999989,0.119000003
583,0.921000004,0.129999995
584,0.943000019,0.150000006
585,0.954999983,0.172999993
586,0.963,0.201000005
587,0.968999982,0.233999997
