Type: Dye
Name: mScarlet.csv
Extinction coefficient: 100000
Quantum Yield: 0.70
wavelength,absorption,emission
300.000000,25.877600,0.000000
301.000000,23.443500,0.000000
302.000000,21.393800,0.000000
303.000000,19.728400,0.000000
304.000000,18.191200,0.000000
305.000000,16.910100,0.000000
306.000000,15.500900,0.000000
307.000000,14.476100,0.000000
308.000000,13.579300,0.000000
309.000000,12.810700,0.000000
310.000000,12.298300,0.000000
311.000000,11.785800,0.000000
312.000000,11.529600,0.000000
313.000000,11.145300,0.000000
314.000000,11.145300,0.000000
315.000000,11.145300,0.000000
316.000000,11.145300,0.000000
317.000000,11.145300,0.000000
318.000000,11.273400,0.000000
319.000000,11.401500,0.000000
320.000000,11.529600,0.000000
321.000000,11.913900,0.000000
322.000000,12.042000,0.000000
323.000000,12.042000,0.000000
324.000000,12.426400,0.000000
325.000000,12.682600,0.000000
326.000000,13.066900,0.000000
327.000000,13.195000,0.000000
328.000000,13.579300,0.000000
329.000000,13.707400,0.000000
330.000000,13.963600,0.000000
331.000000,14.219900,0.000000
332.000000,14.732300,0.000000
333.000000,14.988500,0.000000
334.000000,15.116600,0.000000
335.000000,15.500900,0.000000
336.000000,16.013300,0.000000
337.000000,16.269600,0.000000
338.000000,16.782000,0.000000
339.000000,16.782000,0.000000
340.000000,17.294400,0.000000
341.000000,17.166300,0.000000
342.000000,16.910100,0.000000
343.000000,16.653900,0.000000
344.000000,16.141500,0.000000
345.000000,15.629000,0.000000
346.000000,14.988500,0.000000
347.000000,14.604200,0.000000
348.000000,13.835500,0.000000
349.000000,13.323100,0.000000
350.000000,12.810700,0.000000
351.000000,12.298300,0.000000
352.000000,12.042000,0.000000
353.000000,11.529600,0.000000
354.000000,11.145300,0.000000
355.000000,10.889100,0.000000
356.000000,10.632900,0.000000
357.000000,10.376600,0.000000
358.000000,10.248500,0.000000
359.000000,9.992330,0.000000
360.000000,9.864220,0.000000
361.000000,9.479900,0.000000
362.000000,9.351800,0.000000
363.000000,9.095580,0.000000
364.000000,8.711260,0.000000
365.000000,8.711260,0.000000
366.000000,8.711260,0.000000
367.000000,8.326940,0.000000
368.000000,7.942620,0.000000
369.000000,7.942620,0.000000
370.000000,7.686410,0.000000
371.000000,7.302090,0.000000
372.000000,7.173980,0.000000
373.000000,6.789660,0.000000
374.000000,6.405340,0.000000
375.000000,6.149130,0.000000
376.000000,6.021020,0.000000
377.000000,5.636700,0.000000
378.000000,5.508590,0.000000
379.000000,5.252380,0.000000
380.000000,5.124270,0.000000
381.000000,4.868060,0.000000
382.000000,4.739950,0.000000
383.000000,4.483740,0.000000
384.000000,4.355630,0.000000
385.000000,4.227520,0.000000
386.000000,3.971310,0.000000
387.000000,3.715100,0.000000
388.000000,3.715100,0.000000
389.000000,3.458880,0.000000
390.000000,3.202670,0.000000
391.000000,2.946460,0.000000
392.000000,2.818350,0.000000
393.000000,2.690240,0.000000
394.000000,2.434030,0.000000
395.000000,2.305920,0.000000
396.000000,2.177820,0.000000
397.000000,2.049710,0.000000
398.000000,2.049710,0.000000
399.000000,1.921600,0.000000
400.000000,1.793500,0.000000
401.000000,1.665390,0.000000
402.000000,1.665390,0.000000
403.000000,1.665390,0.000000
404.000000,1.537280,0.000000
405.000000,1.409170,0.000000
406.000000,1.409170,0.000000
407.000000,1.537280,0.000000
408.000000,1.537280,0.000000
409.000000,1.409170,0.000000
410.000000,1.409170,0.000000
411.000000,1.409170,0.000000
412.000000,1.409170,0.000000
413.000000,1.409170,0.000000
414.000000,1.409170,0.000000
