## Type: dye
## Name: mTurquoise
Extinction coefficient: 30000
Quantum Yield: 0.84
wavelength,absorption,emission
354,0.0587,0
355,0.0603,0
356,0.0625,0
357,0.0646,0
358,0.0663,0
359,0.0672,0
360,0.0687,0
361,0.0704,0
362,0.0728,0
363,0.0753,0
364,0.0781,0
365,0.0827,0
366,0.0867,0
367,0.0903,0
368,0.0935,0
369,0.0974,0
370,0.1022,0
371,0.1081,0
372,0.1114,0
373,0.1159,0
374,0.1224,0
375,0.1289,0
376,0.1357,0
377,0.143,0
378,0.1514,0
379,0.1607,0
380,0.1684,0
381,0.1775,0
382,0.1878,0
383,0.1972,0
384,0.207,0
385,0.217,0
386,0.228,0
387,0.2398,0
388,0.2507,0
389,0.2648,0
390,0.2762,0
391,0.2871,0
392,0.301,0
393,0.3151,0
394,0.3305,0
395,0.3441,0
396,0.3615,0
397,0.3773,0
398,0.3934,0
399,0.4126,0
400,0.4309,0
401,0.4502,0
402,0.4697,0
403,0.4882,0
404,0.5051,0
405,0.5245,0
406,0.5418,0
407,0.5615,0
408,0.5811,0
409,0.5982,0
410,0.6133,0
411,0.6308,0
412,0.6459,0
413,0.6607,0
414,0.6769,0
415,0.6937,0
416,0.7146,0
417,0.7318,0
418,0.7526,0
419,0.7724,0
420,0.7943,0
421,0.816,0
422,0.8343,0
423,0.8557,0
424,0.8766,0
425,0.8994,0
426,0.9219,0
427,0.9396,0
428,0.9547,0
429,0.9704,0
430,0.983,0
431,0.9918,0
432,0.9973,0
433,1,0
434,0.9994,0
435,0.9959,0
436,0.9905,0
437,0.983,0
438,0.9748,0
439,0.9648,0
440,0.9552,0
441,0.9465,0.0164
442,0.9389,0.0183
443,0.9323,0.0207
444,0.9291,0.0232
445,0.9277,0.0259
446,0.927,0.0307
447,0.927,0.0364
448,0.9283,0.0432
449,0.93,0.0519
450,0.9321,0.0621
451,0.9334,0.0776
452,0.9331,0.094
453,0.9309,0.1149
454,0.9248,0.1361
455,0.9158,0.1684
456,0.9031,0.2004
457,0.885,0.2367
458,0.8598,0.2811
459,0.8259,0.3344
460,0.791,0.391
461,0.7451,0.4494
462,0.6942,0.5084
463,0.6539,0.5903
464,0.5855,0.6546
465,0.5388,0.7156
466,0.475,0.7736
467,0.4224,0.8272
468,0.3619,0.8801
469,0.3144,0.9149
470,0.2595,0.9469
471,0.2225,0.9772
472,0.1896,0.9907
473,0.1577,0.9997
474,0.1324,1
475,0.1088,0.996
476,0.0884,0.9823
477,0.0702,0.9692
478,0.0584,0.95
479,0.0443,0.9298
480,0.0338,0.9037
481,0.0275,0.8823
482,0.0219,0.8577
483,0.0178,0.8351
484,0.0143,0.8169
485,0.0116,0.7897
486,0.0095,0.7669
487,0.0078,0.7557
488,0.0061,0.7487
489,0.0046,0.7448
490,0.0034,0.7444
491,0.0022,0.748
492,0.0013,0.753
493,0.0008,0.7584
494,0.0004,0.7648
495,0.0002,0.7723
496,0,0.7803
497,0,0.787
498,0,0.793
499,0,0.7961
500,0,0.7975
501,0,0.7973
502,0,0.7948
503,0,0.787
504,0,0.7771
505,0,0.765
506,0,0.757
507,0,0.7412
508,0,0.7253
509,0,0.7031
510,0,0.6874
511,0,0.6629
512,0,0.6401
513,0,0.6245
514,0,0.6057
515,0,0.5795
516,0,0.5597
517,0,0.5427
518,0,0.5166
519,0,0.5005
520,0,0.4832
521,0,0.4657
522,0,0.451
523,0,0.436
524,0,0.4199
525,0,0.4092
526,0,0.395
527,0,0.3851
528,0,0.3768
529,0,0.3693
530,0,0.3593
531,0,0.3508
532,0,0.3432
533,0,0.3372
534,0,0.33
535,0,0.324
536,0,0.3169
537,0,0.3104
538,0,0.3042
539,0,0.2977
540,0,0.2919
541,0,0.2847
542,0,0.2786
543,0,0.2719
544,0,0.2644
545,0,0.2576
546,0,0.2512
547,0,0.2442
548,0,0.2358
549,0,0.2293
550,0,0.2219
551,0,0.2145
552,0,0.2079
553,0,0.201
554,0,0.192
555,0,0.1838
556,0,0.1785
557,0,0.1717
558,0,0.1632
559,0,0.1577
560,0,0.1526
561,0,0.1469
562,0,0.1409
563,0,0.1361
564,0,0.1315
565,0,0.1268
566,0,0.122
567,0,0.1171
568,0,0.1135
569,0,0.1106
570,0,0.1076
571,0,0.1039
572,0,0.1
573,0,0.0972
574,0,0.0942
575,0,0.0913
576,0,0.0886
577,0,0.086
578,0,0.0836
579,0,0.0817
580,0,0.0795
581,0,0.0771
582,0,0.0752
583,0,0.0733
584,0,0.0715
585,0,0.0698
586,0,0.0681
587,0,0.0664
588,0,0.0648
589,0,0.0631
590,0,0.0613
591,0,0.0593
592,0,0.0575
593,0,0.056
594,0,0.0544
595,0,0.0528
596,0,0.0512
597,0,0.0496
598,0,0.0479
599,0,0.0467
600,0,0.0453
601,0,0.0438
602,0,0.042
603,0,0.0403
604,0,0.0388
605,0,0.0382
606,0,0.0368
607,0,0.0349
608,0,0.0342
609,0,0.0333
610,0,0.0324
611,0,0.0309
612,0,0.03
613,0,0.0297
614,0,0.0285
615,0,0.0273
616,0,0.0261
617,0,0.0257
618,0,0.0252
619,0,0.0243
620,0,0.0235
621,0,0.0227
622,0,0.0221
623,0,0.0218
624,0,0.0214
625,0,0.0204
626,0,0.0196
627,0,0.019
628,0,0.0188
629,0,0.0186
630,0,0.0185
631,0,0.018
632,0,0.0176
633,0,0.0173
634,0,0.0169
635,0,0.0164
636,0,0.0159
637,0,0.0155
638,0,0.0151
639,0,0.0147
640,0,0.0142
641,0,0.0141
642,0,0.0146
643,0,0.0145
644,0,0.0144
645,0,0.0144
646,0,0.0141
647,0,0.0137
648,0,0.0134
