Type: excitation
Name: Halogen lamp
wavelength, intensity:
321.85729460,0.02704054
321.96348648,0.02617432
322.06968640,0.02676939
322.17589437,0.02613021
322.28211037,0.02665892
322.38833442,0.02609611
322.49456650,0.02687851
322.60080661,0.02605566
322.70705475,0.02660380
322.81331092,0.02617319
322.91957512,0.02666858
323.02584734,0.02585911
323.13212758,0.02636698
323.23841583,0.02584975
323.34471210,0.02635634
323.45101639,0.02608462
323.55732868,0.02612593
323.66364899,0.02612353
323.76997730,0.02641961
323.87631361,0.02588800
323.98265792,0.02671092
324.08901023,0.02532341
324.19537053,0.02675599
324.30173883,0.02552884
324.40811512,0.02652524
324.51449939,0.02558648
324.62089165,0.02609623
324.72729189,0.02557303
324.83370012,0.02596648
324.94011632,0.02515068
325.04654050,0.02640847
325.15297265,0.02554132
325.25941276,0.02590745
325.36586085,0.02560886
325.47231690,0.02594373
325.57878092,0.02546753
325.68525290,0.02570889
325.79173283,0.02527769
325.89822072,0.02606693
326.00471656,0.02486815
326.11122035,0.02574709
326.21773209,0.02512732
326.32425177,0.02583586
326.43077940,0.02485822
326.53731497,0.02600158
326.64385847,0.02482887
326.75040991,0.02589181
326.85696929,0.02487012
326.96353659,0.02547434
327.07011182,0.02499651
327.17669498,0.02558126
327.28328606,0.02532390
327.38988506,0.02578202
327.49649197,0.02477038
327.60310681,0.02530525
327.70972955,0.02468752
327.81636021,0.02540533
327.92299877,0.02519764
328.02964524,0.02544347
328.13629961,0.02458002
328.24296188,0.02480132
328.34963205,0.02471468
328.45631011,0.02537806
328.56299607,0.02476319
328.66968991,0.02540453
328.77639165,0.02467027
328.88310127,0.02515856
328.98981877,0.02438580
329.09654415,0.02515547
329.20327741,0.02482221
329.31001855,0.02516587
329.41676756,0.02438154
329.52352443,0.02528029
329.63028918,0.02466381
329.73706179,0.02537524
329.84384227,0.02422289
329.95063060,0.02480175
330.05742679,0.02468828
330.16423084,0.02498341
330.27104274,0.02439361
330.37786249,0.02483294
330.48469008,0.02405819
330.59152553,0.02487803
330.69836881,0.02407468
330.80521994,0.02472022
330.91207890,0.02406853
331.01894570,0.02523543
331.12582033,0.02404239
331.23270279,0.02451772
331.33959308,0.02419389
331.44649119,0.02438136
331.55339712,0.02409796
331.66031088,0.02455793
331.76723246,0.02444335
331.87416184,0.02446314
331.98109905,0.02413491
332.08804406,0.02458538
332.19499688,0.02373531
332.30195750,0.02464281
332.40892593,0.02425730
332.51590216,0.02473975
332.62288618,0.02380535
332.72987800,0.02460448
332.83687761,0.02370778
332.94388501,0.02488671
333.05090021,0.02411207
333.15792318,0.02456071
333.26495394,0.02385925
333.37199248,0.02394003
333.47903879,0.02367393
333.58609288,0.02449812
333.69315475,0.02354883
333.80022438,0.02448446
333.90730178,0.02333562
334.01438695,0.02433351
334.12147987,0.02354683
334.22858056,0.02411449
334.33568901,0.02335495
334.44280521,0.02423738
334.54992917,0.02330535
334.65706087,0.02402620
334.76420032,0.02371631
334.87134752,0.02421234
334.97850246,0.02316048
335.08566514,0.02414761
335.19283555,0.02304494
335.30001370,0.02390214
335.40719959,0.02308939
335.51439320,0.02375222
335.62159455,0.02312942
335.72880361,0.02410579
335.83602040,0.02367259
335.94324491,0.02427913
336.05047714,0.02350697
336.15771708,0.02383350
336.26496474,0.02307997
336.37222010,0.02392878
336.47948317,0.02362998
336.58675395,0.02431010
336.69403243,0.02351159
336.80131861,0.02416602
336.90861249,0.02320280
337.01591406,0.02426678
337.12322333,0.02349874
337.23054028,0.02402766
337.33786492,0.02360221
337.44519725,0.02398645
337.55253726,0.02332200
337.65988495,0.02432647
337.76724032,0.02368954
337.87460336,0.02407724
337.98197408,0.02321618
338.08935246,0.02403284
338.19673851,0.02340241
338.30413223,0.02401816
338.41153361,0.02320523
338.51894265,0.02397011
338.62635935,0.02329912
338.73378370,0.02388770
338.84121571,0.02339322
338.94865536,0.02403883
339.05610266,0.02321027
339.16355761,0.02425742
339.27102020,0.02347883
339.37849043,0.02431349
339.48596830,0.02307848
339.59345380,0.02399078
339.70094694,0.02277675
339.80844770,0.02443335
339.91595609,0.02361339
340.02347211,0.02390448
340.13099575,0.02291548
340.23852701,0.02356006
340.34606589,0.02328071
340.45361238,0.02400708
340.56116648,0.02306179
340.66872820,0.02389077
340.77629752,0.02304883
340.88387445,0.02380337
340.99145898,0.02296382
341.09905110,0.02356547
341.20665083,0.02308249
341.31425815,0.02377417
341.42187307,0.02305241
341.52949557,0.02400175
341.63712566,0.02316623
341.74476334,0.02414891
341.85240860,0.02289115
341.96006144,0.02393537
342.06772185,0.02364014
342.17538984,0.02394315
342.28306541,0.02324431
342.39074854,0.02402990
342.49843924,0.02333220
342.60613751,0.02379277
342.71384333,0.02327924
342.82155672,0.02376385
342.92927767,0.02353573
343.03700617,0.02385602
343.14474222,0.02324272
343.25248582,0.02392379
343.36023697,0.02364084
343.46799567,0.02382409
