Type: excitation
Name: Hg(murcury) arc lamp
wavelength, intensity:
321.85729460,0.00318324
321.96348648,0.00245561
322.06968640,0.00312124
322.17589437,0.00245090
322.28211037,0.00314635
322.38833442,0.00245550
322.49456650,0.00315773
322.60080661,0.00243631
322.70705475,0.00306964
322.81331092,0.00247517
322.91957512,0.00311664
323.02584734,0.00244314
323.13212758,0.00305814
323.23841583,0.00246110
323.34471210,0.00306125
323.45101639,0.00245796
323.55732868,0.00305689
323.66364899,0.00249780
323.76997730,0.00310556
323.87631361,0.00243575
323.98265792,0.00314683
324.08901023,0.00239673
324.19537053,0.00317566
324.30173883,0.00247317
324.40811512,0.00318592
324.51449939,0.00241619
324.62089165,0.00312073
324.72729189,0.00245710
324.83370012,0.00305473
324.94011632,0.00244683
325.04654050,0.00315927
325.15297265,0.00248800
325.25941276,0.00301246
325.36586085,0.00252888
325.47231690,0.00306869
325.57878092,0.00243214
325.68525290,0.00305103
325.79173283,0.00242984
325.89822072,0.00316888
326.00471656,0.00240719
326.11122035,0.00308514
326.21773209,0.00242599
326.32425177,0.00306001
326.43077940,0.00235559
326.53731497,0.00315784
326.64385847,0.00239803
326.75040991,0.00313257
326.85696929,0.00238305
326.96353659,0.00306602
327.07011182,0.00245470
327.17669498,0.00306929
327.28328606,0.00248825
327.38988506,0.00313895
327.49649197,0.00241682
327.60310681,0.00310335
327.70972955,0.00242767
327.81636021,0.00315747
327.92299877,0.00247540
328.02964524,0.00311446
328.13629961,0.00246199
328.24296188,0.00300701
328.34963205,0.00243666
328.45631011,0.00310925
328.56299607,0.00247199
328.66968991,0.00317714
328.77639165,0.00251415
328.88310127,0.00309022
328.98981877,0.00247218
329.09654415,0.00316632
329.20327741,0.00249996
329.31001855,0.00316231
329.41676756,0.00249424
329.52352443,0.00319189
329.63028918,0.00249495
329.73706179,0.00318058
329.84384227,0.00244364
329.95063060,0.00309375
330.05742679,0.00258497
330.16423084,0.00319987
330.27104274,0.00257089
330.37786249,0.00324866
330.48469008,0.00251493
330.59152553,0.00320591
330.69836881,0.00256252
330.80521994,0.00322097
330.91207890,0.00252652
331.01894570,0.00326191
331.12582033,0.00257760
331.23270279,0.00319428
331.33959308,0.00261507
331.44649119,0.00328568
331.55339712,0.00270344
331.66031088,0.00329622
331.76723246,0.00272414
331.87416184,0.00336252
331.98109905,0.00271159
332.08804406,0.00340845
332.19499688,0.00271967
332.30195750,0.00348159
332.40892593,0.00279415
332.51590216,0.00349795
332.62288618,0.00282811
332.72987800,0.00346299
332.83687761,0.00282040
332.94388501,0.00355667
333.05090021,0.00290004
333.15792318,0.00361889
333.26495394,0.00292373
333.37199248,0.00356036
333.47903879,0.00293500
333.58609288,0.00365246
333.69315475,0.00294892
333.80022438,0.00371424
333.90730178,0.00300550
334.01438695,0.00373612
334.12147987,0.00313147
334.22858056,0.00385545
334.33568901,0.00319065
334.44280521,0.00402972
334.54992917,0.00349624
334.65706087,0.00434170
334.76420032,0.00387630
334.87134752,0.00486249
334.97850246,0.00455786
335.08566514,0.00586592
335.19283555,0.00577874
335.30001370,0.00691239
335.40719959,0.00648959
335.51439320,0.00723992
335.62159455,0.00641516
335.72880361,0.00692095
335.83602040,0.00596348
335.94324491,0.00629965
336.05047714,0.00527681
336.15771708,0.00556034
336.26496474,0.00465124
336.37222010,0.00511921
336.47948317,0.00431053
336.58675395,0.00484033
336.69403243,0.00406867
336.80131861,0.00467131
336.90861249,0.00389801
337.01591406,0.00457353
337.12322333,0.00384897
337.23054028,0.00451856
337.33786492,0.00386117
337.44519725,0.00454103
337.55253726,0.00382933
337.65988495,0.00457385
337.76724032,0.00388502
337.87460336,0.00448632
337.98197408,0.00376152
338.08935246,0.00447520
338.19673851,0.00382498
338.30413223,0.00452260
338.41153361,0.00383490
338.51894265,0.00456994
338.62635935,0.00392626
338.73378370,0.00457184
338.84121571,0.00395500
338.94865536,0.00467027
339.05610266,0.00391580
339.16355761,0.00485855
339.27102020,0.00419492
339.37849043,0.00492596
339.48596830,0.00434547
339.59345380,0.00514776
339.70094694,0.00449885
339.80844770,0.00550418
339.91595609,0.00484685
340.02347211,0.00562738
340.13099575,0.00491455
340.23852701,0.00553215
340.34606589,0.00488458
340.45361238,0.00555936
340.56116648,0.00478878
340.66872820,0.00544225
340.77629752,0.00471835
340.88387445,0.00534454
340.99145898,0.00465403
341.09905110,0.00529008
341.20665083,0.00469523
341.31425815,0.00531480
341.42187307,0.00466581
