## Type: Lumencor SOLA 
## Name: LED Broadband (Lumencor SOLA light engine) 
wavelength,intensity
350,     0.005578,  
351,	 0.007459,  
352,	 0.005309,  
353,	 1E-22,	   
354,	 0.006231,  
355,	 0.007104,  
356,	 0.006573,  
357,	 0.007127,  
358,	 0.00275,   
359,	 0.004428,  
360,	 0.003381,  
361,	 0.008942,  
362,	 0.005518,  
363,	 0.005677,  
364,	 0.005038,  
365,	 0.001643,  
366,	 0.002998,  
367,	 0.005123,  
368,	 0.003266,  
369,	 0.00455,   
370,	 0.004477,  
371,	 0.004525,  
372,	 0.004166,  
373,	 0.005807,  
374,	 0.004281,  
375,	 0.007269,  
376,	 0.006265,  
377,	 0.009952,  
378,	 0.014142,  
379,	 0.018701,  
380,	 0.026057,  
381,	 0.034351,  
382,	 0.046293,  
383,	 0.063613,  
384,	 0.087616,  
385,	 0.117443,  
386,	 0.160295,  
387,	 0.211691,  
388,	 0.27148,   
389,	 0.343463,  
390,	 0.425122,  
391,	 0.495442,  
392,	 0.582316,  
393,	 0.660566,  
394,	 0.715316,  
395,	 0.771171,  
396,	 0.756847,  
397,	 0.748056,  
398,	 0.704639,  
399,	 0.644543,  
400,	 0.594972,  
401,	 0.532999,  
402,	 0.477523,  
403,	 0.416701,  
404,	 0.371887,  
405,	 0.327066,  
406,	 0.268415,  
407,	 0.212348,  
408,	 0.160147,  
409,	 0.12379,   
410,	 0.098403,  
411,	 0.084021,  
412,	 0.078739,  
413,	 0.084077,  
414,	 0.099226,  
415,	 0.11759,   
416,	 0.139637,  
417,	 0.168629,  
418,	 0.20183,   
419,	 0.235201,  
420,	 0.277956,  
421,	 0.325484,  
422,	 0.380038,  
423,	 0.441291,  
424,	 0.498507,  
425,	 0.561596,  
426,	 0.635078,  
427,	 0.710559,  
428,	 0.785631,  
429,	 0.844028,  
430,	 0.90363,   
431,	 0.949958,  
432,	 0.978935,  
433,	 0.995291,  
434,	 1,	   
435,	 0.983174,  
436,	 0.945615,  
437,	 0.89402,   
438,	 0.831901,  
439,	 0.752127,  
440,	 0.685931,  
441,	 0.624063,  
442,	 0.557777,  
443,	 0.501279,  
444,	 0.452911,  
445,	 0.41318,   
446,	 0.374069,  
447,	 0.339526,  
448,	 0.306367,  
449,	 0.275591,  
450,	 0.243234,  
451,	 0.212173,  
452,	 0.177286,  
453,	 0.148962,  
454,	 0.132168,  
455,	 0.125568,  
456,	 0.126493,  
457,	 0.132234,  
458,	 0.144159,  
459,	 0.165312,  
460,	 0.192381,  
461,	 0.220143,  
462,	 0.246764,  
463,	 0.270921,  
464,	 0.292055,  
465,	 0.3119,	   
466,	 0.331827,  
467,	 0.348002,  
468,	 0.362617,  
469,	 0.370255,  
470,	 0.375545,  
471,	 0.376625,  
472,	 0.373689,  
473,	 0.366454,  
474,	 0.358456,  
475,	 0.343599,  
476,	 0.326892,  
477,	 0.309061,  
478,	 0.291476,  
479,	 0.274662,  
480,	 0.256055,  
481,	 0.238908,  
482,	 0.223002,  
483,	 0.208172,  
484,	 0.193307,  
485,	 0.180602,  
486,	 0.168437,  
487,	 0.157223,  
488,	 0.145815,  
489,	 0.135912,  
490,	 0.126508,  
491,	 0.115166,  
492,	 0.105475,  
493,	 0.096295,  
494,	 0.087796,  
495,	 0.079581,  
496,	 0.071146,  
497,	 0.067336,  
498,	 0.070577,  
499,	 0.081407,  
500,	 0.096831,  
501,	 0.114521,  
502,	 0.132412,  
503,	 0.148718,  
504,	 0.164906,  
505,	 0.180662,  
506,	 0.194915,  
507,	 0.208387,  
508,	 0.22201,   
509,	 0.2356,	   
510,	 0.247542,  
511,	 0.258383,  
512,	 0.268979,  
513,	 0.27769,   
514,	 0.286966,  
515,	 0.293149,  
516,	 0.298923,  
517,	 0.302962,  
518,	 0.306883,  
519,	 0.309238,  
520,	 0.312155,  
521,	 0.313716,  
522,	 0.316182,  
523,	 0.316875,  
524,	 0.318648,  
525,	 0.31903,   
526,	 0.319183,  
527,	 0.319167,  
528,	 0.319414,  
529,	 0.320205,  
530,	 0.319934,  
531,	 0.319373,  
532,	 0.31903,   
533,	 0.318187,  
534,	 0.316489,  
535,	 0.316857,  
536,	 0.316781,  
537,	 0.31469,   
538,	 0.315776,  
539,	 0.314342,  
540,	 0.314202,  
541,	 0.313216,  
542,	 0.312501,  
543,	 0.311006,  
544,	 0.310332,  
545,	 0.309216,  
546,	 0.307541,  
547,	 0.306065,  
548,	 0.304162,  
549,	 0.302261,  
550,	 0.300407,  
551,	 0.298677,  
552,	 0.29675,   
553,	 0.293536,  
554,	 0.292306,  
555,	 0.290072,  
556,	 0.286463,  
557,	 0.284846,  
558,	 0.282776,  
559,	 0.279581,  
560,	 0.275757,  
561,	 0.272134,  
562,	 0.268862,  
563,	 0.265788,  
564,	 0.263037,  
565,	 0.259139,  
566,	 0.256472,  
567,	 0.25196,   
568,	 0.248934,  
569,	 0.244769,  
570,	 0.240923,  
571,	 0.235974,  
572,	 0.232108,  
573,	 0.227769,  
574,	 0.223147,  
575,	 0.218243,  
576,	 0.214313,  
577,	 0.210093,  
578,	 0.204617,  
579,	 0.20138,   
580,	 0.196018,  
581,	 0.191836,  
582,	 0.187905,  
583,	 0.184009,  
584,	 0.179411,  
585,	 0.174678,  
586,	 0.171375,  
587,	 0.166904,  
588,	 0.162306,  
589,	 0.158763,  
590,	 0.154375,  
591,	 0.149716,  
592,	 0.145373,  
593,	 0.14051,   
594,	 0.135651,  
595,	 0.131153,  
596,	 0.126998,  
597,	 0.122621,  
598,	 0.118651,  
599,	 0.115803,  
600,	 0.112382,  
601,	 0.109049,  
602,	 0.10656,   
603,	 0.103314,  
604,	 0.100017,  
605,	 0.0976,	   
606,	 0.094848,  
607,	 0.091322,  
608,	 0.087837,  
609,	 0.085247,  
610,	 0.084191,  
611,	 0.085823,  
612,	 0.089725,  
613,	 0.096156,  
614,	 0.105066,  
615,	 0.116517,  
616,	 0.131599,  
617,	 0.148286,  
618,	 0.168116,  
619,	 0.189358,  
620,	 0.212868,  
621,	 0.237472,  
622,	 0.264321,  
623,	 0.295162,  
624,	 0.325562,  
625,	 0.362182,  
626,	 0.398561,  
627,	 0.437211,  
628,	 0.477468,  
629,	 0.51543,   
630,	 0.55448,   
631,	 0.585518,  
632,	 0.615366,  
633,	 0.631087,  
634,	 0.628781,  
635,	 0.61133,   
636,	 0.579434,  
637,	 0.534935,  
638,	 0.480806,  
639,	 0.422144,  
640,	 0.365882,  
641,	 0.311909,  
642,	 0.262257,  
643,	 0.219268,  
644,	 0.182288,  
645,	 0.152993,  
646,	 0.12753,   
647,	 0.107147,  
648,	 0.090206,  
649,	 0.075076,  
650,	 0.063473,  
651,	 0.053226,  
652,	 0.045786,  
653,	 0.038778,  
654,	 0.033451,  
655,	 0.028252,  
656,	 0.023951,  
657,	 0.020817,  
658,	 0.017985,  
659,	 0.01564,   
660,	 0.014247,  
661,	 0.011485,  
662,	 0.010584,  
663,	 0.009332,  
664,	 0.008084,  
665,	 0.007574,  
666,	 0.006359,  
667,	 0.005636,  
668,	 0.004734,  
669,	 0.004351,  
670,	 0.003754,  
671,	 0.003263,  
672,	 0.003157,  
673,	 0.002801,  
674,	 0.002492,  
675,	 0.001945,  
676,	 0.001541,  
677,	 0.001728,  
678,	 0.001864,  
