Type: excitation
Name: Metal Halide lamp
wavelength, intensity:
321.85729460,0.00076636
321.96348648,0.00003390
322.06968640,0.00067439
322.17589437,0.00003244
322.28211037,0.00070705
322.38833442,0.00001115
322.49456650,0.00070643
322.60080661,0.00002107
322.70705475,0.00070612
322.81331092,0.00003461
322.91957512,0.00071100
323.02584734,0.00002680
323.13212758,0.00071514
323.23841583,0.00005890
323.34471210,0.00073590
323.45101639,0.00009435
323.55732868,0.00072213
323.66364899,0.00005896
323.76997730,0.00077079
323.87631361,0.00032624
323.98265792,0.00057995
324.08901023,0.00150039
324.19537053,0.00082489
324.30173883,0.00011819
324.40811512,0.00078952
324.51449939,0.00009998
324.62089165,0.00083120
324.72729189,0.00011802
324.83370012,0.00076891
324.94011632,0.00013645
325.04654050,0.00078449
325.15297265,0.00016382
325.25941276,0.00081298
325.36586085,0.00012265
325.47231690,0.00083707
325.57878092,0.00010995
325.68525290,0.00083886
325.79173283,0.00016791
325.89822072,0.00088404
326.00471656,0.00015204
326.11122035,0.00084214
326.21773209,0.00024780
326.32425177,0.00087257
326.43077940,0.00017410
326.53731497,0.00083730
326.64385847,0.00019644
326.75040991,0.00091413
326.85696929,0.00018834
326.96353659,0.00092820
327.07011182,0.00021219
327.17669498,0.00092247
327.28328606,0.00024036
327.38988506,0.00092992
327.49649197,0.00025717
327.60310681,0.00093248
327.70972955,0.00025068
327.81636021,0.00093210
327.92299877,0.00028080
328.02964524,0.00093328
328.13629961,0.00029700
328.24296188,0.00100275
328.34963205,0.00033984
328.45631011,0.00100136
328.56299607,0.00031499
328.66968991,0.00095693
328.77639165,0.00032539
328.88310127,0.00103011
328.98981877,0.00035902
329.09654415,0.00104758
329.20327741,0.00038360
329.31001855,0.00100726
329.41676756,0.00038823
329.52352443,0.00108618
329.63028918,0.00035935
329.73706179,0.00127598
329.84384227,0.00095786
329.95063060,0.00244712
330.05742679,0.00050244
330.16423084,0.00111925
330.27104274,0.00043739
330.37786249,0.00114209
330.48469008,0.00045584
330.59152553,0.00117758
330.69836881,0.00051585
330.80521994,0.00119551
330.91207890,0.00045861
331.01894570,0.00122239
331.12582033,0.00056484
331.23270279,0.00124807
331.33959308,0.00054591
331.44649119,0.00121217
331.55339712,0.00059136
331.66031088,0.00134615
331.76723246,0.00067606
331.87416184,0.00128272
331.98109905,0.00070741
332.08804406,0.00137288
332.19499688,0.00071702
332.30195750,0.00140046
332.40892593,0.00068305
332.51590216,0.00143786
332.62288618,0.00076511
332.72987800,0.00140145
332.83687761,0.00079958
332.94388501,0.00144918
333.05090021,0.00075578
333.15792318,0.00153512
333.26495394,0.00084461
333.37199248,0.00153348
333.47903879,0.00090470
333.58609288,0.00158561
333.69315475,0.00095516
333.80022438,0.00160454
333.90730178,0.00096852
334.01438695,0.00162920
334.12147987,0.00103472
334.22858056,0.00165439
334.33568901,0.00104502
334.44280521,0.00184570
334.54992917,0.00119861
334.65706087,0.00194183
334.76420032,0.00134745
334.87134752,0.00215900
334.97850246,0.00166500
335.08566514,0.00241439
335.19283555,0.00185991
335.30001370,0.00274453
335.40719959,0.00221852
335.51439320,0.00289707
335.62159455,0.00247983
335.72880361,0.00145979
335.83602040,0.00340240
335.94324491,0.00263569
336.05047714,0.00182696
336.15771708,0.00239593
336.26496474,0.00168923
336.37222010,0.00231976
336.47948317,0.00160855
336.58675395,0.00220347
336.69403243,0.00160404
336.80131861,0.00221925
336.90861249,0.00149706
337.01591406,0.00222660
337.12322333,0.00152416
337.23054028,0.00214880
337.33786492,0.00151480
337.44519725,0.00220995
337.55253726,0.00153431
337.65988495,0.00220049
337.76724032,0.00156663
337.87460336,0.00225684
337.98197408,0.00159315
338.08935246,0.00226177
338.19673851,0.00159977
338.30413223,0.00224600
338.41153361,0.00159938
338.51894265,0.00231371
338.62635935,0.00160998
338.73378370,0.00229730
338.84121571,0.00171405
338.94865536,0.00232370
339.05610266,0.00165254
339.16355761,0.00237623
339.27102020,0.00177684
339.37849043,0.00243725
339.48596830,0.00179526
339.59345380,0.00249282
339.70094694,0.00184406
339.80844770,0.00257359
339.91595609,0.00186228
340.02347211,0.00251155
340.13099575,0.00192628
340.23852701,0.00267935
340.34606589,0.00189154
340.45361238,0.00263932
340.56116648,0.00197266
340.66872820,0.00268148
340.77629752,0.00210334
340.88387445,0.00267876
340.99145898,0.00202055
341.09905110,0.00275430
341.20665083,0.00208911
341.31425815,0.00281271
341.42187307,0.00215945
341.52949557,0.00302653
341.63712566,0.00079890
341.74476334,0.00415372
341.85240860,0.00218468
341.96006144,0.00283424
342.06772185,0.00223403
342.17538984,0.00284424
342.28306541,0.00224429
342.39074854,0.00292372
342.49843924,0.00229715
342.60613751,0.00302812
342.71384333,0.00230778
342.82155672,0.00298692
342.92927767,0.00233367
343.03700617,0.00304237
343.14474222,0.00233471
343.25248582,0.00307311
343.36023697,0.00242121
343.46799567,0.00305273
343.57576191,0.00244102
343.68353568,0.00310513
343.79131700,0.00243485
343.89910585,0.00315670
344.00690223,0.00250419
344.11470614,0.00314223
344.22251758,0.00253479
344.33033654,0.00325819
344.43816303,0.00261970
344.54599704,0.00325978
344.65383856,0.00262480
344.76168760,0.00333795
344.86954415,0.00270809
344.97740821,0.00337428
345.08527978,0.00277704
345.19315885,0.00346932
345.30104543,0.00279802
345.40893950,0.00350914
345.51684107,0.00284562
345.62475014,0.00345161
345.73266670,0.00289133
345.84059075,0.00356723
345.94852229,0.00293949
346.05646131,0.00356775
346.16440781,0.00300973
346.27236180,0.00367404
346.38032326,0.00303794
346.48829219,0.00368775
346.59626860,0.00303747
346.70425248,0.00385915
346.81224383,0.00310795
346.92024264,0.00375575
347.02824891,0.00320074
347.13626264,0.00382382
347.24428383,0.00313316
347.35231248,0.00381284
347.46034857,0.00343379
347.56839212,0.00246148
347.67644311,0.00455317
347.78450155,0.00396630
347.89256743,0.00325616
348.00064075,0.00393106
348.10872151,0.00330266
348.21680971,0.00399530
348.32490533,0.00342047
348.43300839,0.00404837
348.54111887,0.00347682
348.64923678,0.00408853
348.75736210,0.00350371
348.86549485,0.00426775
348.97363502,0.00355869
349.08178260,0.00420803
349.18993760,0.00356952
349.29810000,0.00419179
349.40626981,0.00361825
349.51444703,0.00425972
349.62263164,0.00356924
349.73082366,0.00429611
349.83902308,0.00372573
349.94722988,0.00428063
350.05544409,0.00362988
350.16366568,0.00432573
350.27189466,0.00362623
350.38013102,0.00437216
350.48837477,0.00379463
350.59662589,0.00444243
350.70488439,0.00379405
350.81315027,0.00438863
350.92142352,0.00371266
351.02970414,0.00442672
351.13799213,0.00379725
351.24628748,0.00452452
351.35459019,0.00385808
351.46290027,0.00458305
351.57121770,0.00386199
351.67954248,0.00452521
351.78787462,0.00390788
351.89621411,0.00462369
352.00456094,0.00398104
352.11291512,0.00463425
352.22127664,0.00398144
352.32964551,0.00467528
352.43802170,0.00409703
352.54640524,0.00482854
352.65479610,0.00412378
352.76319430,0.00483234
352.87159982,0.00423824
352.98001267,0.00491850
353.08843284,0.00429759
353.19686032,0.00496747
353.30529513,0.00432395
353.41373725,0.00527417
353.52218668,0.00312315
353.63064343,0.00647287
353.73910748,0.00448025
353.84757883,0.00516740
353.95605749,0.00445229
354.06454344,0.00512745
354.17303670,0.00463622
354.28153725,0.00537759
354.39004509,0.00476176
354.49856022,0.00547587
354.60708263,0.00510296
354.71561234,0.00596687
354.82414932,0.00550489
354.93269358,0.00605391
355.04124513,0.00522424
355.14980394,0.00588837
355.25837003,0.00517127
355.36694339,0.00576657
355.47552401,0.00507333
355.58411190,0.00576092
355.69270705,0.00514034
355.80130946,0.00574092
355.90991913,0.00519986
356.01853605,0.00597284
356.12716023,0.00531222
356.23579165,0.00602251
356.34443033,0.00550228
356.45307624,0.00620267
356.56172940,0.00556599
356.67038980,0.00620771
356.77905743,0.00564571
356.88773230,0.00635608
356.99641441,0.00574264
357.10510374,0.00645668
357.21380030,0.00588897
357.32250408,0.00660045
357.43121508,0.00602947
357.53993331,0.00673470
357.64865875,0.00615134
357.75739141,0.00675500
357.86613128,0.00630296
357.97487836,0.00689888
358.08363264,0.00615945
358.19239413,0.00702014
358.30116282,0.00647186
358.40993872,0.00713697
358.51872181,0.00670939
358.62751209,0.00724846
358.73630956,0.00674559
358.84511423,0.00759186
358.95392608,0.00693680
359.06274512,0.00755956
359.17157134,0.00685808
359.28040474,0.00767225
359.38924531,0.00744437
359.49809306,0.00650183
359.60694798,0.00845770
359.71581008,0.00803659
359.82467934,0.00751784
359.93355576,0.00824524
360.04243934,0.00773535
360.15133009,0.00851446
360.26022799,0.00802878
360.36913305,0.00871369
360.47804526,0.00819795
360.58696462,0.00884557
360.69589112,0.00836189
360.80482477,0.00925369
360.91376556,0.00880900
361.02271349,0.00956984
361.13166856,0.00909811
361.24063077,0.00990784
361.34960010,0.00955248
361.45857657,0.01047904
361.56756016,0.01005972
361.67655087,0.01075415
361.78554871,0.01035577
361.89455367,0.01139781
362.00356575,0.01124206
362.11258493,0.01207967
362.22161124,0.01159927
362.33064465,0.01279042
362.43968516,0.01285195
362.54873279,0.01379023
362.65778751,0.01346853
362.76684934,0.01436048
362.87591826,0.01419757
362.98499427,0.01561090
363.09407738,0.01564289
363.20316758,0.01686584
363.31226486,0.01686330
363.42136923,0.01830382
363.53048068,0.01891958
363.63959921,0.02067067
363.74872482,0.02098346
363.85785750,0.02231813
363.96699725,0.02367427
364.07614407,0.02612178
364.18529796,0.02697735
364.29445892,0.02947501
364.40362693,0.03078671
364.51280201,0.03456595
364.62198414,0.03531294
364.73117333,0.03768827
364.84036957,0.03920406
364.94957286,0.04231844
365.05878319,0.04552135
365.16800057,0.04885401
365.27722500,0.04861193
365.38645646,0.04971108
365.49569496,0.04805628
365.60494049,0.05234879
365.71419305,0.05129938
365.82345265,0.05324924
365.93271927,0.05349011
366.04199291,0.05394138
366.15127358,0.05424157
366.26056127,0.05536991
366.36985597,0.05507654
366.47915769,0.05610942
366.58846642,0.05548156
366.69778216,0.05610620
366.80710491,0.05698790
366.91643466,0.05844554
367.02577141,0.05750197
367.13511517,0.05830777
367.24446591,0.05699924
367.35382366,0.05799297
367.46318839,0.05652383
367.57256012,0.05535093
367.68193883,0.05481769
367.79132453,0.05529069
367.90071721,0.05406464
368.01011686,0.05372193
368.11952350,0.05133619
368.22893711,0.05156297
368.33835769,0.05058129
368.44778524,0.04969827
368.55721976,0.04877744
368.66666124,0.04866981
368.77610968,0.04695030
368.88556508,0.04654948
368.99502744,0.04633067
369.10449676,0.04521816
369.21397303,0.04307549
369.32345624,0.04345420
369.43294640,0.04276223
369.54244351,0.04307759
369.65194756,0.04207864
369.76145855,0.04231377
369.87097647,0.04129357
369.98050133,0.04125830
370.09003312,0.04028121
370.19957184,0.04074269
370.30911749,0.03928383
370.41867006,0.03949946
370.52822955,0.03937812
370.63779597,0.03984747
370.74736930,0.03874354
370.85694954,0.03950064
370.96653670,0.03856693
371.07613076,0.03881450
371.18573173,0.03761835
371.29533961,0.03721701
371.40495439,0.03645759
371.51457607,0.03542298
371.62420464,0.03713318
371.73384011,0.03527388
371.84348247,0.03424385
371.95313172,0.03549050
372.06278786,0.03494422
372.17245088,0.03468488
372.28212078,0.03311135
372.39179756,0.03376149
372.50148122,0.03273466
372.61117176,0.03301908
372.72086916,0.03185282
