Type: excitation
Name: Xe(Xenon) arc lamp
wavelength,intensity
321.85729460,0.03899652
321.96348648,0.04124873
322.06968640,0.04043824
322.17589437,0.03983175
322.28211037,0.04014039
322.38833442,0.03976915
322.49456650,0.04024628
322.60080661,0.03970794
322.70705475,0.04006684
322.81331092,0.03971596
322.91957512,0.04022470
323.02584734,0.03934995
323.13212758,0.04000548
323.23841583,0.03951927
323.34471210,0.03998209
323.45101639,0.03943831
323.55732868,0.03979621
323.66364899,0.03935251
323.76997730,0.03977760
323.87631361,0.03920654
323.98265792,0.03948946
324.08901023,0.03916221
324.19537053,0.03976467
324.30173883,0.03896638
324.40811512,0.03964390
324.51449939,0.03897913
324.62089165,0.03959361
324.72729189,0.03902702
324.83370012,0.03991443
324.94011632,0.03885907
325.04654050,0.03956955
325.15297265,0.03902558
325.25941276,0.03955644
325.36586085,0.03881699
325.47231690,0.03959522
325.57878092,0.03736295
325.68525290,0.04053169
325.79173283,0.03876664
325.89822072,0.03921742
326.00471656,0.03864790
326.11122035,0.03924110
326.21773209,0.03852592
326.32425177,0.03897705
326.43077940,0.03859440
326.53731497,0.03902710
326.64385847,0.03850695
326.75040991,0.03889160
326.85696929,0.03847152
326.96353659,0.03899652
327.07011182,0.03830313
327.17669498,0.03894783
327.28328606,0.03833454
327.38988506,0.03893352
327.49649197,0.03844564
327.60310681,0.03881452
327.70972955,0.03817116
327.81636021,0.03888608
327.92299877,0.03823678
328.02964524,0.03852123
328.13629961,0.03804305
328.24296188,0.03866344
328.34963205,0.03809007
328.45631011,0.03846547
328.56299607,0.03807495
328.66968991,0.03834548
328.77639165,0.03787541
328.88310127,0.03827125
328.98981877,0.03784277
329.09654415,0.03834337
329.20327741,0.03795827
329.31001855,0.03689203
329.41676756,0.03912559
329.52352443,0.03817780
329.63028918,0.03774660
329.73706179,0.03831510
329.84384227,0.03763790
329.95063060,0.03785074
330.05742679,0.03755699
330.16423084,0.03803144
330.27104274,0.03748946
330.37786249,0.03799535
330.48469008,0.03750963
330.59152553,0.03814809
330.69836881,0.03752967
330.80521994,0.03794469
330.91207890,0.03756189
331.01894570,0.03798759
331.12582033,0.03741042
331.23270279,0.03806383
331.33959308,0.03754106
331.44649119,0.03808991
331.55339712,0.03755337
331.66031088,0.03797495
331.76723246,0.03747164
331.87416184,0.03834688
331.98109905,0.03745092
332.08804406,0.03815613
332.19499688,0.03773204
332.30195750,0.03812059
332.40892593,0.03765851
332.51590216,0.03828956
332.62288618,0.03769142
332.72987800,0.03830195
332.83687761,0.03761222
332.94388501,0.03846660
333.05090021,0.03634724
333.15792318,0.03959206
333.26495394,0.03767392
333.37199248,0.03828463
333.47903879,0.03799249
333.58609288,0.03833465
333.69315475,0.03791044
333.80022438,0.03834873
333.90730178,0.03809861
334.01438695,0.03858785
334.12147987,0.03803814
334.22858056,0.03850519
334.33568901,0.03842635
334.44280521,0.03883269
334.54992917,0.03830753
334.65706087,0.03895465
334.76420032,0.03861823
334.87134752,0.03926164
334.97850246,0.03864576
335.08566514,0.03935178
335.19283555,0.03905209
335.30001370,0.03933291
335.40719959,0.03920549
335.51439320,0.03967646
335.62159455,0.03937162
335.72880361,0.04009032
335.83602040,0.03983800
335.94324491,0.04024593
336.05047714,0.03974990
