Type: excitation
Name: Lumencor-Cy5 (LED)
wavelength,intensity
321.85729460,0.00282201
321.96348648,0.00209541
322.06968640,0.00273942
322.17589437,0.00231959
322.28211037,0.00138581
322.38833442,0.00340723
322.49456650,0.00281910
322.60080661,0.00200970
322.70705475,0.00270032
322.81331092,0.00208770
322.91957512,0.00273669
323.02584734,0.00203163
323.13212758,0.00264096
323.23841583,0.00201683
323.34471210,0.00265467
323.45101639,0.00198666
323.55732868,0.00288763
323.66364899,0.00064291
323.76997730,0.00401970
323.87631361,0.00200348
323.98265792,0.00266054
324.08901023,0.00195831
324.19537053,0.00264703
324.30173883,0.00194260
324.40811512,0.00261639
324.51449939,0.00196795
324.62089165,0.00263943
324.72729189,0.00190822
324.83370012,0.00263319
324.94011632,0.00215627
325.04654050,0.00119325
325.15297265,0.00329439
325.25941276,0.00256415
325.36586085,0.00184796
325.47231690,0.00256501
325.57878092,0.00190381
325.68525290,0.00256552
325.79173283,0.00191103
325.89822072,0.00254956
326.00471656,0.00182215
326.11122035,0.00256141
326.21773209,0.00183274
326.32425177,0.00279507
326.43077940,0.00047960
326.53731497,0.00391760
326.64385847,0.00185773
326.75040991,0.00251890
326.85696929,0.00183687
326.96353659,0.00255016
327.07011182,0.00185039
327.17669498,0.00248371
327.28328606,0.00180020
327.38988506,0.00251726
327.49649197,0.00178757
327.60310681,0.00249382
327.70972955,0.00204372
327.81636021,0.00112216
327.92299877,0.00311342
328.02964524,0.00247203
328.13629961,0.00175019
328.24296188,0.00246237
328.34963205,0.00178151
328.45631011,0.00245960
328.56299607,0.00177894
328.66968991,0.00244125
328.77639165,0.00170242
328.88310127,0.00240683
328.98981877,0.00168530
329.09654415,0.00262632
329.20327741,0.00037408
329.31001855,0.00378428
329.41676756,0.00171147
329.52352443,0.00243324
329.63028918,0.00171239
329.73706179,0.00238531
329.84384227,0.00162772
329.95063060,0.00242760
330.05742679,0.00168661
330.16423084,0.00238010
330.27104274,0.00165375
330.37786249,0.00237143
330.48469008,0.00190180
330.59152553,0.00093985
330.69836881,0.00303138
330.80521994,0.00232970
330.91207890,0.00163172
331.01894570,0.00233512
331.12582033,0.00165099
331.23270279,0.00232094
331.33959308,0.00165157
331.44649119,0.00232380
331.55339712,0.00164203
331.66031088,0.00228408
331.76723246,0.00155162
331.87416184,0.00252200
331.98109905,0.00015471
332.08804406,0.00363983
332.19499688,0.00156576
332.30195750,0.00226172
332.40892593,0.00161222
332.51590216,0.00230816
332.62288618,0.00156282
332.72987800,0.00227663
332.83687761,0.00156275
332.94388501,0.00223612
333.05090021,0.00153440
333.15792318,0.00223353
333.26495394,0.00173150
333.37199248,0.00086789
333.47903879,0.00291719
333.58609288,0.00226872
