Type: excitation
Name: LumencorDAPI (LED)
wavelength,intensity
321.85729460,0.00127999
321.96348648,0.00067805
322.06968640,0.00131928
322.17589437,0.00068950
322.28211037,0.00165237
322.38833442,0.00075725
322.49456650,0.00258482
322.60080661,0.00088447
322.70705475,0.00134054
322.81331092,0.00071196
322.91957512,0.00132790
323.02584734,0.00085172
323.13212758,0.00128768
323.23841583,0.00077325
323.34471210,0.00149040
323.45101639,0.00075159
323.55732868,0.00275403
323.66364899,0.00060675
323.76997730,0.00133049
323.87631361,0.00072247
323.98265792,0.00137979
324.08901023,0.00061868
324.19537053,0.00135689
324.30173883,0.00066966
324.40811512,0.00149623
324.51449939,0.00059316
324.62089165,0.00275684
324.72729189,0.00066494
324.83370012,0.00128489
324.94011632,0.00072903
325.04654050,0.00130450
325.15297265,0.00072412
325.25941276,0.00118509
325.36586085,0.00067850
325.47231690,0.00156165
325.57878092,0.00048771
325.68525290,0.00270121
325.79173283,0.00077319
325.89822072,0.00132324
326.00471656,0.00063293
326.11122035,0.00149246
326.21773209,0.00067760
326.32425177,0.00131856
326.43077940,0.00069655
326.53731497,0.00157895
326.64385847,0.00065651
326.75040991,0.00279260
326.85696929,0.00068508
326.96353659,0.00134119
327.07011182,0.00073134
327.17669498,0.00141862
327.28328606,0.00067246
327.38988506,0.00143890
327.49649197,0.00075474
327.60310681,0.00167761
327.70972955,0.00065626
327.81636021,0.00269163
327.92299877,0.00076408
328.02964524,0.00136901
328.13629961,0.00084032
328.24296188,0.00133749
328.34963205,0.00088072
328.45631011,0.00136602
328.56299607,0.00079748
328.66968991,0.00169042
328.77639165,0.00051412
328.88310127,0.00274869
328.98981877,0.00070072
329.09654415,0.00133025
329.20327741,0.00068363
329.31001855,0.00124703
329.41676756,0.00077928
329.52352443,0.00138119
329.63028918,0.00072925
329.73706179,0.00154504
329.84384227,0.00073919
329.95063060,0.00284147
330.05742679,0.00079914
330.16423084,0.00137793
330.27104274,0.00083307
330.37786249,0.00142608
330.48469008,0.00066240
330.59152553,0.00145783
330.69836881,0.00068647
330.80521994,0.00167526
330.91207890,0.00054522
331.01894570,0.00294805
331.12582033,0.00088562
331.23270279,0.00139240
331.33959308,0.00084030
331.44649119,0.00144547
331.55339712,0.00071898
331.66031088,0.00149271
331.76723246,0.00069840
331.87416184,0.00162056
331.98109905,0.00057747
332.08804406,0.00288520
332.19499688,0.00077576
332.30195750,0.00151654
332.40892593,0.00078236
332.51590216,0.00147442
332.62288618,0.00070140
332.72987800,0.00132300
332.83687761,0.00086250
332.94388501,0.00154832
333.05090021,0.00061019
333.15792318,0.00271035
333.26495394,0.00074444
333.37199248,0.00138872
333.47903879,0.00048499
333.58609288,0.00145835
333.69315475,0.00088002
333.80022438,0.00144194
333.90730178,0.00078394
334.01438695,0.00168157
334.12147987,0.00057468
334.22858056,0.00275331
334.33568901,0.00072507
334.44280521,0.00136974
334.54992917,0.00077835
334.65706087,0.00146491
334.76420032,0.00081454
334.87134752,0.00140949
334.97850246,0.00069861
335.08566514,0.00161843
335.19283555,0.00064873
335.30001370,0.00248055
335.40719959,0.00081921
335.51439320,0.00137419
335.62159455,0.00078139
335.72880361,0.00154318
335.83602040,0.00080219
335.94324491,0.00139012
336.05047714,0.00093356
336.15771708,0.00151561
336.26496474,0.00064295
336.37222010,0.00284591
336.47948317,0.00088025
336.58675395,0.00138258
336.69403243,0.00073624
336.80131861,0.00140600
336.90861249,0.00079562
337.01591406,0.00141067
337.12322333,0.00085058
337.23054028,0.00166640
337.33786492,0.00063284
337.44519725,0.00290295
337.55253726,0.00081340
337.65988495,0.00143542
337.76724032,0.00095622
337.87460336,0.00127087
337.98197408,0.00088729
338.08935246,0.00143799
338.19673851,0.00097330
338.30413223,0.00159087
338.41153361,0.00050246
338.51894265,0.00274122
338.62635935,0.00089733
338.73378370,0.00145953
338.84121571,0.00091509
338.94865536,0.00138449
339.05610266,0.00076521
339.16355761,0.00147260
339.27102020,0.00073977
339.37849043,0.00175169
339.48596830,0.00035005
339.59345380,0.00276762
339.70094694,0.00081876
339.80844770,0.00138983
339.91595609,0.00073813
340.02347211,0.00136088
340.13099575,0.00073765
340.23852701,0.00154622
340.34606589,0.00074886
340.45361238,0.00157682
340.56116648,0.00052345
340.66872820,0.00299551
340.77629752,0.00075729
340.88387445,0.00137792
340.99145898,0.00109343
341.09905110,0.00158454
341.20665083,0.00091669
341.31425815,0.00154132
341.42187307,0.00076034
341.52949557,0.00159644
341.63712566,0.00055430
341.74476334,0.00275470
341.85240860,0.00085544
341.96006144,0.00151912
342.06772185,0.00102095
342.17538984,0.00131159
342.28306541,0.00090336
342.39074854,0.00148125
342.49843924,0.00085031
342.60613751,0.00172015
342.71384333,0.00053305
342.82155672,0.00285244
342.92927767,0.00089592
343.03700617,0.00134191
343.14474222,0.00085405
343.25248582,0.00148357
343.36023697,0.00084913
343.46799567,0.00143892
343.57576191,0.00090852
343.68353568,0.00175592
343.79131700,0.00056598
343.89910585,0.00278211
344.00690223,0.00076780
344.11470614,0.00149406
344.22251758,0.00080309
344.33033654,0.00140764
344.43816303,0.00082086
344.54599704,0.00147842
344.65383856,0.00096301
344.76168760,0.00171052
344.86954415,0.00067420
344.97740821,0.00297937
345.08527978,0.00086220
345.19315885,0.00159039
345.30104543,0.00079074
345.40893950,0.00155983
