Type: excitation
Name: LumencorTRITC (LED)
wavelength, intensity:
321.85729460,0.00387333
321.96348648,0.00350273
322.06968640,0.00392478
322.17589437,0.00342229
322.28211037,0.00408942
322.38833442,0.00216401
322.49456650,0.00519455
322.60080661,0.00334509
322.70705475,0.00405624
322.81331092,0.00347140
322.91957512,0.00402113
323.02584734,0.00327475
323.13212758,0.00412028
323.23841583,0.00341552
323.34471210,0.00434031
323.45101639,0.00215721
323.55732868,0.00534770
323.66364899,0.00361448
323.76997730,0.00411443
323.87631361,0.00349431
323.98265792,0.00379548
324.08901023,0.00340683
324.19537053,0.00392621
324.30173883,0.00345202
324.40811512,0.00425661
324.51449939,0.00208192
324.62089165,0.00541390
324.72729189,0.00347164
324.83370012,0.00399169
324.94011632,0.00342207
325.04654050,0.00396645
325.15297265,0.00339865
325.25941276,0.00398002
325.36586085,0.00359303
325.47231690,0.00413759
325.57878092,0.00220607
325.68525290,0.00533344
325.79173283,0.00329224
325.89822072,0.00386727
326.00471656,0.00331869
326.11122035,0.00383872
326.21773209,0.00336548
326.32425177,0.00375758
326.43077940,0.00330864
326.53731497,0.00426600
326.64385847,0.00213709
326.75040991,0.00530842
326.85696929,0.00346368
326.96353659,0.00381143
327.07011182,0.00333248
327.17669498,0.00404526
327.28328606,0.00332175
327.38988506,0.00385048
327.49649197,0.00338043
327.60310681,0.00408004
327.70972955,0.00177606
327.81636021,0.00516391
327.92299877,0.00331448
328.02964524,0.00380647
328.13629961,0.00332196
328.24296188,0.00389349
328.34963205,0.00329624
328.45631011,0.00384526
328.56299607,0.00320784
328.66968991,0.00411959
328.77639165,0.00191940
328.88310127,0.00524388
328.98981877,0.00340217
329.09654415,0.00402910
329.20327741,0.00321556
329.31001855,0.00375664
329.41676756,0.00321507
329.52352443,0.00374355
329.63028918,0.00341969
329.73706179,0.00419094
329.84384227,0.00197810
329.95063060,0.00498876
330.05742679,0.00335288
330.16423084,0.00382987
330.27104274,0.00323828
330.37786249,0.00382473
330.48469008,0.00335259
330.59152553,0.00374637
330.69836881,0.00326278
330.80521994,0.00401904
330.91207890,0.00182446
331.01894570,0.00509633
331.12582033,0.00337107
331.23270279,0.00382941
331.33959308,0.00322491
331.44649119,0.00369234
331.55339712,0.00310005
331.66031088,0.00369424
331.76723246,0.00316997
331.87416184,0.00406227
331.98109905,0.00183099
332.08804406,0.00511014
332.19499688,0.00318447
332.30195750,0.00364653
332.40892593,0.00318583
332.51590216,0.00369659
332.62288618,0.00314683
332.72987800,0.00364350
332.83687761,0.00312178
332.94388501,0.00382401
333.05090021,0.00174265
333.15792318,0.00500304
333.26495394,0.00308697
333.37199248,0.00384344
333.47903879,0.00299999
333.58609288,0.00372277
333.69315475,0.00319407
333.80022438,0.00380036
333.90730178,0.00323923
334.01438695,0.00398279
334.12147987,0.00163015
334.22858056,0.00515266
334.33568901,0.00319171
334.44280521,0.00371152
334.54992917,0.00315803
334.65706087,0.00357660
334.76420032,0.00301656
334.87134752,0.00373586
334.97850246,0.00299554
335.08566514,0.00401977
335.19283555,0.00173585
335.30001370,0.00501215
335.40719959,0.00315967
335.51439320,0.00359440
335.62159455,0.00315433
335.72880361,0.00351556
335.83602040,0.00299646
335.94324491,0.00355954
336.05047714,0.00293586
336.15771708,0.00378473
336.26496474,0.00160811
336.37222010,0.00485265
336.47948317,0.00313396
336.58675395,0.00378264
336.69403243,0.00297916
336.80131861,0.00352893
336.90861249,0.00311406
337.01591406,0.00361844
337.12322333,0.00310636
337.23054028,0.00373284
337.33786492,0.00148890
337.44519725,0.00486927
337.55253726,0.00294034
337.65988495,0.00358805
337.76724032,0.00305143
337.87460336,0.00343098
337.98197408,0.00296042
338.08935246,0.00360751
338.19673851,0.00299741
338.30413223,0.00393862
338.41153361,0.00173818
338.51894265,0.00500348
338.62635935,0.00284613
338.73378370,0.00349592
338.84121571,0.00297963
338.94865536,0.00348726
339.05610266,0.00309417
339.16355761,0.00343537
339.27102020,0.00294667
339.37849043,0.00368977
339.48596830,0.00156235
339.59345380,0.00499581
339.70094694,0.00297023
339.80844770,0.00342225
339.91595609,0.00300467
340.02347211,0.00365404
340.13099575,0.00293919
340.23852701,0.00347065
340.34606589,0.00299506
340.45361238,0.00377960
340.56116648,0.00139469
340.66872820,0.00475121
340.77629752,0.00305822
340.88387445,0.00342018
340.99145898,0.00286015
341.09905110,0.00343914
341.20665083,0.00294969
341.31425815,0.00348171
341.42187307,0.00296444
341.52949557,0.00375759
341.63712566,0.00151226
341.74476334,0.00483116
341.85240860,0.00296815
341.96006144,0.00358736
342.06772185,0.00281902
342.17538984,0.00338699
342.28306541,0.00302294
342.39074854,0.00343728
342.49843924,0.00295184
342.60613751,0.00369633
342.71384333,0.00157493
342.82155672,0.00471914
342.92927767,0.00300398
343.03700617,0.00330883
343.14474222,0.00281053
343.25248582,0.00341621
343.36023697,0.00267867
343.46799567,0.00338395
343.57576191,0.00287953
343.68353568,0.00364098
343.79131700,0.00148776
343.89910585,0.00477478
344.00690223,0.00282341
344.11470614,0.00336124
344.22251758,0.00307034
344.33033654,0.00344778
344.43816303,0.00276662
344.54599704,0.00328968
344.65383856,0.00296392
344.76168760,0.00369144
344.86954415,0.00133736
344.97740821,0.00483395
345.08527978,0.00250898
345.19315885,0.00335189
345.30104543,0.00280168
345.40893950,0.00342626
345.51684107,0.00298592
345.62475014,0.00332551
345.73266670,0.00291583
345.84059075,0.00350084
345.94852229,0.00141411
346.05646131,0.00478809
346.16440781,0.00263941
346.27236180,0.00321579
346.38032326,0.00270861
346.48829219,0.00322399
346.59626860,0.00284794
346.70425248,0.00326164
346.81224383,0.00288236
346.92024264,0.00352308
347.02824891,0.00136494
347.13626264,0.00449491
347.24428383,0.00291158
347.35231248,0.00329809
347.46034857,0.00290665
347.56839212,0.00317093
347.67644311,0.00265928
347.78450155,0.00318822
347.89256743,0.00267843
348.00064075,0.00342603
348.10872151,0.00127663
348.21680971,0.00454192
348.32490533,0.00278013
348.43300839,0.00318235
348.54111887,0.00267164
348.64923678,0.00345993
348.75736210,0.00270186
348.86549485,0.00317672
348.97363502,0.00274463
349.08178260,0.00332759
349.18993760,0.00128381
349.29810000,0.00469040
349.40626981,0.00278464
349.51444703,0.00311478
349.62263164,0.00262000
349.73082366,0.00315039
