Type: excitation
Name: Lumencor-YFP  (LED)
wavelength,intensity
321.85729460,0.00428180
321.96348648,0.00368707
322.06968640,0.00435877
322.17589437,0.00374789
322.28211037,0.00434613
322.38833442,0.00378225
322.49456650,0.00437185
322.60080661,0.00365878
322.70705475,0.00429398
322.81331092,0.00383324
322.91957512,0.00447451
323.02584734,0.00373784
323.13212758,0.00461693
323.23841583,0.00222231
323.34471210,0.00581434
323.45101639,0.00357907
323.55732868,0.00451918
323.66364899,0.00372521
323.76997730,0.00445932
323.87631361,0.00377710
323.98265792,0.00431503
324.08901023,0.00375349
324.19537053,0.00451894
324.30173883,0.00388400
324.40811512,0.00430543
324.51449939,0.00379420
324.62089165,0.00440480
324.72729189,0.00361620
324.83370012,0.00433726
324.94011632,0.00380447
325.04654050,0.00442704
325.15297265,0.00361571
325.25941276,0.00437746
325.36586085,0.00368752
325.47231690,0.00423783
325.57878092,0.00381217
325.68525290,0.00446119
325.79173283,0.00238558
325.89822072,0.00575593
326.00471656,0.00365643
326.11122035,0.00449439
326.21773209,0.00364403
326.32425177,0.00446607
326.43077940,0.00391255
326.53731497,0.00440530
326.64385847,0.00384542
326.75040991,0.00429814
326.85696929,0.00382526
326.96353659,0.00426824
327.07011182,0.00383000
327.17669498,0.00439710
327.28328606,0.00383395
327.38988506,0.00445159
327.49649197,0.00384192
327.60310681,0.00438938
327.70972955,0.00383230
327.81636021,0.00452249
327.92299877,0.00354844
328.02964524,0.00442846
328.13629961,0.00369571
328.24296188,0.00462069
328.34963205,0.00232384
328.45631011,0.00587285
328.56299607,0.00376052
328.66968991,0.00437168
328.77639165,0.00380404
328.88310127,0.00430730
328.98981877,0.00367796
329.09654415,0.00434868
329.20327741,0.00376170
329.31001855,0.00421047
329.41676756,0.00386415
329.52352443,0.00436109
329.63028918,0.00372313
329.73706179,0.00431572
329.84384227,0.00352992
329.95063060,0.00432717
330.05742679,0.00383863
330.16423084,0.00429090
330.27104274,0.00361152
330.37786249,0.00453859
330.48469008,0.00361670
330.59152553,0.00443196
330.69836881,0.00366018
330.80521994,0.00466509
330.91207890,0.00259139
331.01894570,0.00572409
331.12582033,0.00395698
331.23270279,0.00429886
331.33959308,0.00388914
331.44649119,0.00420654
331.55339712,0.00362086
331.66031088,0.00439969
331.76723246,0.00372891
331.87416184,0.00438424
331.98109905,0.00368284
332.08804406,0.00443287
332.19499688,0.00372709
332.30195750,0.00425234
332.40892593,0.00370297
332.51590216,0.00440508
332.62288618,0.00364145
332.72987800,0.00427809
332.83687761,0.00360170
332.94388501,0.00430729
333.05090021,0.00367330
333.15792318,0.00429021
333.26495394,0.00376566
333.37199248,0.00451685
333.47903879,0.00235590
333.58609288,0.00583613
333.69315475,0.00372030
333.80022438,0.00440810
333.90730178,0.00379442
334.01438695,0.00425093
334.12147987,0.00379255
334.22858056,0.00431173
334.33568901,0.00374273
334.44280521,0.00424790
334.54992917,0.00379724
334.65706087,0.00440059
334.76420032,0.00362791
334.87134752,0.00446469
334.97850246,0.00368799
335.08566514,0.00430872
335.19283555,0.00373032
335.30001370,0.00447523
335.40719959,0.00383065
335.51439320,0.00431386
335.62159455,0.00362581
335.72880361,0.00431083
335.83602040,0.00381383
335.94324491,0.00452836
336.05047714,0.00213108
336.15771708,0.00561066
336.26496474,0.00387136
336.37222010,0.00433118
336.47948317,0.00369223
336.58675395,0.00435058
336.69403243,0.00356080
336.80131861,0.00430120
336.90861249,0.00369927
337.01591406,0.00428718
337.12322333,0.00377804
337.23054028,0.00429657
337.33786492,0.00353923
337.44519725,0.00436997
337.55253726,0.00387157
337.65988495,0.00436200
337.76724032,0.00367394
337.87460336,0.00431545
337.98197408,0.00360335
338.08935246,0.00437671
338.19673851,0.00374180
338.30413223,0.00443690
338.41153361,0.00377061
338.51894265,0.00455054
338.62635935,0.00234515
338.73378370,0.00560785
338.84121571,0.00391136
338.94865536,0.00435149
339.05610266,0.00362351
339.16355761,0.00428088
339.27102020,0.00370112
339.37849043,0.00435733
339.48596830,0.00367119
339.59345380,0.00426567
339.70094694,0.00361573
339.80844770,0.00420065
339.91595609,0.00374252
340.02347211,0.00431732
340.13099575,0.00357203
340.23852701,0.00411903
340.34606589,0.00371491
340.45361238,0.00431172
340.56116648,0.00377364
340.66872820,0.00433747
340.77629752,0.00373710
340.88387445,0.00438144
340.99145898,0.00364285
341.09905110,0.00424603
341.20665083,0.00233763
341.31425815,0.00580268
341.42187307,0.00367303
341.52949557,0.00432906
341.63712566,0.00377357
341.74476334,0.00439364
341.85240860,0.00359376
341.96006144,0.00424952
342.06772185,0.00373924
342.17538984,0.00426500
342.28306541,0.00357296
342.39074854,0.00423993
342.49843924,0.00383375
342.60613751,0.00446448
342.71384333,0.00362421
342.82155672,0.00405075
342.92927767,0.00378600
343.03700617,0.00428182
343.14474222,0.00373691
343.25248582,0.00427739
343.36023697,0.00358256
343.46799567,0.00432206
343.57576191,0.00354978
343.68353568,0.00435782
343.79131700,0.00219122
343.89910585,0.00558751
344.00690223,0.00358420
344.11470614,0.00427221
344.22251758,0.00360945
344.33033654,0.00413305
344.43816303,0.00359119
344.54599704,0.00421705
344.65383856,0.00371071
344.76168760,0.00424159
344.86954415,0.00349996
344.97740821,0.00423081
345.08527978,0.00366062
345.19315885,0.00428601
345.30104543,0.00358485
345.40893950,0.00429445
345.51684107,0.00375914
345.62475014,0.00427783
345.73266670,0.00355471
345.84059075,0.00430870
345.94852229,0.00348921
346.05646131,0.00435105
346.16440781,0.00351376
346.27236180,0.00453158
346.38032326,0.00215849
346.48829219,0.00566937
346.59626860,0.00352827
346.70425248,0.00414709
346.81224383,0.00350487
346.92024264,0.00425213
347.02824891,0.00369852
347.13626264,0.00425633
347.24428383,0.00356618
347.35231248,0.00412792
347.46034857,0.00350256
347.56839212,0.00436882
347.67644311,0.00328200
347.78450155,0.00413306
347.89256743,0.00350257
348.00064075,0.00424043
348.10872151,0.00353786
348.21680971,0.00424885
348.32490533,0.00354441
348.43300839,0.00402694
348.54111887,0.00358067
348.64923678,0.00427126
348.75736210,0.00357810
348.86549485,0.00433301
348.97363502,0.00237061
349.08178260,0.00553514
349.18993760,0.00351311
349.29810000,0.00408421
349.40626981,0.00369127
349.51444703,0.00407086
349.62263164,0.00351191
349.73082366,0.00419923
349.83902308,0.00365619
349.94722988,0.00403813
350.05544409,0.00355634
350.16366568,0.00425025
350.27189466,0.00354884
350.38013102,0.00413305
350.48837477,0.00347869
350.59662589,0.00411180
350.70488439,0.00351308
350.81315027,0.00417283
350.92142352,0.00361293
351.02970414,0.00394341
351.13799213,0.00342116
351.24628748,0.00417141
351.35459019,0.00346138
351.46290027,0.00413918
351.57121770,0.00204064
351.67954248,0.00558772
351.78787462,0.00346820
351.89621411,0.00408581
352.00456094,0.00350627
352.11291512,0.00393031
352.22127664,0.00342796
352.32964551,0.00417867
352.43802170,0.00343894
352.54640524,0.00408558
352.65479610,0.00349296
352.76319430,0.00396236
352.87159982,0.00345534
352.98001267,0.00409238
353.08843284,0.00342397
353.19686032,0.00384839
353.30529513,0.00353155
353.41373725,0.00389360
353.52218668,0.00353224
353.63064343,0.00417278
353.73910748,0.00332994
353.84757883,0.00405564
353.95605749,0.00333297
354.06454344,0.00428883
354.17303670,0.00229248
354.28153725,0.00553634
354.39004509,0.00342842
354.49856022,0.00395020
354.60708263,0.00346682
354.71561234,0.00405005
354.82414932,0.00354138
354.93269358,0.00396026
355.04124513,0.00336152
355.14980394,0.00412793
355.25837003,0.00351396
355.36694339,0.00397330
355.47552401,0.00333978
355.58411190,0.00404393
355.69270705,0.00343990
355.80130946,0.00394457
355.90991913,0.00335024
356.01853605,0.00405076
356.12716023,0.00339614
356.23579165,0.00401988
356.34443033,0.00338467
356.45307624,0.00384656
356.56172940,0.00332128
