## Type: excitation
## Name: Lumencor-mCherry (LED)
wavelength,intensity
321.85729460,0.00633338
321.96348648,0.00559592
322.06968640,0.00604266
322.17589437,0.00546139
322.28211037,0.00614697
322.38833442,0.00562771
322.49456650,0.00622161
322.60080661,0.00561320
322.70705475,0.00610205
322.81331092,0.00541911
322.91957512,0.00619774
323.02584734,0.00546396
323.13212758,0.00620451
323.23841583,0.00396986
323.34471210,0.00732769
323.45101639,0.00537115
323.55732868,0.00594791
323.66364899,0.00528975
323.76997730,0.00595842
323.87631361,0.00548293
323.98265792,0.00597669
324.08901023,0.00532391
324.19537053,0.00616706
324.30173883,0.00543263
324.40811512,0.00601551
324.51449939,0.00535475
324.62089165,0.00594697
324.72729189,0.00535805
324.83370012,0.00591870
324.94011632,0.00547944
325.04654050,0.00590608
325.15297265,0.00511340
325.25941276,0.00591470
325.36586085,0.00514613
325.47231690,0.00590910
325.57878092,0.00513888
325.68525290,0.00621758
325.79173283,0.00386486
325.89822072,0.00720067
326.00471656,0.00533631
326.11122035,0.00602415
326.21773209,0.00533887
326.32425177,0.00584617
326.43077940,0.00520436
326.53731497,0.00580666
326.64385847,0.00508835
326.75040991,0.00582070
326.85696929,0.00522427
326.96353659,0.00578445
327.07011182,0.00514496
327.17669498,0.00565883
327.28328606,0.00506589
327.38988506,0.00570911
327.49649197,0.00519828
327.60310681,0.00561183
327.70972955,0.00514916
327.81636021,0.00568199
327.92299877,0.00500418
328.02964524,0.00550234
328.13629961,0.00495924
328.24296188,0.00590096
328.34963205,0.00361946
328.45631011,0.00704563
328.56299607,0.00513631
328.66968991,0.00552221
328.77639165,0.00496367
328.88310127,0.00561954
328.98981877,0.00499012
329.09654415,0.00536878
329.20327741,0.00487268
329.31001855,0.00556505
329.41676756,0.00489868
329.52352443,0.00552785
329.63028918,0.00497632
329.73706179,0.00536391
329.84384227,0.00487622
329.95063060,0.00552879
330.05742679,0.00485093
330.16423084,0.00550914
330.27104274,0.00491737
330.37786249,0.00539853
330.48469008,0.00475973
330.59152553,0.00544576
330.69836881,0.00490358
330.80521994,0.00553113
330.91207890,0.00348705
331.01894570,0.00680354
331.12582033,0.00487830
331.23270279,0.00545838
331.33959308,0.00481192
331.44649119,0.00539593
331.55339712,0.00473987
331.66031088,0.00545420
331.76723246,0.00474663
331.87416184,0.00555451
331.98109905,0.00463809
332.08804406,0.00524811
332.19499688,0.00466150
332.30195750,0.00528272
332.40892593,0.00478077
332.51590216,0.00526704
332.62288618,0.00465140
332.72987800,0.00528088
332.83687761,0.00467460
332.94388501,0.00535454
333.05090021,0.00438501
333.15792318,0.00525977
333.26495394,0.00457469
333.37199248,0.00547144
333.47903879,0.00331659
333.58609288,0.00641831
333.69315475,0.00454568
333.80022438,0.00520672
333.90730178,0.00451880
334.01438695,0.00528153
334.12147987,0.00452091
334.22858056,0.00515946
334.33568901,0.00448189
334.44280521,0.00511101
334.54992917,0.00453075
334.65706087,0.00494426
334.76420032,0.00455552
334.87134752,0.00504158
334.97850246,0.00436862
335.08566514,0.00520084
335.19283555,0.00442129
335.30001370,0.00507219
335.40719959,0.00424725
335.51439320,0.00506916
335.62159455,0.00432210
335.72880361,0.00495900
335.83602040,0.00450009
335.94324491,0.00535478
336.05047714,0.00292315
336.15771708,0.00631658
336.26496474,0.00442355
336.37222010,0.00509704
336.47948317,0.00441171
336.58675395,0.00484279
336.69403243,0.00451110
336.80131861,0.00503996
336.90861249,0.00438688
337.01591406,0.00510383
337.12322333,0.00429006
337.23054028,0.00500272
337.33786492,0.00431157
337.44519725,0.00488039
337.55253726,0.00425827
337.65988495,0.00480206
337.76724032,0.00428563
337.87460336,0.00502944
337.98197408,0.00428633
338.08935246,0.00489795
338.19673851,0.00417476
338.30413223,0.00491061
338.41153361,0.00413707
338.51894265,0.00501073
338.62635935,0.00285671
338.73378370,0.00629732
338.84121571,0.00419252
338.94865536,0.00468462
339.05610266,0.00398130
339.16355761,0.00468956
339.27102020,0.00420612
339.37849043,0.00457002
339.48596830,0.00414297
339.59345380,0.00469378
339.70094694,0.00402972
339.80844770,0.00476860
339.91595609,0.00420234
340.02347211,0.00477398
340.13099575,0.00398013
