## Type: filter
## Name: AT350/50x
wavelength,transmission
300.00,9.9999999392253E-9
301.00,0.00050598097732291
302.00,0.0012260300572962
303.00,0.0020350099075586
304.00,0.0033238800242543
305.00,0.0058211199939251
306.00,0.0097815897315741
307.00,0.014316899701953
308.00,0.019100999459624
309.00,0.025295000523329
310.00,0.033316299319267
311.00,0.042695198208094
312.00,0.053862798959017
313.00,0.067936800420284
314.00,0.083436198532581
315.00,0.096423298120499
316.00,0.11281699687243
317.00,0.13003699481487
318.00,0.14941099286079
319.00,0.1662800014019
320.00,0.18745900690556
321.00,0.205157995224
322.00,0.22541299462318
323.00,0.24118700623512
324.00,0.26031199097633
325.00,0.28350800275803
326.00,0.30046099424362
327.00,0.31986200809479
328.00,0.33722099661827
329.00,0.35113999247551
330.00,0.36148500442505
331.00,0.37316501140594
332.00,0.39222699403763
333.00,0.40904098749161
334.00,0.42284101247787
335.00,0.44118100404739
336.00,0.45437800884247
337.00,0.46506699919701
338.00,0.47100400924683
339.00,0.48311901092529
340.00,0.49619799852371
341.00,0.50344997644424
342.00,0.51218700408936
343.00,0.52198499441147
344.00,0.52532202005386
345.00,0.53672897815704
346.00,0.53940802812576
347.00,0.54788702726364
348.00,0.55216097831726
349.00,0.55047798156738
350.00,0.55350601673126
351.00,0.55563002824783
352.00,0.55727499723434
353.00,0.55682998895645
354.00,0.55563801527023
355.00,0.55900001525879
356.00,0.55411797761917
357.00,0.56016802787781
358.00,0.55471301078796
359.00,0.55102902650833
360.00,0.54795300960541
361.00,0.54143297672272
362.00,0.53416901826859
363.00,0.52476000785828
364.00,0.51478999853134
365.00,0.50940501689911
366.00,0.49975800514221
367.00,0.4830020070076
368.00,0.46762400865555
369.00,0.4487409889698
370.00,0.4317019879818
371.00,0.40904399752617
372.00,0.39026799798012
373.00,0.3687059879303
374.00,0.3410139977932
375.00,0.31179600954056
376.00,0.28097900748253
377.00,0.25248500704765
378.00,0.22460499405861
379.00,0.19440999627113
380.00,0.16559299826622
381.00,0.13713799417019
382.00,0.11253400146961
383.00,0.089545898139477
384.00,0.069484703242779
385.00,0.052473299205303
386.00,0.037781801074743
387.00,0.026479000225663
388.00,0.01772990077734
389.00,0.011504899710417
390.00,0.007183900102973
391.00,0.0042901299893856
392.00,0.0024302899837494
393.00,0.0013160499511287
394.00,0.00066465797135606
395.00,0.00032356200972572
396.00,0.00015105599595699
397.00,6.5962900407612E-5
398.00,2.625630077091E-5
399.00,1.0975700206473E-5
400.00,4.1706098272698E-6
401.00,1.4017299463376E-6
402.00,4.0503999798602E-7
403.00,8.8248796714652E-8
404.00,9.9999999392253E-9
405.00,1.1480000239317E-7
406.00,1.1405499833472E-7
407.00,9.9999999392253E-9
408.00,6.2789098365101E-8
409.00,5.0064901557789E-8
410.00,5.414119819136E-9
411.00,4.736480008205E-8
412.00,8.9890903609557E-9
413.00,8.9062801578166E-8
414.00,9.9999999392253E-9
415.00,1.189689982084E-7
416.00,9.9999999392253E-9
417.00,9.9999999392253E-9
418.00,9.9999999392253E-9
419.00,9.9999999392253E-9
420.00,9.9999999392253E-9
421.00,9.9999999392253E-9
422.00,9.9999999392253E-9
423.00,9.9999999392253E-9
424.00,9.9999999392253E-9
425.00,9.9999999392253E-9
426.00,9.9999999392253E-9
427.00,9.9999999392253E-9
428.00,9.9999999392253E-9
429.00,9.9999999392253E-9
430.00,9.9999999392253E-9
431.00,9.9999999392253E-9
432.00,4.5153601746506E-8
433.00,9.9999999392253E-9
434.00,9.9999999392253E-9
435.00,9.9999999392253E-9
436.00,9.9999999392253E-9
437.00,9.9999999392253E-9
438.00,9.9999999392253E-9
439.00,9.9999999392253E-9
440.00,9.9999999392253E-9
441.00,9.9999999392253E-9
442.00,9.9999999392253E-9
443.00,9.9999999392253E-9
444.00,9.9999999392253E-9
445.00,9.9999999392253E-9
446.00,9.9999999392253E-9
447.00,9.9999999392253E-9
448.00,1.5183399426633E-8
449.00,9.9999999392253E-9
450.00,9.9999999392253E-9
451.00,9.9999999392253E-9
452.00,9.9999999392253E-9
453.00,9.9999999392253E-9
454.00,9.9999999392253E-9
455.00,9.9999999392253E-9
456.00,9.9999999392253E-9
457.00,9.9999999392253E-9
458.00,9.9999999392253E-9
459.00,5.3409698885787E-9
460.00,9.9999999392253E-9
461.00,9.9999999392253E-9
462.00,9.9999999392253E-9
463.00,9.9999999392253E-9
464.00,9.9999999392253E-9
465.00,9.9999999392253E-9
466.00,9.9999999392253E-9
467.00,9.9999999392253E-9
468.00,9.9999999392253E-9
469.00,9.9999999392253E-9
470.00,9.9999999392253E-9
471.00,9.9999999392253E-9
472.00,9.9999999392253E-9
473.00,9.9999999392253E-9
474.00,9.9999999392253E-9
475.00,9.9999999392253E-9
476.00,9.9999999392253E-9
477.00,9.9999999392253E-9
478.00,9.9999999392253E-9
479.00,9.9999999392253E-9
480.00,9.9999999392253E-9
481.00,9.9999999392253E-9
482.00,9.9999999392253E-9
483.00,9.9999999392253E-9
484.00,9.9999999392253E-9
485.00,9.9999999392253E-9
486.00,9.9999999392253E-9
487.00,9.9999999392253E-9
488.00,9.9999999392253E-9
489.00,9.9999999392253E-9
490.00,9.9999999392253E-9
491.00,9.9999999392253E-9
492.00,9.9999999392253E-9
493.00,9.9999999392253E-9
494.00,9.9999999392253E-9
495.00,9.9999999392253E-9
496.00,9.9999999392253E-9
497.00,9.9999999392253E-9
498.00,9.9999999392253E-9
499.00,9.9999999392253E-9
500.00,9.9999999392253E-9
501.00,9.9999999392253E-9
502.00,9.9999999392253E-9
503.00,9.9999999392253E-9
504.00,9.9999999392253E-9
505.00,9.9999999392253E-9
506.00,9.9999999392253E-9
507.00,9.9999999392253E-9
508.00,9.9999999392253E-9
509.00,9.9999999392253E-9
510.00,9.9999999392253E-9
511.00,9.9999999392253E-9
512.00,9.9999999392253E-9
513.00,9.9999999392253E-9
514.00,9.9999999392253E-9
515.00,9.9999999392253E-9
516.00,9.9999999392253E-9
517.00,9.9999999392253E-9
518.00,9.9999999392253E-9
519.00,9.9999999392253E-9
520.00,9.9999999392253E-9
521.00,9.9999999392253E-9
522.00,9.9999999392253E-9
523.00,9.9999999392253E-9
524.00,9.9999999392253E-9
525.00,9.9999999392253E-9
526.00,9.9999999392253E-9
527.00,9.9999999392253E-9
528.00,9.9999999392253E-9
529.00,9.9999999392253E-9
530.00,9.9999999392253E-9
531.00,9.9999999392253E-9
532.00,9.9999999392253E-9
533.00,9.9999999392253E-9
534.00,9.9999999392253E-9
535.00,9.9999999392253E-9
536.00,9.9999999392253E-9
537.00,9.9999999392253E-9
538.00,9.9999999392253E-9
539.00,9.9999999392253E-9
540.00,9.9999999392253E-9
541.00,9.9999999392253E-9
542.00,9.9999999392253E-9
543.00,9.9999999392253E-9
544.00,9.9999999392253E-9
545.00,9.9999999392253E-9
546.00,9.9999999392253E-9
547.00,9.9999999392253E-9
548.00,9.9999999392253E-9
549.00,9.9999999392253E-9
550.00,9.9999999392253E-9
551.00,9.9999999392253E-9
552.00,9.9999999392253E-9
553.00,9.9999999392253E-9
554.00,9.9999999392253E-9
555.00,9.9999999392253E-9
556.00,9.9999999392253E-9
557.00,9.9999999392253E-9
558.00,9.9999999392253E-9
559.00,9.9999999392253E-9
560.00,1.7305400445977E-9
561.00,9.9999999392253E-9
562.00,9.9999999392253E-9
563.00,9.9999999392253E-9
564.00,9.9999999392253E-9
565.00,9.9999999392253E-9
566.00,9.9999999392253E-9
567.00,9.9999999392253E-9
568.00,9.9999999392253E-9
569.00,9.9999999392253E-9
570.00,9.9999999392253E-9
571.00,9.9999999392253E-9
572.00,9.9999999392253E-9
573.00,9.9999999392253E-9
574.00,9.9999999392253E-9
575.00,9.9999999392253E-9
576.00,9.9999999392253E-9
577.00,9.9999999392253E-9
578.00,9.9999999392253E-9
579.00,9.9999999392253E-9
580.00,9.9999999392253E-9
581.00,9.9999999392253E-9
582.00,9.9999999392253E-9
583.00,9.9999999392253E-9
584.00,9.9999999392253E-9
585.00,9.9999999392253E-9
586.00,9.9999999392253E-9
587.00,9.9999999392253E-9
588.00,9.9999999392253E-9
589.00,9.9999999392253E-9
590.00,9.9999999392253E-9
591.00,9.9999999392253E-9
592.00,9.9999999392253E-9
593.00,9.9999999392253E-9
594.00,9.9999999392253E-9
595.00,9.9999999392253E-9
596.00,9.9999999392253E-9
597.00,9.9999999392253E-9
598.00,9.9999999392253E-9
599.00,9.9999999392253E-9
600.00,9.9999999392253E-9
601.00,9.9999999392253E-9
602.00,9.9999999392253E-9
603.00,9.9999999392253E-9
604.00,9.9999999392253E-9
605.00,9.9999999392253E-9
606.00,9.9999999392253E-9
607.00,9.9999999392253E-9
608.00,9.9999999392253E-9
609.00,9.9999999392253E-9
610.00,9.9999999392253E-9
611.00,9.9999999392253E-9
612.00,9.9999999392253E-9
