## Type: filter
## Name: LSM880Airyscan_BP420-480_BP495-550_2070-487
wavelength,transmission
411.1355746,0.000151511
411.8747589,0.000151511
412.6139432,0.000151511
413.3531275,0.000151511
414.0923118,0.000151511
414.831496,0.000188278
415.5706803,0.000555947
416.3098646,0.000988263
416.9146517,0.00585725
417.1498467,0.014104853
417.2170453,0.02411464
417.2842439,0.034124427
417.3514424,0.045448631
417.418641,0.055660636
417.4858396,0.065872641
417.5328786,0.07838993
417.6269566,0.09294962
417.6941551,0.10637689
417.7546339,0.124549541
417.653836,0.114303833
417.8218324,0.140187727
417.889031,0.157241438
417.93607,0.178042922
417.9226303,0.167689364
418.0234281,0.199639796
417.9898289,0.18851781
418.0906267,0.220805271
418.0570274,0.209346256
418.124226,0.239476726
418.124226,0.231590227
418.2394235,0.271918258
418.1914246,0.25882224
418.1914246,0.250329088
418.3066221,0.303059818
418.2586231,0.290907484
418.2250239,0.284571322
418.3392614,0.328007732
418.3258217,0.31625213
418.4266196,0.367345858
418.3930203,0.354538723
418.3930203,0.345641135
418.3930203,0.339170161
418.5082178,0.404434551
418.4602189,0.391746821
418.4602189,0.382849232
418.3930203,0.378804874
418.5408571,0.435264117
418.5274174,0.423292816
418.4938181,0.416012971
418.642615,0.478469421
418.594616,0.465893392
418.594616,0.456995803
418.594616,0.448098215
418.6786142,0.516515278
418.6618146,0.5066066
418.6618146,0.497709011
418.6282153,0.491238038
418.7424528,0.542358728
418.7290131,0.53154681
418.6618146,0.526828392
418.8365308,0.583530297
418.7962117,0.57239483
418.8130113,0.561913201
418.7626124,0.555138901
418.87685,0.61774557
418.8634103,0.605828193
418.8634103,0.596930605
418.7962117,0.590729255
418.9440486,0.642497043
418.9306088,0.631712087
419.0112471,0.661748189
418.9978074,0.653214593
419.065006,0.698915843
419.065006,0.689141977
419.0818056,0.679199596
418.9978074,0.674043039
419.1658038,0.723047182
419.1322046,0.710037829
419.2162028,0.736932812
419.2666017,0.763625578
419.2834013,0.751694721
419.1994031,0.745223747
419.3721995,0.778387486
419.4009988,0.791599057
419.5017967,0.814854118
419.4681974,0.802249201
419.5757151,0.82942729
419.6361938,0.840872824
419.6832328,0.852965456
419.7773108,0.86712071
419.8377896,0.879799774
419.8713888,0.888663659
419.9789066,0.900041788
420.0393853,0.910840225
420.1737824,0.920445576
420.6777717,0.92835965
421.416956,0.933507015
422.1561402,0.937294005
422.8953245,0.942110469
423.6345088,0.947625503
424.3736931,0.951081591
425.1128774,0.951963996
425.8520616,0.952405199
426.5912459,0.948949111
427.3304302,0.946081293
428.0696145,0.948066706
428.8087987,0.954464145
429.547983,0.953250838
430.2871673,0.948507908
431.0263516,0.949059412
431.7655359,0.95369204
432.5047201,0.95417001
433.2439044,0.951375726
433.9830887,0.950603621
434.722273,0.955493618
435.4614573,0.960604217
436.2006415,0.963472035
436.9398258,0.965457447
437.6790101,0.965053011
438.4181944,0.963361734
439.1573786,0.963177899
439.8965629,0.966707521
440.6357472,0.96979594
441.3749315,0.971082782
442.1141158,0.969722407
442.8533,0.967259025
443.5924843,0.965273612
444.3316686,0.965200079
445.0708529,0.966928123
445.8100372,0.967332558
446.5492214,0.966339852
447.2884057,0.964869177
448.02759,0.96483241
448.7667743,0.964133839
449.5059585,0.962589629
450.2451428,0.959795345
450.9843271,0.955309784
451.7235114,0.951191892
452.4626957,0.948360841
453.2018799,0.94446355
453.9410642,0.937698441
454.5794506,0.942335666
455.0834399,0.951312697
455.5538299,0.960383615
456.158617,0.969060603
456.8978013,0.970678346
457.6369856,0.96979594
458.3761699,0.9687297
459.1153542,0.967222258
459.8545384,0.96269993
460.5937227,0.960640984
461.332907,0.960788051
462.0720913,0.961339555
462.8112756,0.962258727
463.5504598,0.967001656
464.2896441,0.972296089
465.0288284,0.97347263
465.7680127,0.969391505
466.5071969,0.967516393
467.2463812,0.968472332
467.9855655,0.968104663
468.7247498,0.966781055
469.4639341,0.968398798
470.2031183,0.972663758
470.9423026,0.973509397
471.5134905,0.96483241
471.8830826,0.955045062
472.3870719,0.945823925
473.0926569,0.94067656
473.8318412,0.943838513
474.5038269,0.939667513
475.1758126,0.931889272
475.9149969,0.930528897
476.4861847,0.92263627
477.0573726,0.913248456
477.7965568,0.916961913
478.5357411,0.921594541
479.0733297,0.918160513
479.342124,0.908750639
479.5437197,0.899987863
479.7049962,0.889850004
479.8461132,0.88020421
479.9469111,0.87140773
480.0275494,0.860164414
480.1485068,0.844917182
480.1317072,0.833087434
480.2157054,0.822336181
480.2157054,0.813438593
480.1989057,0.803361399
480.2493047,0.794969356
480.2661043,0.784656242
480.3501025,0.771916513
480.3501025,0.761670805
480.3333029,0.752402483
