## Type: filter
## Name: LSM880Airyscan_BP465-505_LP525_2095-051
wavelength,transmission
450.867527,0.001451276
452.3901425,0.001414735
453.912758,0.001414735
455.4353735,0.001414735
456.957989,0.001414735
458.4806045,0.001414735
460.00322,0.001414735
461.1336467,0.004898342
461.3182061,0.016488034
461.5535195,0.032847588
461.3874159,0.024728104
461.7334649,0.054673725
461.6642551,0.044423881
461.8718845,0.07430251
461.6642551,0.063315749
462.0399654,0.099261979
461.9410943,0.087165058
462.200631,0.130090464
462.0795139,0.11851752
462.0795139,0.111952261
462.2871433,0.177135905
462.2179335,0.165144258
462.2179335,0.156301256
462.2179335,0.147458254
462.0795139,0.14049104
462.4552242,0.227830042
462.3563531,0.215254604
462.3563531,0.206411602
462.3563531,0.197568599
462.3563531,0.188725597
462.5936438,0.289329102
462.5639825,0.277256107
462.4947727,0.267776677
462.4947727,0.258933675
462.4947727,0.250090673
462.4947727,0.24124767
462.6608762,0.344201653
462.6331923,0.332357389
462.6331923,0.323514387
462.6331923,0.314671385
462.6331923,0.305828383
462.4947727,0.299665078
462.8062168,0.401158625
462.7716119,0.391042767
462.7716119,0.382199765
462.7716119,0.373356762
462.7716119,0.36451376
462.7716119,0.356474668
463.0089026,0.479568491
462.9100314,0.468218058
462.9100314,0.459375056
462.9100314,0.450532054
462.9100314,0.441689051
462.9100314,0.432846049
462.9100314,0.424003047
462.9100314,0.416365909
462.7716119,0.410604559
463.1473222,0.548647267
463.1176608,0.536918805
463.048451,0.527707345
463.048451,0.518864343
463.048451,0.51002134
463.048451,0.501178338
463.048451,0.492335336
463.3022203,0.600662112
463.1868706,0.58880445
463.1868706,0.579961448
463.1868706,0.571118446
463.1868706,0.562275444
463.4464074,0.661273522
463.3252902,0.650169525
463.3252902,0.641326523
463.3252902,0.632483521
463.3252902,0.623640519
463.3252902,0.614797517
463.1868706,0.606758424
463.5625809,0.730675298
463.4637098,0.720377603
463.4637098,0.7115346
463.4637098,0.702691598
463.4637098,0.693848596
463.4637098,0.685005594
463.4637098,0.676162592
463.7174791,0.782144632
463.6021294,0.770487948
463.6021294,0.761644946
463.6021294,0.752801944
463.6021294,0.743958942
463.8394201,0.827144412
463.740549,0.814434989
463.740549,0.805591986
463.740549,0.796748984
463.6021294,0.79085365
463.9066525,0.864330958
463.8789686,0.852218725
463.8789686,0.843375723
463.740549,0.835872569
464.0450721,0.890216837
464.0519931,0.876269011
464.1558078,0.914655679
464.086598,0.904204858
464.2942274,0.92537447
464.7786959,0.936562207
465.6092135,0.946611073
466.9241996,0.9558743
468.4468151,0.957007082
469.9694306,0.960186178
471.4920461,0.958505276
472.876242,0.960329636
474.2604379,0.966252038
475.7830534,0.962817153
477.3056689,0.963219108
478.8282844,0.9668367
480.1432705,0.961332662
481.4582567,0.956751292
482.9808722,0.962853695
484.5034877,0.96354798
486.0261032,0.96574046
487.5487187,0.964863468
489.0713342,0.958797607
490.5939497,0.964388431
492.1165652,0.9668367
493.6391807,0.95667821
494.9541668,0.953394058
496.3152928,0.946577577
497.0996705,0.959272644
497.584139,0.968316624
498.622286,0.974400755
500.1449015,0.965338505
501.3906778,0.958124202
502.6364541,0.952183626
503.8822304,0.950487064
504.2282794,0.940179799
504.366699,0.931236308
504.5051186,0.92209184
504.5397235,0.911641019
504.7473529,0.902195085
504.6781431,0.891241821
504.8511676,0.881427429
504.8165627,0.871646533
505.0172711,0.859829066
504.9895872,0.848199178
505.0172711,0.839441927
505.1556907,0.827351131
505.1972166,0.814930733
505.1972166,0.805725971
505.1556907,0.796239842
505.2664263,0.785226285
505.2664263,0.775043434
505.2664263,0.766200432
505.3356361,0.75708946
505.2941103,0.747281767
505.4325299,0.735544691
505.4048459,0.723861209
505.4048459,0.715018207
505.4740557,0.705940732
505.4740557,0.696193332
505.4048459,0.688623186
505.5778704,0.678708305
505.5432655,0.668123499
505.5432655,0.659280497
505.5432655,0.650437495
505.5432655,0.641594493
505.6124753,0.632885476
505.6124753,0.624042474
505.6124753,0.61529996
505.71629,0.603743764
505.6816851,0.593895876
505.6816851,0.585052873
505.6816851,0.576209871
505.7508949,0.566412227
505.7508949,0.557780251
505.709369,0.548314219
505.8201047,0.538694105
505.8201047,0.529851103
505.8201047,0.521008101
505.8201047,0.512165099
505.8893145,0.502250217
505.8477886,0.493085652
505.9585243,0.481147599
505.9585243,0.471165725
505.9585243,0.462322723
505.9585243,0.453479721
505.9585243,0.444636719
505.9585243,0.435793717
506.0277341,0.427587143
505.9862082,0.417132303
506.1246278,0.404977194
506.0969439,0.393186525
506.0969439,0.384343523
506.0969439,0.375500521
506.1661537,0.366439793
506.1661537,0.35804899
506.2699684,0.346291817
506.2353635,0.336376935
