Type: filter
Name: DV-EM-CFP.csv
wavelength,transmission
437.647947,0.007017
437.761224,0.011331
437.874507,0.013500
437.987796,0.010986
438.101090,0.010100
438.214389,0.013302
438.327694,0.014112
438.441004,0.013364
438.554320,0.012608
438.667641,0.014417
438.780967,0.014014
438.894299,0.014297
439.007636,0.014858
439.120978,0.016232
439.234326,0.015723
439.347679,0.013119
439.461038,0.013449
439.574402,0.015151
439.687771,0.014865
439.801146,0.012537
439.914526,0.011759
440.027912,0.010183
440.141302,0.010855
440.254698,0.006089
440.368100,0.005464
440.481507,0.004181
440.594919,0.005279
440.708337,0.004674
440.821760,0.004868
440.935188,0.002468
441.048621,0.006904
441.162060,0.005069
441.275505,0.005070
441.388954,0.005171
441.502409,0.005905
441.615870,0.006245
441.729335,0.006483
441.842806,0.007371
441.956282,0.006106
442.069764,0.005832
442.183251,0.003477
442.296743,0.005141
442.410240,0.004795
442.523743,0.001670
442.637251,0.002843
442.750765,0.003922
442.864283,0.005220
442.977807,0.004060
443.091337,0.003261
443.204871,0.003109
443.318411,0.003538
443.431956,0.001747
443.545507,0.002001
443.659063,0.004278
443.772624,0.005276
443.886190,0.004757
443.999761,0.006701
444.113338,0.007807
444.226920,0.007058
444.340508,0.006337
444.454101,0.007813
444.567698,0.008491
444.681302,0.007678
444.794910,0.007259
444.908524,0.007513
445.022143,0.007696
445.135767,0.008079
445.249396,0.006021
445.363031,0.004809
445.476671,0.005154
445.590316,0.005196
445.703967,0.005591
445.817622,0.005000
445.931283,0.004850
446.044949,0.005878
446.158620,0.004463
446.272297,0.002871
446.385979,0.004031
446.499666,0.004342
446.613358,0.004172
446.727055,0.003954
446.840758,0.004155
446.954466,0.006176
447.068179,0.006273
447.181897,0.006690
447.295621,0.009194
447.409350,0.008044
447.523083,0.006763
447.636822,0.006003
447.750567,0.005677
447.864316,0.005773
447.978071,0.005470
448.091831,0.005208
448.205596,0.007173
448.319366,0.006550
448.433141,0.005383
448.546922,0.002139
448.660707,0.002521
448.774498,0.003650
448.888294,0.003786
449.002096,0.002509
449.115902,0.003282
449.229714,0.002798
449.343530,0.001924
449.457352,0.002253
449.571179,0.004956
449.685011,0.006742
449.798849,0.009122
449.912691,0.009409
450.026539,0.011462
450.140391,0.012317
450.254249,0.014614
450.368112,0.015767
450.481980,0.017021
450.595854,0.017427
450.709732,0.016328
450.823616,0.014761
450.937504,0.015748
451.051398,0.013411
451.165297,0.011618
451.279201,0.012285
451.393110,0.011717
451.507024,0.010242
451.620944,0.007909
451.734868,0.006278
451.848798,0.004969
451.962732,0.002337
452.076672,0.003216
452.190617,0.002110
452.304567,0.000357
452.418522,0.001640
452.532482,0.003108
452.646447,0.005077
452.760417,0.003233
452.874393,0.002376
452.988373,0.002540
453.102359,0.001234
453.216349,0.001372
453.330345,0.001385
453.444345,0.000697
453.558351,0.001516
453.672362,0.004974
453.786378,0.004649
453.900399,0.005927
454.014425,0.006610
454.128456,0.009566
454.242492,0.008283
454.356533,0.007331
454.470580,0.007280
454.584631,0.010160
454.698687,0.012859
454.812748,0.012628
454.926815,0.013710
455.040886,0.014185
455.154963,0.013839
455.269044,0.011844
455.383131,0.011831
455.497222,0.011596
455.611319,0.006520
455.725420,0.003512
455.839527,0.002485
455.953638,0.002652
456.067755,0.003352
456.181877,0.003333
456.296003,0.001218
456.410135,0.002513
456.524271,0.002889
456.638413,0.000882
456.752560,0.001703
456.866711,0.000593
456.980868,0.001864
457.095029,0.000667
457.209196,0.003137
457.323367,0.001500
457.437544,0.002843
457.551725,0.002785
457.665912,0.001858
457.780103,0.000944
457.894300,0.004678
458.008501,0.004148
458.122707,0.008332
458.236919,0.007962
458.351135,0.012150
458.465356,0.013893
458.579582,0.016810
458.693813,0.018231
458.808050,0.019669
458.922291,0.016902
459.036537,0.017484
459.150787,0.024108
459.265043,0.025792
459.379304,0.028745
459.493570,0.029304
459.607840,0.029641
459.722116,0.027198
459.836397,0.025360
459.950682,0.024857
460.064972,0.023562
460.179268,0.021011
460.293568,0.020597
460.407873,0.017783
460.522183,0.013979
460.636498,0.013398
460.750818,0.014103
460.865143,0.014790
460.979472,0.015070
461.093807,0.013902
461.208146,0.011061
461.322491,0.012041
461.436840,0.010308
461.551194,0.013369
461.665553,0.007572
461.779917,0.010614
461.894286,0.004657
462.008659,0.001478
462.123038,0.001774
462.237421,0.006759
462.351810,0.012756
462.466203,0.025373
462.580601,0.043476
462.695004,0.066775
462.809411,0.095679
462.923824,0.124323
463.038242,0.159984
463.152664,0.199609
463.267091,0.241453
463.381523,0.283185
463.495960,0.329666
463.610402,0.381201
463.724848,0.429345
463.839300,0.478877
463.953756,0.528680
464.068217,0.580225
464.182683,0.627777
464.297154,0.671817
464.411629,0.713430
464.526110,0.752495
464.640595,0.786818
464.755085,0.816873
464.869580,0.842747
464.984079,0.863536
465.098584,0.878867
465.213093,0.890458
465.327607,0.898516
465.442126,0.905038
465.556650,0.910188
465.671178,0.915430
465.785712,0.920901
465.900250,0.925530
466.014793,0.929727
466.129340,0.933341
466.243893,0.935945
466.358450,0.937148
466.473012,0.937820
466.587579,0.937490
466.702151,0.936576
466.816727,0.935989
466.931308,0.934929
467.045894,0.933676
467.160485,0.931614
467.275080,0.931298
467.389680,0.929901
467.504285,0.929795
467.618895,0.929582
467.733509,0.929053
467.848129,0.928968
467.962753,0.928801
468.077381,0.928646
468.192015,0.928578
468.306653,0.928840
468.421296,0.929360
468.535944,0.929922
468.650596,0.930166
468.765253,0.931144
468.879915,0.931273
468.994582,0.931222
469.109253,0.932071
469.223929,0.932675
469.338610,0.932784
469.453296,0.934080
469.567986,0.935121
469.682681,0.935713
469.797380,0.936068
469.912085,0.937089
470.026794,0.937193
470.141508,0.937579
470.256226,0.937224
470.370949,0.936873
470.485677,0.936880
470.600410,0.936819
470.715147,0.937192
470.829889,0.937218
470.944635,0.938342
471.059387,0.938677
471.174143,0.939202
471.288903,0.939507
471.403669,0.939931
471.518439,0.940118
471.633213,0.939753
471.747993,0.940312
471.862777,0.940880
471.977565,0.940772
472.092358,0.940441
472.207156,0.940499
472.321959,0.939802
472.436766,0.939241
472.551578,0.939278
472.666395,0.940234
472.781216,0.940734
472.896042,0.940896
473.010872,0.940089
473.125708,0.940053
473.240547,0.940353
473.355392,0.940204
473.470241,0.939388
473.585095,0.939773
473.699953,0.939943
473.814816,0.939822
473.929683,0.939883
474.044555,0.939409
474.159432,0.940102
474.274314,0.940133
474.389200,0.940322
474.504090,0.940598
474.618985,0.940430
