Type: Filter
Name: DV-EM-Cy5.csv
wavelength,transmision
450.088864,0.004743
450.204180,0.005017
450.319497,0.004637
450.434813,0.004622
450.550130,0.005573
450.665446,0.006226
450.780763,0.005396
450.896079,0.004907
451.011395,0.006074
451.126712,0.006206
451.242028,0.005362
451.357345,0.006062
451.472661,0.006592
451.587978,0.007268
451.703294,0.006780
451.818610,0.007502
451.933927,0.008413
452.049243,0.007628
452.164560,0.006608
452.279876,0.005773
452.395192,0.004956
452.510509,0.005372
452.625825,0.006353
452.741142,0.006200
452.856458,0.006154
452.971775,0.007250
453.087091,0.006267
453.202407,0.003898
453.317724,0.004130
453.433040,0.004315
453.548357,0.004263
453.663673,0.003638
453.778990,0.004108
453.894306,0.004554
454.009622,0.003856
454.124939,0.003526
454.240255,0.005892
454.355572,0.007006
454.470888,0.006514
454.586205,0.006610
454.701521,0.008717
454.816837,0.008566
454.932154,0.009296
455.047470,0.009636
455.162787,0.012059
455.278103,0.012317
455.393420,0.012489
455.508736,0.013132
455.624052,0.013821
455.739369,0.013363
455.854685,0.012732
455.970002,0.012457
456.085318,0.012863
456.200634,0.013154
456.315951,0.012688
456.431267,0.012742
456.546584,0.013729
456.661900,0.013745
456.777217,0.014776
456.892533,0.014328
457.007849,0.014066
457.123166,0.013580
457.238482,0.012181
457.353799,0.011346
457.469115,0.011446
457.584432,0.010330
457.699748,0.007510
457.815064,0.006200
457.930381,0.006142
458.045697,0.004181
458.161014,0.002394
458.276330,0.004485
458.391647,0.004637
458.506963,0.002787
458.622279,0.001691
458.737596,0.000294
458.852912,0.001078
458.968229,0.001161
459.083545,0.000980
459.198862,0.001014
459.314178,0.001332
459.429494,0.002091
459.544811,0.002489
459.660127,0.002908
459.775444,0.005038
459.890760,0.006764
460.006077,0.007311
460.121393,0.008361
460.236709,0.009329
460.352026,0.007005
460.467342,0.007267
460.582659,0.007331
460.697975,0.009910
460.813291,0.009860
460.928608,0.010294
461.043924,0.009774
461.159241,0.011284
461.274557,0.010821
461.389874,0.008658
461.505190,0.006700
461.620506,0.008474
461.735823,0.008873
461.851139,0.007553
461.966456,0.005609
462.081772,0.005114
462.197089,0.003333
462.312405,0.000585
462.427721,0.000594
462.543038,0.000202
462.658354,0.000388
462.773671,0.003139
462.888987,0.001788
463.004304,0.002987
463.119620,0.000718
463.234936,0.001139
463.350253,0.002232
463.465569,0.003469
463.580886,0.005286
463.696202,0.002844
463.811519,0.005589
463.926835,0.009533
464.042151,0.011638
464.157468,0.012827
464.272784,0.013568
464.388101,0.016294
464.503417,0.015903
464.618733,0.015566
464.734050,0.015901
464.849366,0.019357
464.964683,0.020003
465.079999,0.021424
465.195316,0.022006
465.310632,0.020116
465.425948,0.022045
465.541265,0.021933
465.656581,0.023447
465.771898,0.023540
465.887214,0.022200
466.002531,0.019401
466.117847,0.017524
466.233163,0.021512
466.348480,0.022909
466.463796,0.020515
466.579113,0.020313
466.694429,0.015684
466.809746,0.012836
466.925062,0.013135
467.040378,0.011376
467.155695,0.007990
467.271011,0.005229
467.386328,0.005377
467.501644,0.004542
467.616961,0.003672
467.732277,0.002746
467.847593,0.005184
467.962910,0.007271
468.078226,0.009011
468.193543,0.006699
468.308859,0.006718
468.424175,0.013409
468.539492,0.011710
468.654808,0.017086
468.770125,0.017842
468.885441,0.026224
469.000758,0.029488
469.116074,0.029364
469.231390,0.030911
469.346707,0.034709
469.462023,0.032589
469.577340,0.035207
469.692656,0.037470
469.807973,0.041163
469.923289,0.044622
470.038605,0.043843
470.153922,0.045733
470.269238,0.046123
470.384555,0.045683
470.499871,0.047103
470.615188,0.048885
470.730504,0.050502
470.845820,0.051904
470.961137,0.050873
471.076453,0.052047
471.191770,0.053616
471.307086,0.053791
471.422403,0.050825
471.537719,0.048442
471.653035,0.047494
471.768352,0.044046
471.883668,0.040117
471.998985,0.034737
472.114301,0.033684
472.229617,0.023442
472.344934,0.023407
472.460250,0.021734
472.575567,0.023267
472.690883,0.025015
472.806200,0.020040
472.921516,0.019849
473.036832,0.018603
473.152149,0.021247
473.267465,0.020036
473.382782,0.020553
473.498098,0.019158
473.613415,0.021115
473.728731,0.018066
473.844047,0.013888
473.959364,0.012559
474.074680,0.020039
474.189997,0.020556
474.305313,0.017070
