## Type: filter
## Name: DV-EM-FITC.csv
wavelength,transmission
450.026539,0.013911
450.140391,0.014796
450.254249,0.016675
450.368112,0.017750
450.481980,0.018956
450.595854,0.019331
450.709732,0.018275
450.823616,0.016802
450.937504,0.017790
451.051398,0.015772
451.165297,0.014019
451.279201,0.014716
451.393110,0.014226
451.507024,0.012812
451.620944,0.010635
451.734868,0.009269
451.848798,0.008086
451.962732,0.005689
452.076672,0.006558
452.190617,0.005616
452.304567,0.004109
452.418522,0.002336
452.532482,0.000804
452.646447,0.001020
452.760417,0.000732
452.874393,0.001437
452.988373,0.001184
453.102359,0.002386
453.216349,0.002243
453.330345,0.002183
453.444345,0.002759
453.558351,0.005069
453.672362,0.008418
453.786378,0.008124
453.900399,0.009347
454.014425,0.009958
454.128456,0.012823
454.242492,0.011656
454.356533,0.010758
454.470580,0.010764
454.584631,0.013460
454.698687,0.015989
454.812748,0.015701
454.926815,0.016766
455.040886,0.017288
455.154963,0.016834
455.269044,0.014775
455.383131,0.014673
455.497222,0.014347
455.611319,0.009512
455.725420,0.006472
455.839527,0.005326
455.953638,0.005482
456.067755,0.006051
456.181877,0.005856
456.296003,0.003727
456.410135,0.004892
456.524271,0.005208
456.638413,0.001513
456.752560,0.000789
456.866711,0.002985
456.980868,0.004176
457.095029,0.001740
457.209196,0.000551
457.323367,0.001028
457.437544,0.000218
457.551725,0.000066
457.665912,0.000990
457.780103,0.003912
457.894300,0.007597
458.008501,0.006888
458.122707,0.010879
458.236919,0.010423
458.351135,0.014367
458.465356,0.015933
458.579582,0.018522
458.693813,0.019863
458.808050,0.021075
458.922291,0.018250
459.036537,0.018658
459.150787,0.024762
459.265043,0.026052
459.379304,0.028710
459.493570,0.028966
459.607840,0.028995
459.722116,0.026365
459.836397,0.024260
459.950682,0.023531
460.064972,0.022087
460.179268,0.019417
460.293568,0.018732
460.407873,0.015849
460.522183,0.011856
460.636498,0.011008
460.750818,0.011369
460.865143,0.011930
460.979472,0.012065
461.093807,0.010840
461.208146,0.007867
461.322491,0.008213
461.436840,0.006414
461.551194,0.009884
461.665553,0.005471
461.779917,0.010291
461.894286,0.006652
462.008659,0.005165
462.123038,0.005834
462.237421,0.008330
462.351810,0.008017
462.466203,0.009989
462.580601,0.012193
462.695004,0.015008
462.809411,0.018847
462.923824,0.017979
463.038242,0.020429
463.152664,0.023461
463.267091,0.025728
463.381523,0.024979
463.495960,0.026909
463.610402,0.033462
463.724848,0.034761
463.839300,0.036156
463.953756,0.038837
464.068217,0.046977
464.182683,0.049512
464.297154,0.047772
464.411629,0.046592
464.526110,0.047033
464.640595,0.043113
464.755085,0.040827
464.869580,0.041636
464.984079,0.043524
465.098584,0.040673
465.213093,0.040149
465.327607,0.036926
465.442126,0.039436
465.556650,0.036684
465.671178,0.031502
465.785712,0.031252
465.900250,0.033323
466.014793,0.033766
466.129340,0.031241
466.243893,0.030029
466.358450,0.027853
466.473012,0.028680
466.587579,0.023416
466.702151,0.020521
466.816727,0.019565
466.931308,0.021134
467.045894,0.018948
467.160485,0.010435
467.275080,0.016934
467.389680,0.010976
467.504285,0.013045
467.618895,0.014255
467.733509,0.012261
467.848129,0.016380
467.962753,0.012418
468.077381,0.013697
468.192015,0.018140
468.306653,0.024246
468.421296,0.025784
468.535944,0.027330
468.650596,0.027549
468.765253,0.030566
468.879915,0.028008
468.994582,0.026659
469.109253,0.029872
469.223929,0.035924
469.338610,0.034061
469.453296,0.033844
469.567986,0.039606
469.682681,0.039337
469.797380,0.036502
469.912085,0.041082
470.026794,0.035611
470.141508,0.031389
470.256226,0.024511
470.370949,0.023529
470.485677,0.024689
470.600410,0.026950
470.715147,0.026940
470.829889,0.022493
470.944635,0.035579
471.059387,0.035943
471.174143,0.035024
471.288903,0.036421
471.403669,0.039169
471.518439,0.041800
471.633213,0.038088
471.747993,0.043648
471.862777,0.045099
471.977565,0.043455
472.092358,0.035786
472.207156,0.035025
472.321959,0.032043
472.436766,0.028735
472.551578,0.025129
472.666395,0.029482
472.781216,0.029444
472.896042,0.023770
473.010872,0.017590
473.125708,0.012218
473.240547,0.016695
473.355392,0.016421
473.470241,0.006640
473.585095,0.013771
473.699953,0.022208
473.814816,0.026636
473.929683,0.023606
474.044555,0.022798
474.159432,0.025939
474.274314,0.024988
474.389200,0.028595
474.504090,0.030426
474.618985,0.029519
474.733885,0.025833
474.848790,0.029559
474.963699,0.031296
475.078612,0.035238
