Type: filter
Name: DV-EM-mCherry.csv
wavelength,transmission
450.088864,0.006770
450.204180,0.007004
450.319497,0.006598
450.434813,0.006534
450.550130,0.007445
450.665446,0.008115
450.780763,0.007296
450.896079,0.006741
451.011395,0.007863
451.126712,0.007953
451.242028,0.007103
451.357345,0.007663
451.472661,0.008244
451.587978,0.009049
451.703294,0.008637
451.818610,0.009417
451.933927,0.010392
452.049243,0.009642
452.164560,0.008699
452.279876,0.007897
452.395192,0.007109
452.510509,0.007568
452.625825,0.008625
452.741142,0.008569
452.856458,0.008583
452.971775,0.009750
453.087091,0.008822
453.202407,0.006470
453.317724,0.006732
453.433040,0.006982
453.548357,0.006980
453.663673,0.006431
453.778990,0.006904
453.894306,0.007436
454.009622,0.006710
454.124939,0.006491
454.240255,0.008934
454.355572,0.010162
454.470888,0.009664
454.586205,0.009797
454.701521,0.011910
454.816837,0.011724
454.932154,0.012415
455.047470,0.012736
455.162787,0.015138
455.278103,0.015442
455.393420,0.015563
455.508736,0.016150
455.624052,0.016753
455.739369,0.016094
455.854685,0.015365
455.970002,0.014997
456.085318,0.015310
456.200634,0.015644
456.315951,0.015170
456.431267,0.015205
456.546584,0.016186
456.661900,0.016158
456.777217,0.017222
456.892533,0.016841
457.007849,0.016636
457.123166,0.016191
457.238482,0.015048
457.353799,0.014271
457.469115,0.014477
457.584432,0.013395
457.699748,0.010579
457.815064,0.009357
457.930381,0.009354
458.045697,0.007363
458.161014,0.005729
458.276330,0.007869
458.391647,0.008187
458.506963,0.006485
458.622279,0.005426
458.737596,0.004155
458.852912,0.004947
458.968229,0.002766
459.083545,0.004983
459.198862,0.005143
459.314178,0.005520
459.429494,0.006341
459.544811,0.006771
459.660127,0.007356
459.775444,0.009528
459.890760,0.011437
460.006077,0.011983
460.121393,0.013104
460.236709,0.014023
460.352026,0.011591
460.467342,0.011762
460.582659,0.011683
460.697975,0.014196
460.813291,0.014176
460.928608,0.014653
461.043924,0.013984
461.159241,0.015350
461.274557,0.014818
461.389874,0.012602
461.505190,0.010611
461.620506,0.012433
461.735823,0.012706
461.851139,0.011449
461.966456,0.009436
462.081772,0.008887
462.197089,0.006965
462.312405,0.004252
462.427721,0.004247
462.543038,0.003365
462.658354,0.003946
462.773671,0.000419
462.888987,0.001698
463.004304,0.000441
463.119620,0.002860
463.234936,0.004717
463.350253,0.005824
463.465569,0.007160
463.580886,0.008945
463.696202,0.006567
463.811519,0.009379
463.926835,0.013491
464.042151,0.015625
464.157468,0.016961
464.272784,0.017663
464.388101,0.020367
464.503417,0.019971
464.618733,0.019453
464.734050,0.019964
464.849366,0.023375
464.964683,0.024172
465.079999,0.025692
465.195316,0.026387
465.310632,0.024531
465.425948,0.026409
465.541265,0.026253
465.656581,0.027871
465.771898,0.027984
465.887214,0.026616
466.002531,0.023714
466.117847,0.021686
466.233163,0.025774
466.348480,0.027192
466.463796,0.024869
466.579113,0.024790
466.694429,0.020102
466.809746,0.017179
466.925062,0.017620
467.040378,0.015782
467.155695,0.012419
467.271011,0.009616
467.386328,0.009629
467.501644,0.008832
467.616961,0.008032
467.732277,0.006894
467.847593,0.009418
467.962910,0.011450
468.078226,0.013511
468.193543,0.011195
468.308859,0.011300
468.424175,0.018236
468.539492,0.016653
468.654808,0.022075
468.770125,0.022928
468.885441,0.031414
469.000758,0.034918
469.116074,0.035031
469.231390,0.036673
469.346707,0.040478
469.462023,0.038596
469.577340,0.041343
469.692656,0.043680
469.807973,0.047330
469.923289,0.051009
470.038605,0.050357
470.153922,0.052455
470.269238,0.052776
470.384555,0.052454
470.499871,0.054039
470.615188,0.055778
470.730504,0.057474
470.845820,0.058737
470.961137,0.057601
471.076453,0.058729
471.191770,0.060296
471.307086,0.060488
471.422403,0.057476
471.537719,0.055020
471.653035,0.054012
471.768352,0.050505
471.883668,0.046411
471.998985,0.040797
472.114301,0.039573
472.229617,0.029265
472.344934,0.029129
472.460250,0.027278
472.575567,0.028619
472.690883,0.030305
472.806200,0.025310
472.921516,0.025026
473.036832,0.023616
473.152149,0.026154
473.267465,0.024760
473.382782,0.025275
473.498098,0.023836
473.613415,0.026034
473.728731,0.023079
473.844047,0.018941
473.959364,0.017708
474.074680,0.025406
474.189997,0.026142
474.305313,0.022584
474.420630,0.030200
474.535946,0.031138
474.651262,0.032069
474.766579,0.032713
474.881895,0.028882
474.997212,0.027592
475.112528,0.024380
475.227845,0.025723
475.343161,0.031903
475.458477,0.037612
475.573794,0.036346
475.689110,0.033690
475.804427,0.037214
475.919743,0.037805
476.035059,0.037983
476.150376,0.037218
476.265692,0.044679
476.381009,0.048146
476.496325,0.046655
476.611642,0.047391
476.726958,0.050501
476.842274,0.050472
476.957591,0.045996
477.072907,0.045264
477.188224,0.043186
477.303540,0.041886
477.418857,0.034891
477.534173,0.032905
477.649489,0.035038
477.764806,0.030018
477.880122,0.027057
477.995439,0.022675
478.110755,0.032797
478.226072,0.033072
478.341388,0.027545
478.456704,0.032614
478.572021,0.033398
478.687337,0.035824
478.802654,0.032091
478.917970,0.032962
479.033287,0.035973
479.148603,0.032439
479.263919,0.028934
479.379236,0.031613
479.494552,0.025125
479.609869,0.021719
479.725185,0.021467
479.840502,0.025712
479.955818,0.026583
480.071134,0.025839
480.186451,0.019208
480.301767,0.018621
480.417084,0.023507
480.532400,0.022266
480.647716,0.018284
480.763033,0.020786
480.878349,0.027959
480.993666,0.023859
481.108982,0.021490
481.224299,0.026260
481.339615,0.028169
481.454931,0.031534
481.570248,0.033596
481.685564,0.032707
481.800881,0.037176
481.916197,0.035974
482.031514,0.037869
482.146830,0.038450
482.262146,0.038462
482.377463,0.035820
482.492779,0.034779
482.608096,0.032071
482.723412,0.034500
482.838729,0.034163
