## Type: filter
## Name: DV-ET-455-50m.csv
wavelength,transmission
300.00,3.3421699185965E-7
301.00,4.1450400090071E-7
302.00,4.94741982493E-7
303.00,7.432510074068E-7
304.00,7.0439398314193E-7
305.00,8.0676699099058E-7
306.00,1.1847799896714E-6
307.00,9.9999999392253E-9
308.00,7.6329797593644E-7
309.00,3.2658201121194E-7
310.00,5.2637301450886E-7
311.00,1.1943800473091E-6
312.00,1.6419099324594E-7
313.00,4.3215399614382E-7
314.00,9.9999999392253E-9
315.00,9.443779731555E-7
316.00,9.3481503427029E-8
317.00,1.1308700322843E-6
318.00,9.1563599369238E-8
319.00,5.7801901220955E-7
320.00,2.6035300493277E-7
321.00,1.5378200259875E-6
322.00,6.8083801352259E-7
323.00,2.753149885848E-7
324.00,8.1626802739265E-7
325.00,8.2724602634698E-7
326.00,7.3785599852272E-7
327.00,8.5799700855205E-7
328.00,6.9853200557191E-7
329.00,5.7370300510229E-7
330.00,7.2825997676773E-7
331.00,9.8655198144115E-7
332.00,1.9507099580096E-7
333.00,9.4266499672813E-7
334.00,5.597299832516E-7
335.00,9.6245901204384E-7
336.00,8.2896002595589E-7
337.00,6.8575400291593E-7
338.00,5.7167699196725E-7
339.00,6.5995800468954E-7
340.00,7.3731297334234E-7
341.00,1.4754699577679E-6
342.00,4.3764700308202E-7
343.00,5.4948498018348E-7
344.00,6.5395897763665E-7
345.00,5.4341398936231E-7
346.00,4.5515400870499E-7
347.00,9.8870998499478E-7
348.00,8.6470100768565E-7
349.00,6.1107300552976E-7
350.00,8.6371500174209E-7
351.00,7.2103097181753E-7
352.00,9.5668497124279E-7
353.00,3.5175199286641E-7
354.00,6.8555999632736E-7
355.00,8.5397601878867E-7
356.00,8.5102897173783E-7
357.00,8.7562500539207E-7
358.00,7.2694899699854E-7
359.00,1.0856100516321E-6
360.00,8.923040013542E-7
361.00,6.1174699794719E-7
362.00,3.0394500072362E-7
363.00,3.1350501217275E-7
364.00,7.4264499971832E-7
365.00,7.9520799545207E-7
366.00,1.1649200359898E-6
367.00,6.1707902432317E-7
368.00,8.8951600218934E-7
369.00,3.4593099940139E-7
370.00,1.0232699878543E-6
371.00,1.2467600072341E-6
372.00,1.2349599955996E-6
373.00,1.0694300272007E-6
374.00,9.7781901331473E-7
375.00,4.926760084345E-7
376.00,7.1318999061987E-7
377.00,7.0188701783991E-7
378.00,5.34345019787E-7
379.00,8.3450402144081E-7
380.00,3.9119100847529E-7
381.00,6.057069867893E-7
382.00,4.5907600565442E-7
383.00,6.9007802494525E-7
384.00,8.2134300782855E-7
385.00,7.1008201985023E-7
386.00,6.7962901084684E-7
387.00,4.205880088648E-7
388.00,3.4638600254766E-7
389.00,4.5929598968542E-7
390.00,6.628840196754E-7
391.00,5.8969800420527E-7
392.00,6.0933001577723E-7
393.00,3.2825499829414E-7
394.00,5.7387200058656E-7
395.00,4.8919901018962E-7
396.00,5.910699769629E-7
397.00,6.1819497432225E-7
398.00,4.1337600009683E-7
399.00,3.6785999668609E-7
400.00,5.0209700930282E-7
401.00,9.3999699402048E-7
402.00,3.5462301184452E-7
403.00,4.859090267928E-7
404.00,5.5053499181668E-7
405.00,5.3256502496879E-7
406.00,5.4885197187104E-7
407.00,5.7447198287264E-7
408.00,4.1369500536348E-7
409.00,3.8063799934207E-7
410.00,6.5130899429278E-7
411.00,4.015269894353E-7
412.00,5.3528299304162E-7
413.00,3.3183900427503E-7
414.00,5.2720497478731E-7
415.00,6.428639949263E-7
416.00,5.6178998875112E-7
417.00,5.2308598696982E-7
418.00,3.457300010723E-7
419.00,4.9644802402327E-7
420.00,3.685109959406E-7
421.00,4.9046002459363E-7
422.00,3.0861801292303E-7
423.00,4.7291399596361E-7
424.00,4.7693902160972E-7
425.00,5.64179003959E-7
426.00,9.8225405054109E-7
427.00,3.8377897908504E-6
428.00,1.7051999748219E-5
429.00,0.00012348400196061
430.00,0.0012431000359356
431.00,0.022433700039983
432.00,0.34180700778961
433.00,0.88687098026276
434.00,0.92975801229477
435.00,0.96869498491287
436.00,0.97005301713943
437.00,0.95520597696304
438.00,0.97099900245667
439.00,0.98406302928925
440.00,0.97499001026154
441.00,0.95731699466705
442.00,0.96579498052597
443.00,0.98232698440552
444.00,0.98451900482178
445.00,0.97509801387787
446.00,0.970066010952
447.00,0.97424000501633
448.00,0.98258399963379
449.00,0.98589700460434
450.00,0.98393499851227
451.00,0.9814550280571
452.00,0.98242098093033
453.00,0.98426002264023
454.00,0.98290997743607
455.00,0.97900998592377
456.00,0.97936999797821
457.00,0.97964000701904
458.00,0.98570501804352
459.00,0.98725098371506
460.00,0.97967499494553
461.00,0.97457700967789
462.00,0.97501701116562
463.00,0.98342400789261
464.00,0.98446798324585
465.00,0.98049801588058
466.00,0.96784800291061
467.00,0.95665502548218
468.00,0.95867198705673
469.00,0.97170698642731
470.00,0.98162001371384
471.00,0.98320400714874
472.00,0.98112899065018
473.00,0.97840601205826
474.00,0.98061299324036
475.00,0.9821760058403
476.00,0.97130000591278
477.00,0.95349097251892
478.00,0.9474869966507
479.00,0.41483700275421
480.00,0.034278698265553
481.00,0.013539900071919
482.00,0.0020049400627613
483.00,0.00040495398570783
484.00,0.00010165999992751
485.00,2.9910199373262E-5
486.00,1.0077100341732E-5
487.00,4.1427101677982E-6
