## Type: filter
## Name: DV-ET645-30x.csv
wavelength,transmission
300.00,9.9999999392253E-9
300.50,1.0409699768843E-7
301.00,5.1835900194419E-7
301.50,1.7353200121306E-7
302.00,6.18060994384E-7
302.50,4.7154199478427E-7
303.00,9.9999999392253E-9
303.50,6.2007802625885E-7
304.00,9.9999999392253E-9
304.50,8.8636897999095E-7
305.00,2.1049599752132E-7
305.50,9.9999999392253E-9
306.00,3.1081100360097E-8
306.50,9.9999999392253E-9
307.00,2.0980199622045E-7
307.50,2.6998600333172E-7
308.00,1.0129299710115E-7
308.50,5.875639885744E-7
309.00,9.9999999392253E-9
309.50,5.0297001052968E-7
310.00,9.9999999392253E-9
310.50,4.2366698949081E-7
311.00,8.0268199553757E-7
311.50,2.1888899937039E-7
312.00,9.9999999392253E-9
312.50,8.8962701738637E-7
313.00,2.8012701136504E-7
313.50,2.8804299745389E-7
314.00,9.9999999392253E-9
314.50,8.6647396813078E-8
315.00,4.3014898665206E-7
315.50,6.3383001069894E-9
316.00,7.2393601158183E-7
316.50,3.2880899425436E-7
317.00,2.3650100544614E-8
317.50,9.9999999392253E-9
318.00,2.2997299709004E-7
318.50,2.654699926552E-7
319.00,9.9999999392253E-9
319.50,9.9999999392253E-9
320.00,6.8388999352464E-7
320.50,2.2228999796425E-7
321.00,1.2043800268202E-7
321.50,2.9276699820002E-7
322.00,6.67280005473E-7
322.50,9.9999999392253E-9
323.00,1.1854699550895E-6
323.50,3.7534599073297E-7
324.00,9.9999999392253E-9
324.50,9.9999999392253E-9
325.00,3.6531699265652E-7
325.50,1.6040000616613E-7
326.00,1.0263299827784E-6
326.50,1.9736499723422E-7
327.00,1.4944299664421E-7
327.50,1.5255100294098E-8
328.00,2.8224300763213E-7
328.50,1.0128000127452E-7
329.00,4.4896100348524E-7
329.50,8.8088302163669E-7
330.00,3.6117299373473E-8
330.50,4.4878100879941E-7
331.00,8.8380699025947E-7
331.50,2.0199399841658E-7
332.00,9.9999999392253E-9
332.50,9.9999999392253E-9
333.00,3.5716399793273E-7
333.50,9.9999999392253E-9
334.00,6.6025501155309E-7
334.50,5.2878101541864E-7
335.00,3.2590500609331E-7
335.50,6.2463999483953E-7
336.00,6.4494901153012E-7
336.50,2.3342700217199E-7
337.00,5.8555500004331E-8
337.50,4.1274100226474E-7
338.00,4.9523098510917E-8
338.50,5.9590797718556E-7
339.00,1.3560999434503E-7
339.50,3.9934801066011E-7
340.00,2.438399917537E-7
340.50,1.5736600289529E-7
341.00,3.2795699667076E-7
341.50,1.3701900059004E-7
342.00,3.4357100275884E-7
342.50,7.3847201065291E-7
343.00,7.8275797932292E-7
343.50,2.6261901098223E-7
344.00,4.7617601239835E-7
344.50,5.9599602764138E-7
345.00,5.3267598332241E-7
345.50,6.2204998130255E-7
346.00,6.6216000504937E-7
346.50,2.6332199354329E-7
347.00,5.7409401676978E-8
347.50,1.0981500508933E-6
348.00,6.6847098878497E-7
348.50,3.8035099692024E-7
349.00,4.4473298999037E-7
349.50,6.096780111875E-7
350.00,8.565869791255E-8
350.50,4.1591300714572E-7
351.00,6.1419098074111E-7
351.50,4.8287398612956E-7
352.00,5.4335600907507E-7
352.50,4.9321897677146E-7
353.00,3.3220899808839E-7
353.50,4.3089698920085E-7
354.00,2.5507000600555E-7
354.50,9.9999999392253E-9
355.00,4.2328099425504E-7
355.50,3.3666898957563E-7
356.00,2.3068500354384E-7
356.50,4.5265301196196E-7
357.00,1.7726900125581E-7
357.50,4.3392299176048E-7
358.00,5.7061100733335E-7
358.50,5.1002200507355E-7
359.00,9.9999999392253E-9
359.50,4.0549699065195E-7
360.00,4.9438301630289E-7
360.50,5.8437001371203E-7
361.00,2.7696398774424E-7
361.50,4.0572999182586E-7
362.00,2.4020698674576E-7
362.50,7.3775402142928E-7
363.00,3.2732501153987E-7
363.50,3.2534899219172E-7
364.00,3.895029863088E-7
364.50,3.0152099839142E-7
365.00,3.3977400448748E-7
365.50,3.3087098927354E-7
366.00,6.4655097276045E-7
366.50,2.6504798711358E-7
367.00,2.9593400086014E-7
367.50,2.7665700486068E-7
368.00,3.9595099110556E-7
368.50,6.8721197976629E-7
369.00,3.9597299661409E-8
369.50,3.2879199807212E-7
370.00,3.7688698739657E-7
370.50,9.9999999392253E-9
371.00,6.7904397837992E-7
371.50,3.0268100204012E-7
372.00,3.1774800390849E-7
372.50,2.1066399824576E-7
373.00,2.3491800504871E-7
373.50,3.4194300724266E-7
374.00,3.7171400890657E-7
374.50,2.6660001140044E-7
375.00,1.0253300075647E-7
375.50,4.6869200787114E-7
376.00,5.5923999298102E-7
376.50,6.9277001557566E-7
377.00,7.1548998903381E-7
