Type: Dichroic
Name: FF444/520/590-Di01
Typical Measured Spectrum of Semrock FF444/520/590-Di01 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
300.0,0.00257
300.2,0.00322
300.4,0.00382
300.6,0.00404
300.8,0.00383
301.0,0.00328
301.2,0.00247
301.4,0.00171
301.6,0.0012
301.8,8.6774e-04
302.0,7.1289e-04
302.2,6.2825e-04
302.4,5.7329e-04
302.6,5.4616e-04
302.8,5.6884e-04
303.0,6.3006e-04
303.2,7.2979e-04
303.4,8.6757e-04
303.6,0.00103
303.8,0.00151
304.0,0.0023
304.2,0.00329
304.4,0.00415
304.6,0.00446
304.8,0.00424
305.0,0.0035
305.2,0.00253
305.4,0.00168
305.6,0.0012
305.8,0.00101
306.0,9.4407e-04
306.2,9.4203e-04
306.4,9.4899e-04
306.6,9.4006e-04
306.8,0.00106
307.0,0.00133
307.2,0.00169
307.4,0.00232
307.6,0.00346
307.8,0.00565
308.0,0.00995
308.2,0.01772
308.4,0.02895
308.6,0.04348
308.8,0.06058
309.0,0.07895
309.2,0.09549
309.4,0.107
309.6,0.11247
309.8,0.11099
310.0,0.10294
310.2,0.08934
310.4,0.07393
310.6,0.05961
310.8,0.04831
311.0,0.0414
311.2,0.04125
311.4,0.0464
311.6,0.05756
311.8,0.0758
312.0,0.09759
312.2,0.11159
312.4,0.1166
312.6,0.11118
312.8,0.09607
313.0,0.07053
313.2,0.04622
313.4,0.03004
313.6,0.02076
313.8,0.01627
314.0,0.01535
314.2,0.01665
314.4,0.02002
314.6,0.02591
314.8,0.03562
315.0,0.04939
315.2,0.06469
315.4,0.07758
315.6,0.0836
315.8,0.08118
316.0,0.07053
316.2,0.05676
316.4,0.04442
316.6,0.03609
316.8,0.03298
317.0,0.0331
317.2,0.03606
317.4,0.0419
317.6,0.05051
317.8,0.05759
318.0,0.06189
318.2,0.06208
318.4,0.0577
318.6,0.04877
318.8,0.03707
319.0,0.02663
319.2,0.01902
319.4,0.01436
319.6,0.01265
319.8,0.01183
320.0,0.01169
320.2,0.01208
320.4,0.01278
320.6,0.01508
320.8,0.02048
321.0,0.03093
321.2,0.04872
321.4,0.06955
321.6,0.08396
321.8,0.09058
322.0,0.09638
322.2,0.08443
322.4,0.07396
322.6,0.05458
322.8,0.03956
323.0,0.03254
323.2,0.0277
323.4,0.02959
323.6,0.03542
323.8,0.04389
324.0,0.05596
324.2,0.06589
324.4,0.06967
324.6,0.07046
324.8,0.06436
325.0,0.05655
325.2,0.04185
325.4,0.03065
325.6,0.01932
325.8,0.01218
326.0,0.00898
326.2,0.00668
326.4,0.00581
326.6,0.00521
326.8,0.00514
327.0,0.00528
327.2,0.00554
327.4,0.00591
327.6,0.00626
327.8,0.00658
328.0,0.00679
328.2,0.00674
328.4,0.00656
328.6,0.00596
328.8,0.00536
329.0,0.00443
329.2,0.00366
329.4,0.00293
329.6,0.00234
329.8,0.00196
330.0,0.00165
330.2,0.00148
330.4,0.00135
330.6,0.00127
330.8,0.00121
331.0,0.00121
331.2,0.00125
331.4,0.00133
331.6,0.00146
331.8,0.00164
332.0,0.00194
332.2,0.00223
332.4,0.00257
332.6,0.00305
332.8,0.00367
333.0,0.00442
333.2,0.0053
333.4,0.00631
333.6,0.00751
333.8,0.00893
334.0,0.00982
334.2,0.01071
334.4,0.01167
334.6,0.01225
334.8,0.01241
335.0,0.01257
335.2,0.01267
335.4,0.01239
335.6,0.01212
335.8,0.01185
336.0,0.01167
336.2,0.01153
336.4,0.01139
336.6,0.01128
336.8,0.01123
337.0,0.01118
337.2,0.01113
337.4,0.01107
337.6,0.01102
337.8,0.01096
338.0,0.01092
338.2,0.01088
