## Type: dichroic
## Name: FF405/496/593/647-Di01
## Typical Measured Spectrum of Semrock FF405/496/593/647-Di01 Optical Filter
## For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
## For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited.
wavelength,transmission
371.0,0.00179
371.2,0.00127
371.4,9.4946e-04
371.6,8.5943e-04
371.8,8.3553e-04
372.0,8.0155e-04
372.2,8.4991e-04
372.4,9.1351e-04
372.6,0.00105
372.8,0.00115
373.0,0.00151
373.2,0.00203
373.4,0.0029
373.6,0.005
373.8,0.00929
374.0,0.01855
374.2,0.03226
374.4,0.04834
374.6,0.06316
374.8,0.07544
375.0,0.08456
375.2,0.09167
375.4,0.09428
375.6,0.09385
375.8,0.08858
376.0,0.0808
376.2,0.07289
376.4,0.06732
376.6,0.06402
376.8,0.06201
377.0,0.06017
377.2,0.05785
377.4,0.05448
377.6,0.05044
377.8,0.04578
378.0,0.04137
378.2,0.03771
378.4,0.03496
378.6,0.03346
378.8,0.03313
379.0,0.03346
379.2,0.03449
379.4,0.03625
379.6,0.03782
379.8,0.04018
380.0,0.04277
380.2,0.0451
380.4,0.04736
380.6,0.04945
380.8,0.05036
381.0,0.05031
381.2,0.0491
381.4,0.04634
381.6,0.04282
381.8,0.03809
382.0,0.03312
382.2,0.02791
382.4,0.02248
382.6,0.01789
382.8,0.01402
383.0,0.01094
383.2,0.00856
383.4,0.00697
383.6,0.00582
383.8,0.0051
384.0,0.00451
384.2,0.00427
384.4,0.0041
384.6,0.00435
384.8,0.00474
385.0,0.0055
385.2,0.0071
385.4,0.00961
385.6,0.01384
385.8,0.01903
386.0,0.02493
386.2,0.03002
386.4,0.03414
386.6,0.03669
386.8,0.03771
387.0,0.03763
387.2,0.03559
387.4,0.03188
387.6,0.02669
387.8,0.02125
388.0,0.01632
388.2,0.01276
388.4,0.01068
388.6,0.0098
388.8,0.00997
389.0,0.01088
389.2,0.01284
389.4,0.01556
389.6,0.01905
389.8,0.02218
390.0,0.02503
390.2,0.02703
390.4,0.02783
390.6,0.02771
390.8,0.02642
391.0,0.02423
391.2,0.02052
391.4,0.01659
391.6,0.01281
391.8,0.00964
392.0,0.00896
392.2,0.00854
392.4,0.00739
392.6,0.00657
392.8,0.00615
393.0,0.00574
393.2,0.00562
393.4,0.00553
393.6,0.00532
393.8,0.0055
394.0,0.00565
394.2,0.00582
394.4,0.00581
394.6,0.00585
394.8,0.00611
395.0,0.00653
395.2,0.00688
395.4,0.00727
395.6,0.00768
395.8,0.00808
396.0,0.00868
396.2,0.00932
396.4,0.01018
396.6,0.01083
396.8,0.01181
397.0,0.01248
397.2,0.01351
397.4,0.01449
397.6,0.01533
397.8,0.01602
398.0,0.01726
398.2,0.01797
398.4,0.01897
398.6,0.02005
398.8,0.02138
399.0,0.02287
399.2,0.02451
399.4,0.02657
399.6,0.02903
399.8,0.03205
400.0,0.03641
400.2,0.04174
400.4,0.04823
400.6,0.05681
400.8,0.0683
401.0,0.08268
401.2,0.10126
401.4,0.1236
401.6,0.15014
